,Título,Número de registro,Denominação,Classificação,Local de produção,Data de produção,Autor,Material/Técnica,Dimensões - altura,Dimensões - largura,Situação,Dimensões - profundidade/comprimento,Dimensões - diâmetro,Dimensões - espessura,Dimensões - peso,Resumo descritivo,Condições de reprodução,Mídias relacionadas,ACERVO,URL,TAINACAN_COLECTION_ID
10,,13,Palmatória,13 Castigo/Penitência > 13.2 Instrumento de Castigo,Minas Gerais,Século XVIII/XIX,Não identificada,entalhe | madeira,,,,,"8,5",,,"Palmatória simples confeccionada em madeira (jacarandá), com cabo composto por haste longilínea, de formato retangular, tendo as laterais abauladas e orifício para pendurar o objeto. Na extremidade, estrutura circular com cinco orifícios.",,,museudodiamante_-_acervo-museologico,https://museudodiamante.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11603/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11603
11,,14,Instrumento de tortura de beiço,13 Castigo/Penitência > 13.2 Instrumento de Castigo,Minas Gerais,Século XVIII/XIX,Não identificada,fundição | metal,,"11,5",,,,,,"Instrumento de tortura de beiço confeccionado em metal (ferro), de estrutura longilínea, contendo cabo duplo com terminações denteada e em aro, unidos por argola ovalada. Na extremidade que une os cabos através de parafuso, funcionando em sistema de “tesoura”, se estendem duas chapas do mesmo metal, de estrutura retangular com extremidades abauladas, que servia possivelmente para espremer os lábios dos escravos.",,,museudodiamante_-_acervo-museologico,https://museudodiamante.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11603/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11603
12,,15,Algema,13 Castigo/Penitência > 13.2 Instrumento de Castigo,Minas Gerais,Século XVIII/XIX,Não identificada,fundição | metal,,10,,"3,4",,,,"Algema confeccionada em metal (ferro) para prender os pulsos dos escravos. Peça de formato ovalado, composta por três chapas, uma delas retilínea (posicionada ao centro) intercalando duas outras chapas retorcidas em meio-arco com extremidades retangulares, todas possuindo orifícios para encaixe da fechadura (esta inexistente). As três chapas que compõem o objeto encontram-se unidas numa das extremidades através de parafuso de ferro.",,,museudodiamante_-_acervo-museologico,https://museudodiamante.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11603/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11603
13,,17,Algema,13 Castigo/Penitência > 13.2 Instrumento de Castigo,Minas Gerais,Século XVIII/XIX,Não identificada,fundição | metal,,"9,4",,"2,1",,,,"Algema confeccionada em metal (ferro) para prender os pulsos dos escravos. Peça de formato ovalado, composta por três chapas delgadas, uma delas retilínea (posicionada ao centro) intercalando duas outras chapas retorcidas em meio-arco com extremidades quadrangulares, todas possuindo orifícios para encaixe da fechadura (esta inexistente). As três chapas que compõem o objeto encontram-se unidas numa das extremidades através de parafuso de ferro.",,,museudodiamante_-_acervo-museologico,https://museudodiamante.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11603/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11603
14,,18,Algema,13 Castigo/Penitência > 13.2 Instrumento de Castigo,Minas Gerais,Século XVIII/XIX,Não identificada,fundição | metal,,"11,5",,"3,7",,,,"Algema confeccionada em metal (ferro) para prender os pulsos dos escravos. Peça de formato ovalado, composta por três chapas delgadas, uma delas retilínea (posicionada ao centro) intercalando duas outras chapas retorcidas em meio-arco com extremidades quadrangulares com recorte em formato de seta, todas possuindo orifícios para encaixe da fechadura (esta inexistente). As três chapas que compõem o objeto encontram-se unidas numa das extremidades através de parafuso de ferro.",,,museudodiamante_-_acervo-museologico,https://museudodiamante.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11603/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11603
15,,19,Algema,13 Castigo/Penitência > 13.2 Instrumento de Castigo,Minas Gerais,Século XVIII/XIX,Não identificada,fundição | metal,,"11,5",,"4,5",,,,"Algema confeccionada em metal (ferro) para prender os pulsos dos escravos. Peça de formato ovalado, composta por três chapas delgadas, uma delas retilínea (posicionada ao centro) intercalando duas outras chapas retorcidas em meio-arco com extremidades quadrangulares e com recortes, todas possuindo orifícios para encaixe da fechadura (esta inexistente). As três chapas que compõem o objeto encontram-se unidas numa das extremidades através de parafuso de ferro.",,,museudodiamante_-_acervo-museologico,https://museudodiamante.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11603/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11603
16,,21,Algema,13 Castigo/Penitência > 13.2 Instrumento de Castigo,Minas Gerais,Século XVIII/XIX,Não identificada,fundição | metal,,10,,"4,5",,,,"Algema confeccionada em metal (ferro) para prender os pulsos dos escravos. Peça de formato ovalado, composta por três chapas delgadas, uma delas retilínea (posicionada ao centro) intercalando duas outras chapas retorcidas em meio-arco com extremidades recortadas, todas possuindo orifícios para encaixe da fechadura (esta inexistente). As três chapas que compõem o objeto encontram-se unidas numa das extremidades através de parafuso de ferro.",,,museudodiamante_-_acervo-museologico,https://museudodiamante.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11603/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11603
17,,22,Algema,13 Castigo/Penitência > 13.2 Instrumento de Castigo,Minas Gerais,Século XVIII/XIX,Não identificada,fundição | metal,,"12,3",,4,,,,"Algema confeccionada em metal (ferro) para prender os pulsos dos escravos. Peça de formato ovalado, composta por três chapas delgadas, uma delas retilínea (posicionada ao centro) intercalando duas outras chapas retorcidas em meio-arco com extremidades recortadas em curva e com ponta abaulada, todas possuindo orifícios para encaixe da fechadura (esta inexistente). As três chapas que compõem o objeto encontram-se unidas numa das extremidades através de parafuso de ferro.",,,museudodiamante_-_acervo-museologico,https://museudodiamante.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11603/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11603
18,Tiotê,23,Ferro de passar,05 Interiores > 05.3 Equipamento de serviços domésticos,[Minas Gerais],Século XIX,Não identificada,fundição | metal,,6,,,,,,"Ferro de passar, também conhecido como “ferro italiano”, confeccionado em metal (ferro) composto por duas hastes delgadas e cilíndricas, contendo eixo central preso por parafuso, que funciona em sistema de “tesoura”. Na extremidade, cabo subdividido e finalizado em dois aros, em ferro retorcido recoberto por corda, para colocação dos dedos.",,,museudodiamante_-_acervo-museologico,https://museudodiamante.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11603/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11603
19,Tiotê,24,Ferro de passar,05 Interiores > 05.3 Equipamento de serviços domésticos,[Minas Gerais],Século XIX,Não identificada,fundição | metal,,"9,5",,,,,,"Ferro de passar, também conhecido como “ferro italiano”, confeccionado em metal (ferro) composto por duas hastes delgadas e cilíndricas, arrematadas por estruturas quadrangulares próximas ao eixo central, funcionando em sistema de “tesoura”. Na extremidade, cabo subdividido e finalizado em dois aros, em ferro retorcido, para colocação dos dedos.",,,museudodiamante_-_acervo-museologico,https://museudodiamante.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11603/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11603
20,Tiotê,25,Ferro de passar,05 Interiores > 05.3 Equipamento de serviços domésticos,[Minas Gerais],Século XIX,Não identificada,fundição | metal,,"8,3",,,,,,"Ferro de passar, também conhecido como “ferro italiano”, confeccionado em metal (ferro) composto por duas hastes delgadas e abauladas, arrematadas por estruturas ovaladas. Apresenta eixo central preso por parafuso, funcionando em sistema de “tesoura”. Na extremidade, cabo subdividido e finalizado em dois aros, em ferro retorcido, para colocação dos dedos.",,,museudodiamante_-_acervo-museologico,https://museudodiamante.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11603/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11603
21,,26,Roca,06 Trabalho > 06.5 Equipamento de Fiação/Tecelagem,Minas Gerais,Século XIX,Não identificada,fundição | madeira | marcenaria | metal | torneado,"63,5","30,2",,,"33,1",,,"Roca de fiar confeccionada em madeira (jacarandá), sustentada por quatro pés retos, posicionados em diagonal, tendo a parte central em tábua delgada, de formato retangular, arrematada por estrutura quadrangular composta por quatro hastes encaixadas (duas delas com pinos na parte superior), com prolongamento para encaixe de roldanas (3 exemplares). Na outra extremidade, estrutura circular correspondente à roda, ornada por frisos e presa à tábua através de duas hastes verticais com eixo em ferro, que permite o funcionamento do sistema giratório para enrolar a lã. Parte central da roda com decoração recortada em curva, contendo quatro extremidades.",,,museudodiamante_-_acervo-museologico,https://museudodiamante.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11603/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11603
22,,27,Roca,06 Trabalho > 06.5 Equipamento de Fiação/Tecelagem,Minas Gerais,Século XIX,Não identificada,couro | fundição | madeira | marcenaria | metal | torneado,"75,5","32,3",,,"37,5",,,"Roca de fiar confeccionada em madeira (jacarandá), sustentada por três pés posicionados em diagonal, dois deles presos à haste horizontal na base, com prolongamento correspondente ao pedal, que se liga à parte superior da roda através de tira de couro. Parte central em tábua delgada horizontal com prolongamento em estrutura quadrangular composta por hastes, tendo duas delas bilros nas extremidades, onde se encaixa estrutura horizontal com roldanas arrematadas por peça em ponta. Na outra extremidade, estrutura circular correspondente à roda, com eixo central decorado por seis hastes. Apresenta ainda duas hastes verticais atravessadas por pino de metal (ferro) terminado em espécie de manivela, que faz funcionar o sistema giratório da peça para enrolar a lã.",,,museudodiamante_-_acervo-museologico,https://museudodiamante.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11603/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11603
23,,28,Ferro de passar,05 Interiores > 05.3 Equipamento de serviços domésticos,[Minas Gerais],Século XIX,Não identificada,fundição | metal,"14,6","7,1",,,,"5,3",,"Ferro de passar confeccionado em metal (ferro), de médio porte, com base espessa, em formato retangular e terminação em seta. Extremidade composta por haste com a parte inferior abaulada e a parte superior em curva para encaixe da mão. Parte superior da peça formada por haste horizontal retilínea.",,,museudodiamante_-_acervo-museologico,https://museudodiamante.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11603/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11603
24,,30,Ferro de passar,05 Interiores > 05.3 Equipamento de serviços domésticos,[Minas Gerais],Século XIX,Não identificada,fundição | metal,"13,5",6,,,,"4,5",,"Ferro de passar confeccionado em metal (ferro), de médio porte, com base espessa, em formato retangular e terminação em seta. Extremidade composta por haste com a parte inferior abaulada e a parte superior em curva para encaixe da mão. Parte superior da peça formada por haste horizontal retilínea.",,,museudodiamante_-_acervo-museologico,https://museudodiamante.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11603/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11603
25,,31,Ferro de passar,05 Interiores > 05.3 Equipamento de serviços domésticos,[Minas Gerais],Século XIX,Não identificada,fundição | metal,"14,5",7,,,,3,,"Ferro de passar confeccionado em metal (ferro), de médio porte, com base espessa em formato de triângulo com laterais ligeiramente abauladas. Parte posterior do objeto composta por estrutura em chapa quadrangular de onde sai haste vertical delgada com extremidade superior em curva para encaixe da mão. Na parte frontal, haste vertical posicionada de forma inclinada com extremidade inferior retorcida e terminada em ponta. Parte superior da peça composta por haste horizontal em ferro retorcido formando torsado.",,,museudodiamante_-_acervo-museologico,https://museudodiamante.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11603/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11603
26,,33,Ferro de passar,05 Interiores > 05.3 Equipamento de serviços domésticos,[Minas Gerais],Século XIX,Não identificada,fundição | metal,9,"8,1",,,,"1,2",,"Ferro de passar confeccionado em metal (ferro), de pequeno porte, com base em formato de “ogiva”, tendo, ao centro, em relevo, emblema e tarja com inscrições ilegíveis, além do número “3”, disposto no canto inferior direito da chapa. Da base sobressaem duas hastes verticais, sendo a haste frontal em chapa retilínea, retorcida na parte superior, com prolongamento formando a haste horizontal abaulada e terminada em curva, destinada ao encaixe da mão.",,,museudodiamante_-_acervo-museologico,https://museudodiamante.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11603/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11603
27,,34,Ferro de passar,05 Interiores > 05.3 Equipamento de serviços domésticos,[Minas Gerais],Século XIX,Não identificada,fundição | madeira | metal | torneado,"12,5",9,,,,"2,9",,"Ferro de passar confeccionado em metal (ferro), de pequeno porte, com base em formato de triângulo, com laterais abauladas ornadas por pontilhados. Apresenta, na parte posterior, estrutura retangular que se abre com sistema de tranca feito através de gancho em metal. Superfície do objeto em chapa lisa de onde saem duas hastes curvas, posicionadas verticalmente, presas por parafusos terminados em ponta. Possui alça em madeira torneada e ornada por frisos nas extremidades e na parte central.",,,museudodiamante_-_acervo-museologico,https://museudodiamante.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11603/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11603
28,,35,Ferro de passar,05 Interiores > 05.3 Equipamento de serviços domésticos,[Minas Gerais],Século XIX,Não identificada,couro | curtigem | fundição | madeira | metal | torneado,20,"10,3",,,,"7,2",,"Ferro de passar, a carvão, confeccionado em metal (ferro) e couro, de médio porte, com base espessa em formato de triângulo, com laterais abauladas, contendo, na parte inferior, vinte orifícios vazados, dispostos dez de cada lado. Corpo do objeto composto por três chapas lisas de ferro, tendo, na parte posterior, espécie de tranca com bilro e parafuso. Superfície do objeto com tampa composta por chapa fixada por parafuso em uma das extremidades. Apresenta, nas laterais, ornamentação com recorte em pequenas curvas. Alça em curva recoberta de couro fixada à superfície através de duas estruturas abauladas presas por parafusos grandes. Na parte frontal superior do objeto, sistema de tranca com pequena manivela no mesmo metal.",,,museudodiamante_-_acervo-museologico,https://museudodiamante.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11603/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11603
29,,36,Ferro de passar com descanso,05 Interiores > 05.3 Equipamento de serviços domésticos,[Minas Gerais],Século XIX,Não identificada,entalhe | fundição | madeira | metal,"18,5","9,3",,,,"7,2",,"Ferro de passar, a carvão, confeccionado em metal (latão e cobre), madeira e couro, de médio porte, com base espessa em formato de triângulo, com laterais abauladas, contendo, na parte posterior, orifício em semicírculo com parte inferior reta (para colocação do carvão) com três parafusos. Na parte superior e inferior das chapas laterais, friso seguido de ornamentação composta por estrelas e pontilhados. Superfície do objeto em chapa lisa, com estrutura retilínea na parte posterior onde se prende alça de madeira torneada fixada à parte frontal vazada, de formato cilíndrico e em curva, confeccionada em metal. Apresenta descanso separado, em formato de “ogiva”, sustentada por três pés retos, contendo dois pinos na superfície para fixar o ferro. Peça confeccionada em metal (latão) com decoração vazada em volutas contrapostas. Cabo em madeira torneada e com frisos.",,,museudodiamante_-_acervo-museologico,https://museudodiamante.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11603/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11603
30,,37,Cachimbo,12 Objetos Pessoais > 12.2 Artigo de Tabagismo,Minas Gerais,Século XVIII/XIX,Não identificada,entalhe | madeira | torneado,,,,,"5,5",,,"Cachimbo confeccionado em madeira mais clara, de estrutura fálica, contendo bocal com orifício vazado ornado por quatro espécies de coração, em relevo, entremeados por dois frisos espessos, um deles se prolongando até a extremidade da peça. Apresenta ainda contorno em friso torsado. Fornilho bojudo ornado por seis corações de tamanho maior.",,,museudodiamante_-_acervo-museologico,https://museudodiamante.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11603/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11603
31,,38,Cachimbo,12 Objetos Pessoais > 12.2 Artigo de Tabagismo,Minas Gerais,Século XVIII/XIX,Não identificada,entalhe | madeira | torneado,,,,,3,,,"Cachimbo confeccionado em tronco de árvore, de madeira escura, contendo estrutura longilínea, fornilho e bocal. Apresenta bocal liso, estrutura central em espiral entremeada por quatro frisos em meia-cana. Fornilho bojudo ornado externamente por gomos entremeados por quatro frisos simples, tendo a parte interna circular.",,,museudodiamante_-_acervo-museologico,https://museudodiamante.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11603/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11603
32,,40,Cachimbo [fragmento] (fornilho),12 Objetos Pessoais > 12.2 Artigo de Tabagismo,Minas Gerais,Século XVIII/XIX,Não identificada,cerâmica | queima,5,,,,4,,,"Fornilho (fragmento correspondente à extremidade do cachimbo onde é queimado o fumo) confeccionado em cerâmica, composto por extremidade superior circular ornada externamente por friso simples e dez gomos em relevo. Apresenta corpo em formato de “L” com bocal circular, em menor dimensão, ornado por friso e oito gomos.",,,museudodiamante_-_acervo-museologico,https://museudodiamante.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11603/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11603
33,,41,Cachimbo [fragmento] (fornilho),12 Objetos Pessoais > 12.2 Artigo de Tabagismo,Minas Gerais,Século XVIII/XIX,Não identificada,cerâmica | queima,"5,5",,,,"3,8",,,"Fornilho (fragmento correspondente à extremidade do cachimbo onde é queimado o fumo) confeccionado em cerâmica, em tom claro, ornado por quatro cabeças de figuras antropomorfas, dispostas duas na parte superior e as outras duas na outra extremidade. Corpo do objeto em formato de “L”, com bocal vazado e em formato circular, de dimensão menor. Peça contornada por friso recortado em curva. Parte superior ornada por friso, com a parte interna cônica.",,,museudodiamante_-_acervo-museologico,https://museudodiamante.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11603/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11603
34,,42,Cachimbo [fragmento] (fornilho),12 Objetos Pessoais > 12.2 Artigo de Tabagismo,Minas Gerais,Século XVIII/XIX,Não identificada,cerâmica | queima,9,,,,"6,3",,,"Fornilho (fragmento correspondente à extremidade do cachimbo onde é queimado o fumo) confeccionado em cerâmica, em tom marrom claro, ornado por cabeça de figura antropomorfa, posicionada de perfil, com orifícios que compõem os olhos, nariz grande, orelhas aparentes, rosto longilíneo e magro, boca grande e queixo proeminente. O pescoço corresponde ao corpo do objeto, arrematado por friso denteado e orifício vazado. Na parte superior, friso abaulado com a mesma padronagem e parte interna cônica.",,,museudodiamante_-_acervo-museologico,https://museudodiamante.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11603/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11603
35,,43,Libambo com 12 gargalheiras,13 Castigo/Penitência > 13.2 Instrumento de Castigo,Minas Gerais,Século XVIII,Não identificada,fundição | metal,,,,,"13,6",,,"Libambo [com doze gargalheiras] para transporte de escravos em comboio, confeccionado em metal (ferro), composto por corrente com cento e dez estruturas oitavadas e duas argolas. Apresenta doze gargalheiras de tamanhos e formatos diferenciados, algumas em chapa mais espessa e a maioria composta por aros. Próximo a uma das extremidades da peça, destaca-se uma gargalheira com fechadura no mesmo metal.",,,museudodiamante_-_acervo-museologico,https://museudodiamante.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11603/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11603
36,,44,Algema,13 Castigo/Penitência > 13.2 Instrumento de Castigo,Minas Gerais,Século XVIII/XIX,Não identificada,fundição | metal,,,,,"7,5","1,5",,"Algema confeccionada em metal (ferro) composta por chapas delgadas retorcidas, em formato de “8”, unidas por parafuso do mesmo metal. Na parte central, estrangulamento onde se destacam três orifícios, estando um orifício em uma chapa e outros dois na outra chapa. Numa das extremidades, o objeto é arrematado por prolongamentos que formam dois aros.",,,museudodiamante_-_acervo-museologico,https://museudodiamante.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11603/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11603
