,Número de registro,Outros números,Situação,Denominação,Título,Autor,Classificação,Resumo descritivo,Dimensões - altura,Dimensões - largura,Dimensões - profundidade/comprimento,Dimensões - diâmetro,Dimensões - peso,Material/Técnica,Local de produção,Data de produção,ACERVO,URL,TAINACAN_COLECTION_ID
10,MCP0012,,Localizado,Gamela,,Não identificado,05 Interiores > 05.6 Utensílio de Cozinha/Mesa,"Gamela de formato retangular, em madeira, com detalhes em placa de ferro. Entalhada em peça única de madeira, com detalhes de semi-círculo em cada quina superior. Em uma das laterais menor, placa de ferro fixada com prego, apresentando ferrugem e corrosão. A outra lateral menor está com a madeira deteriorada, e sem a placa, apresentando apenas sinais de que esteve ali.",21,93.5,,,,Madeira | Metal,Não identificado,Não identificada,museusibramgoias_-_museu-casa-da-princesa,https://museusibramgoias.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1227/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1227
11,MCP0013,,Localizado,Sela,,Não identificado,11 Transporte > 11.3 Acessório de Transporte Terrestre,"Objeto utilizado para montaria com predominância na cor escura composto por 06 partes principais, sendo três delas compondo a cobertura (duas na extensão da profundidade e 01 menor na parte da frente e fixada com fita de couro estreita com costura aparente); A parte do meio (abaixo da cobertura) possui formato ondular e com função estrutural (para fixação no animal de montaria) com predominância na cor clara; abaixo dessa estrutura há duas peças de couro na extensão da profundidade descolada da estrutura de fixação, porém ainda fixa em áreas pontuais. A parte central dessas peças possui um recorte em forma de ""V"". na parte anterio da peça, há presença de fios elétricos utilizados para fixação das três partes principais que compõem a peça e fios plásticos na parte inferior. na parte posterior da peça, há um fio sintético (corda) na cor azul que possui três nós em sua extensão provavelmente com função de sustentação no animal.",23.6,60,,,,Couro | Fibra > Fibra de Algodão | Fibra > Fibra Sintética | Metal | Plástico | Fibra > Fibra Vegetal > Sizal,Não identificado,Não identificada,museusibramgoias_-_museu-casa-da-princesa,https://museusibramgoias.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1227/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1227
12,MCP0014,,Localizado,Gamela,,Não identificado,05 Interiores > 05.6 Utensílio de Cozinha/Mesa,"Gamela de formato retangular, em madeira, com alguns pregos fixados nas faces laterais menores. Entalhada em peça única de madeira, com detalhes de semi-círculo em cada quina superior.Peça apresenta-se bastante fragilizada, com rachaduras longitudinais, podendo vir a rachar por completo.",19,90,,,,Madeira,Não identificado,Não identificada,museusibramgoias_-_museu-casa-da-princesa,https://museusibramgoias.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1227/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1227
13,MCP0015,,Localizado,Sela,,Não identificado,11 Transporte > 11.3 Acessório de Transporte Terrestre,"Objeto utilizado para montaria com predominância na cor clara; composta por 04 blocos de madeira para a sustentação, sendo duas levemente abauladas colocadas paralelas e inclinadas diagonalmente, espaçadas e encaixadas nos outros dois blocos de madeira de formato curvilíneo (em ""U"" invertido). O referidos encaixes são na forma macho-fêmea, sendo as peças curvilíneas as denominadas ""fêmeas"". Revestindo as partes curvilíneas e parte interior da profundidade da peça nota-se a presença de couro fixado à madeira por pregos de metal na cor escura. Em suas extremidades notam-se pequenas fitas de couro fixadas por nós (um de cada lado). Na parte anterior da peça, há um fio sintético claro amarrado à estrutura. A parte interna/meio da peça é vazada.",23,31,,,,Couro | Fibra > Fibra Sintética | Madeira | Metal,Não identificado,Não identificada,museusibramgoias_-_museu-casa-da-princesa,https://museusibramgoias.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1227/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1227
14,MCP0016,,Localizado,Cesto,,Não identificado,05 Interiores > 05.6 Utensílio de Cozinha/Mesa,"Cesto grande, de base retangular e profundo, trançado com tiras de bambu e com aplicação de barro nas partes interna e externa. Utilizado para armazenamento e conservação de alimentos. Encontra-se sobre dois blocos de madeira.",113,96,,,,Rocha > Argila | Madeira > Bambu,Não identificado,Não identificada,museusibramgoias_-_museu-casa-da-princesa,https://museusibramgoias.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1227/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1227
15,MCP0017,,Localizado,Cesto,,Não identificado,05 Interiores > 05.6 Utensílio de Cozinha/Mesa,"Cesto grande e comprido, cilíndrico de base retangular, trançado com tiras de bambu. Possui trançado quadricular de abertura grande na base. Parte superior aberta,possuindo espécie de tampa trançada em mesmo material e arame amarrado na extremidade desta.",216,36,,36,,Madeira > Bambu,Não identificado,Não identificada,museusibramgoias_-_museu-casa-da-princesa,https://museusibramgoias.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1227/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1227
16,MCP0018,,Localizado,Fragmento,,Não identificado,16 Amostras/Fragmentos,"Peça de madeira, espécie de ponteira. Possui a extremidade superior em forma de gota invertida. Na base, ponta de um prego e fragmento de pino de madeira, colado na pela, e rachado na parte externa.",22,5.8,,,,Madeira | Metal,Não identificado,Não identificada,museusibramgoias_-_museu-casa-da-princesa,https://museusibramgoias.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1227/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1227
17,MCP0019,,Localizado,Cangalha,,Não identificado,11 Transporte > 11.3 Acessório de Transporte Terrestre,"Objeto utilizado para montaria com predominância na cor clara; composta por 06 blocos de madeira para a sustentação, sendo duas retas, retangulares, colocadas paralelas e inclinadas diagonalmente, espaçadas e encaixadas nos outros dois blocos de madeira de formato curvilíneo (em ""U"" invertido). Essas peças curvilíneas possuem parte sobressalente em formata retangular (uma delas faz parte do bloco curvilíneo e a outra é uma peça à parte encaixada na parte curvilíea pelo tipo macho-fêmea e pregos). O referidos encaixes entre as estruturas principais não estão visíveis, apenas uma que indica o encaixe macho-fêmea. Revestindo as partes curvilíneas (somente parte das pernas) e os blocos retos da peça nota-se a presença de couro, com pêlos, fixado à madeira por amarração e pregos. Próximo às extremidades de todas as pernas da peça, há um orifício (provavelmente para fixação no animal). Alças de couro nas partes retilíneas.",53.2,51.4,,,,Couro | Fibra > Fibra Vegetal | Madeira | Metal > Prego,Não identificado,Não identificada,museusibramgoias_-_museu-casa-da-princesa,https://museusibramgoias.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1227/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1227
18,MCP0020,,Localizado,Molde/forma de Tijolo,,Não identificado,06 Trabalho > 06.8 Equipamento de Uso Geral,"Molde/Forma de tijolo, quadrangular, confeccionado em madeira. Possui dois orifícios internos, de formato retangular, onde são moldados os tijolos. Em cada orifício, em um dos lados menores, um pino de madeira fixado. Nas laterais externas opostas, um pegador em cada. Fôrma utilizada para confecção de tijolo maciço de barro.",12,33.7,,,,Madeira | Metal,Não identificado,Não identificada,museusibramgoias_-_museu-casa-da-princesa,https://museusibramgoias.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1227/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1227
19,MCP0021,,Localizado,Cangalha,,Não identificado,11 Transporte > 11.3 Acessório de Transporte Terrestre,"Objeto utilizado para montaria com predominância na cor escura; composta por 05 blocos de madeira para a sustentação, sendo duas retas, retangulares, colocadas paralelas e inclinadas diagonalmente, espaçadas e encaixadas nos outros dois blocos de madeira de formato curvilíneo (em ""U"" invertido). Essas peças curvilíneas possuem parte sobressalente em formato retangular (uma delas faz parte do bloco curvilíneo e a outra é uma peça à parte encaixada na parte curvilíea pelo tipo macho-fêmea e pregos). O referidos encaixes entre as estruturas principais não estão visíveis, apenas uma que indica o encaixe macho-fêmea. Revestindo as partes curvilíneas (de maneira irregular) e os blocos retos da peça nota-se a presença de couro, com pêlos, fixado à madeira por amarração e pregos. Alças de couro nas partes retilíneas e outra com argola de metal pendurada. Presença de corda de origem animal (couro?) apoiada sobre uma das partes curvilíneas.",49.5,55,,,,Couro | Madeira | Metal,Não identificado,Não identificada,museusibramgoias_-_museu-casa-da-princesa,https://museusibramgoias.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1227/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1227
20,MCP0022,,Localizado,Molde/forma de Tijolo,,Não identificado,06 Trabalho > 06.8 Equipamento de Uso Geral,"Molde/Forma de tijolo, retangular, confeccionado em madeira. Molde para um tijolo. Em uma das laterais internas, de menor dimensão, um pino semi-circular de madeira fixado. Na lateral interna oposta, três pregos fixados Nas laterais externas, de menor dimensão, um pegador em cada. Fôrma utilizada para confecção de tijolo maciço de barro.",14.5,44.5,,,,Madeira | Metal,Não identificado,Não identificada,museusibramgoias_-_museu-casa-da-princesa,https://museusibramgoias.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1227/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1227
21,MCP0023,,Localizado,Cangalha,,Não identificado,11 Transporte > 11.3 Acessório de Transporte Terrestre,"Objeto utilizado para montaria com predominância na cor clara; composta por 04 blocos de madeira para a sustentação, sendo duas retas, retangulares, colocadas paralelas e inclinadas diagonalmente, espaçadas e encaixadas nos outros dois blocos de madeira de formato curvilíneo (em ""U"" invertido). Essas peças curvilíneas possuem parte sobressalente em formato retangular fazendo parte dos blocos curvilíneo. O referidos encaixes entre as estruturas principais são do tipo macho-fêmea. Revestindo as partes curvilíneas (de maneira irregular) e os blocos retos da peça nota-se a presença de couro, com pêlos, fixado à madeira por amarração e pregos. Alça de couro pendurada nas partes retilíneas. Presença de corda de origem animal (couro?) apoiada sobre uma das partes curvilíneas.",46,57.5,,,,Couro | Madeira | Metal,Não identificado,Não identificada,museusibramgoias_-_museu-casa-da-princesa,https://museusibramgoias.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1227/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1227
22,MCP0024,,Localizado,Fragmento de Parede,,Não identificado,04 Construção > 04.4 Fragmento de Construção,"Fragmento de parede de adobe. Bloco monolítico de barro, com algumas partes apresentando fibras vegetais. Na extremidade de uma das laterais, restos de reboco, com camada disforme de cimento.",18,43,,,,Rocha > Argila | Cimento | Fibra > Fibra Vegetal,Não identificado,Não identificada,museusibramgoias_-_museu-casa-da-princesa,https://museusibramgoias.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1227/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1227
23,MCP0025,,Localizado,Sela,,Não identificado,11 Transporte > 11.3 Acessório de Transporte Terrestre,"Objeto utilizado para montaria, porém apenas por mulheres. É formada por uma cobertura de couro em cor escura encimada por parte acolchoada composta por algodão e juta, de formato curvilíneo, na parte anterior possui estrutura sobressalente com curvatura para a direita de que monta) em tecido (nas cores vermelho e branco, predominando a primeira cor) e couro com acolchoamento com predominância na cor escura; composta por 02 blocos de madeira retos e estreitos para a sustentação, sendo duas retas, retangulares, formando um ""V"" invertido e revestidas de tecido nas cores azul e branco. Algumas alças de couro estão fixas na parte inferior da peça e possuem tamanhos e formatos variados (duas em peças únicas, uma delas mais larga que a outra), outra formada por peça única, porém com recorte ao meio e unidas em sua base e outra com argola redonda e metálica na sua extremidade.",54,73,,,,Algodão | Couro | Tecido > Juta | Madeira | Metal | Fibra > Fibra Vegetal > Palha | Tecido,Não identificado,Não identificada,museusibramgoias_-_museu-casa-da-princesa,https://museusibramgoias.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1227/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1227
24,MCP0026,,Localizado,Fragmento de Parede,,Não identificado,04 Construção > 04.4 Fragmento de Construção,"Fragmento de parede de adobe. Bloco monolítico de barro, com algumas partes apresentando fibras vegetais. Em uma das laterais, parte da camada do reboco e do acabemento da parede, com pintura branca.",20,23.5,,,,Rocha > Argila | Cimento | Fibra > Fibra Vegetal | Pigmento,Não identificado,Não identificada,museusibramgoias_-_museu-casa-da-princesa,https://museusibramgoias.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1227/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1227
25,MCP0027,,Localizado,Cama,,Não identificado,05 Interiores > 05.5 Peça de Mobiliário,"Peça de mobiliário composta por madeira na cor escura e fibra vegetal/couro com a função de leito. A parte de madeira é composta por 10 blocos unidos por encaixe do tipo macho-fêmea (06 retilíneas e 04 com formato circular, torneado, e retangular na parte de junção dos blocos. na parte inferior da peça, os pés são torneados formando divisões 04 ""aneis"" intercalados com áreas curvilíneas.Na parte superior dessas áreas, formas torneadas formadas por 02 aneis em alto relevo (tamanhos variados) e um anel em baixo relevo da peça, intercalados por parte curvilínea, pés em forma de ""bolacha"". na parte superior (cabeceira) da peça, a parte inferior é igual à parte inferior (""pés da cama""); a parte superior possui divisões 04 ""aneis"" em baixo relevo intercalados com áreas curvilíneas maiores e sem ornamentação; possui, ainda, 02 aneis em alto relevo.",68,119.6,,,,Couro | Madeira | Metal,Não identificado,Não identificada,museusibramgoias_-_museu-casa-da-princesa,https://museusibramgoias.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1227/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1227
26,MCP0028,,Localizado,Molde/fôrma,,Não identificado,06 Trabalho > 06.8 Equipamento de Uso Geral,"Molde/Forma de tijolo, retangular, confeccionado em madeira. Molde para um tijolo. Composto por quatro partes de tábuas de madeiras pregadas e encaixadas. Madeiras se encontram bastante danificadas, com rachaduras e algumas partes corroídas. Fôrma utilizada para confecção de tijolo maciço de barro.",20.5,56.3,,,,Madeira | Metal,Não identificado,Não identificada,museusibramgoias_-_museu-casa-da-princesa,https://museusibramgoias.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1227/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1227
27,MCP0029,,Localizado,Canga,,Não identificado,11 Transporte > 11.3 Acessório de Transporte Terrestre,"Peça de madeira de formato irregular (reto, curva para cima, reto) composto por bloco único; possui recortes retangulares vazadas nas faces frontal (02) e superior (06, sendo dois em cada parte da peça: reto, curvo e reto) com o objetivo de encaixe de outras peças de madeira (ausência das peças); possui peças circulares metálicas ao longo da peça e com tamanhos variados.",33.5,166,,,,Madeira | Metal,Não identificado,Não identificada,museusibramgoias_-_museu-casa-da-princesa,https://museusibramgoias.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1227/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1227
28,MCP0030,,Localizado,Serrote,,Não identificado,06 Trabalho > 06.8 Equipamento de Uso Geral,"Serrote com lâmina comprida e curva ao centro e cabo de madeira nas duas extremidades. Seu funcionamento requer duas pessoas. Próximo a um dos cabos, um fio de arame amarrado (possivelmente, como suporte para pendurá-lo).",13,174,,,,Madeira | Metal,Não identificado,Não identificada,museusibramgoias_-_museu-casa-da-princesa,https://museusibramgoias.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1227/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1227
29,MCP0031,,Localizado,Canga,,Não identificado,11 Transporte > 11.3 Acessório de Transporte Terrestre,"Peça de madeira de formato irregular (reto, curva para cima, reto) composto por bloco único com o objetivo de transporte terrestre bovino (?); possui recortes retangulares vazadas nas faces frontal (02) e superior (06, sendo dois em cada parte da peça: reto, curvo e reto) com o objetivo de encaixe de outras peças de madeira (ausência das peças).",40,160,,,,Madeira,Não identificado,Não identificada,museusibramgoias_-_museu-casa-da-princesa,https://museusibramgoias.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1227/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1227
30,MCP0032,,Localizado,Conjunto de 2 Serrotes,,Não identificado,06 Trabalho > 06.8 Equipamento de Uso Geral,"- Serrote com lâmina comprida e curva no centro, com cabo de madeira em apenas uma das extremidades. Na outra extremidade, apenas sinal do rebite que fixava a placa de suporte do cabo. Seu funcionamento requer duas pessoas. Próximo ao cabo, um fio de arame amarrado (possivelmente, como suporte para pendurá-lo). Altura 12,3 / Largura 152.

- Serrote com lâmina comprida e curva no centro,possui duas alças em cada extremidade, onde são encaixados os cabos de madeira (inexistentes na peça). Em uma das alças, fio de arame amarrado (possivelmente, como suporte para pendurá-lo). Seu funcionamento requer duas pessoas. Altura 15 / Largura 206.",,,,,,Madeira | Metal,Não identificado,Não identificada,museusibramgoias_-_museu-casa-da-princesa,https://museusibramgoias.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1227/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1227
