,Número de registro,Outros números,Situação,Denominação,Autor,Classificação,Resumo descritivo,Dimensões - altura,Dimensões - largura,Dimensões - profundidade/comprimento,Dimensões - diâmetro,Dimensões - peso,Material/Técnica,Local de produção,Data de produção,ACERVO,URL,TAINACAN_COLECTION_ID
10,GO.99.029.505,366,Localizado,São Miguel,Não identificado,02 Artes Visuais/Cinematográfica > 02.3 Escultura,"Figura masculina de pé , frontal, cabeça pendida a direita, cabelos penteados para trás, caindo sobre os ombros, capacete azul com moldura dourada e pequeno penacho. Olhos pequenos, sobrancelhas finas, nariz aquilíneo, boca pequena, rosto sereno. Braço esquerdo estendido com a mão segurando um bastão e braço direito estendido com a mão segurando uma balança, tendo em cada bacia e metade da figura humana. Perna direita erata apoiada sobre as nuvens e esquerda flexionada com pé em plano mais alto. Usa sandálias de cano até altura dos joelhos. Túnica ou armadura junto ao corpo, saiote curto. (...) tons rosa, azul e dourado. Policromia. Manto em movimento esvoaçante saindo do ombro esquerdo, em cores verde, vermelho, dourado e com desenhos fitomórficos. Asas nasce nas costas, estão abertas, apresentando três cores. Base em forma de nuvens esvoaçantes e pedra retangular com cantos chanfradas.","0,5 m","0,4 m",,,,Madeira,Não identificado,Não identificada,museusibramgoias_-_museu-casa-da-boa-morte,https://museusibramgoias.acervos.museus.gov.br/wp-json/tainacan/v2/collection/3387/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,3387
11,GO.99.029.160,83013029160 | 108-2,Localizado,Castiçal,Não identificado,05 Interiores > 05.4 Objeto de Iluminação,"Castiçal com base piramidal, decorado com folhas de acanto e com três figuras iconográficas: Pai, Filho e Espirito Santo. Coluna com base em forma de vaso, com frisos de ramos seguido por uma frente. Capitel liso de onde sai arandela em forma de prato circular, com frisos nas bordas, bocal cilíndrico.","0,68 m ",,,,,Metal > Latão,Não identificado,Século XIX,museusibramgoias_-_museu-casa-da-boa-morte,https://museusibramgoias.acervos.museus.gov.br/wp-json/tainacan/v2/collection/3387/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,3387
12,GO.99.029.843,GO.02.029.835 | 550,Localizado,Crucifixo,Não identificado,02 Artes Visuais/Cinematográfica > 02.3 Escultura,"Crucifixo de base piramidal, trifacetado, com cantos chanfrados. Cruz de base reta, nas laterais decoradas por raios feitos de folha de fronde e um resplendor ao centro do mesmo. Ponteira de folha de fronde em forma de folha trifacetada com flor no centro. Titulo de forma retangular com as laterais em curvas formando motivos fitomórficos. Imagem de Cristo com a cabeça direcionada para baixo, cabelos e mechas caindo nos ombros, braços em ""Y"", mãos entreabertas pregadas na cruz. Tórax contraído, pernas levemente flexionadas. Pé direito sobre o esquerdo. Veste perizonio com nó do lado direito. Peça composta por quatro partes de madeira e onze partes de folha de fronde de latão.",,,,,,Metal > Latão,Não identificado,Século XVIII,museusibramgoias_-_museu-casa-da-boa-morte,https://museusibramgoias.acervos.museus.gov.br/wp-json/tainacan/v2/collection/3387/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,3387
13,GO.99.029.044,68042029044 | 24,Localizado,Jarro,Não identificado,09 Objetos Cerimoniais > 09.3 Objeto de Culto,"Jarro em forma de ânfora, base circular com frisos perolados. Parte superior campaniforme. Bojo Abaulado com aplique de desenho fitomorfos. Gargalo curto com terminação de friso perolado. Bico recortado e rebitado com bordas lisas. Asas de acanto, palmeta a asa se liga ao gargalo.","0,42 m","0,26 m",,,,Metal > Cobre | Metal > Latão,Não identificado,Século XIX,museusibramgoias_-_museu-casa-da-boa-morte,https://museusibramgoias.acervos.museus.gov.br/wp-json/tainacan/v2/collection/3387/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,3387
14,GO.99.029.244,83093029244 | 77,Localizado,Nossa Senhora da Conceição,Não identificado,02 Artes Visuais/Cinematográfica > 02.3 Escultura,"Figura feminina de pé, posição frontal, olhos abertos, cabelos lisos caídos nas costas, aparecendo a parte das orelhas, coberto por véu em pontas. Veste túnica longa cobrindo os pés presa a cintura por cordão, cola de drapeada. Manto envolvendo as costas preso as pontas sob braço esquerdo. Pernas firmes pisando na lua com base formando por nuvens com querubins a frente. Peanha oitavada. A madeira é cortada em quatro blocos, imagem pecúlia e as mãos. Policromia carnação rosa pálido. Olhos pintados, pintura de flores no manto e na túnica, cores tuca azul claro, manto azul escuro, verso vermelho, véu e asa de anjo vermelha, flores douradas, nuvens azul e dourado, pecúlia vermelha.","0,54 m","0,19 m",,,,Madeira,Não identificado,Século XIX,museusibramgoias_-_museu-casa-da-boa-morte,https://museusibramgoias.acervos.museus.gov.br/wp-json/tainacan/v2/collection/3387/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,3387
15,GO.99.029.020,68020029020 | 74,Localizado,São Benedito das Flores,Não identificado,02 Artes Visuais/Cinematográfica > 02.3 Escultura,"Figura masculina, de pé, cabelos encaracolados em corte arredondado com tonsura. Braço direito afastado do corpo e direcionado para frente. Braço esquerdo flexionado, mão espalmada tendo preso ao cinto um buquê de flores, perna direita flexionada para trás e esquerda a frente reta. Vesta hábito preto franciscano com capuz. Cordão enrolado na cintura. Peanha arredondada com ângulos dianteiros batidos, frente abaulada, costas retas. Escultura policromada.","0,34 m","0,12 m",,,,Madeira,Não identificado,Século XIX,museusibramgoias_-_museu-casa-da-boa-morte,https://museusibramgoias.acervos.museus.gov.br/wp-json/tainacan/v2/collection/3387/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,3387
16,GO.99.029.045,68042029045 | 24,Localizado,Bacia,Não identificado,09 Objetos Cerimoniais > 09.3 Objeto de Culto,"Bacia com base circular e frisos perolados. Parte interior, lisa e côncava, bacia de forma abaulada. Borda decorada com elementos fitomórficos.","0,16 m",,,"0,44 m",,Metal > Cobre,Não identificado,Século XIX,museusibramgoias_-_museu-casa-da-boa-morte,https://museusibramgoias.acervos.museus.gov.br/wp-json/tainacan/v2/collection/3387/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,3387
17,GO.99.029.148,13005029148 | 93,Localizado,Ostensório,Não identificado,09 Objetos Cerimoniais > 09.3 Objeto de Culto,"Peça em latão, recortado, repuxado e fundido; composto de várias partes, sendo dois vidros no visor, uma portinhola e uma dobradiça de pino e com fecho, parafuso na coluna e douramento. Com base circular, sustentado por seis pés em forma de folhas de acanto, base decorada com folhas de acanto, frisos e pedras vermelhas. Coluna iniciada por anel seguindo uma parte lisa, no centro uma parte arredondada com folhas de acanto e pedras vermelhas, seguindo por outra parte lisa com decoração em alto relevo sendo galhos, folhas de acanto e pinhas. Custódia circular decorada por folhas de acanto e pedras vermelhas. Luneta circular em vidro, contornada por frisos e pedras brancas, ao redor encimado por cruz, com resplendor e pontas trilobadas e ao centro uma pedra vermelha.","0,575 m","0,3 m",,,,Metal,Não identificado,Século XX,museusibramgoias_-_museu-casa-da-boa-morte,https://museusibramgoias.acervos.museus.gov.br/wp-json/tainacan/v2/collection/3387/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,3387
18,GO.99.029.026,68026029026 | 64,Localizado,Santa Bárbara,Não identificado,02 Artes Visuais/Cinematográfica > 02.3 Escultura,"Figura feminina, de pé, posição frontal, cabeça ligeiramente inclinada a esquerda. Olhos pintados voltados para o mesmo lado. Cabelos pretos semilongos lisos caindo sobre os ombros. Boca pequena fechada de cantos caídos. Braço esquerdo flexionado junto ao corpo na horizontal com mãos de segurar. Veste túnica semilonga rosa presa a cintura por um cordão formando uma saia com pregas, com motivos vermelhos. Manto longo vermelho caindo do ombro esquerdo passando pelas costas e drapeado na frente. Perna direita flexionada a frente. Perna esquerda firme para trás. Pés afastados, calça sapatos. Do lado esquerdo uma torre com base e cúpula com pintura na frente da torre representando uma janela gradeada, portas nos três lados da torre na cor preta. A pecúlia da figura feminina é quadrada com cantos batidos, sendo com a torre retangular. A imagem é composta de duas seções, sendo a torre encaixada na figura feminina. Escultura policromada.","0,21 m","0,125 m",,,,Madeira,Não identificado,Século XIX,museusibramgoias_-_museu-casa-da-boa-morte,https://museusibramgoias.acervos.museus.gov.br/wp-json/tainacan/v2/collection/3387/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,3387
19,GO.99.029.448,96-2,Localizado,Castiçal,Não identificado,05 Interiores > 05.4 Objeto de Iluminação,"Castiçal com base triangular trifacetada, com pés em sapatas ovais, arrematada por folhas de acanto. Três faces com imagens em alto relevo, sendo elas de Nossa Senhora, José e de Jesus. Coluna com base em forma de vaso e cone canelado, seguido de uma parte lisa, arandela em forma de prato e com bordas em forma de gomo. Bocal cilíndrico com frisos lisos.",0.39 m,,,,"0,700 kg",Metal > Latão,Não identificado,Século XIX,museusibramgoias_-_museu-casa-da-boa-morte,https://museusibramgoias.acervos.museus.gov.br/wp-json/tainacan/v2/collection/3387/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,3387
20,GO.99.029.028,68028029028 | 81,Localizado,Galheta,Não identificado,09 Objetos Cerimoniais > 09.3 Objeto de Culto,"Galheta em forma de jarra, base circular e lisa. Bojo arredondado liso com friso ao meio. Borda circular lisa, com um bico.","0,05 m",,,30.12,,Metal > Cobre,Não identificado,Século XVIII,museusibramgoias_-_museu-casa-da-boa-morte,https://museusibramgoias.acervos.museus.gov.br/wp-json/tainacan/v2/collection/3387/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,3387
21,GO.99.029.007,68007029007 | 34,Localizado,São Nicolau,Não identificado,02 Artes Visuais/Cinematográfica > 02.3 Escultura,"Figura masculina de pé posição frontal. Inclinada para direita, o corpo e cabeça. Cabelos curtos. Barba curta serrada, partida ao meio. Braço direito flexionado, mão em posição de segurar. Pés descalços em afastamento, perna direita flexionada. Veste, habito religioso, cordão religioso, cordão amarrado na cintura, capa 3/4 caindo do ombro com capuz no pescoço.","0,25 m ","0,075",,,,Matéria Orgânica > Marfim,Não identificado,Século XIX,museusibramgoias_-_museu-casa-da-boa-morte,https://museusibramgoias.acervos.museus.gov.br/wp-json/tainacan/v2/collection/3387/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,3387
22,GO.99.029.245,83094029245 | 78,Localizado,Nossa Senhora Abadia com Menino,Não identificado,02 Artes Visuais/Cinematográfica > 02.3 Escultura,"Figura feminina, de pé, posição frontal, pés sob globo formato de nuvens, com três anjos na frente. Cabeça levemente inclinada a frete. Olhos direcionados nariz aquilino. Cabelos partidos ao meio caído nas costas. Coberto por véu caindo em ponta nas costas. Braço direito flexionado a frente com mão espalmada, esquerdo flexionada, mão espalmada servido de apoio para o menino. Perna direita flexionada e a esquerda reta. Veste túnica longa cobrindo o pé presa na cintura por faixa. Decote decorada com flores e barra dourada drapeada, com barras dourado. Manto caindo do ombro esquerdo cobrindo as costas junto as pontas juntas no braço esquerdo decorado com flores; verso vermelho, barra dourada. Base retangular com cantos batidos. A escultura foi feita com somente uma peça de madeira, os olhos pintados e carnação clara e lábios vermelhos.","0,5 m","0,15 m",,,,Madeira,Não identificado,Século XIX,museusibramgoias_-_museu-casa-da-boa-morte,https://museusibramgoias.acervos.museus.gov.br/wp-json/tainacan/v2/collection/3387/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,3387
23,GO.99.029.030,68029029030 | 99,Localizado,Turíbulo,Abrão Eberle e Cia,09 Objetos Cerimoniais > 09.3 Objeto de Culto,"Turíbulo com base circular, torneado com incisão de um friso decorado com quatro folhas de acanto. Fogareiro globular com quatro folhas de acanto e motivos geométricos; na parte superior três querubins onde se fixam as correntes. Tampa em forma de sino com quatro passadores para correntes de argola lisa, decorada com os mesmos motivos da base, com recortes e furos para respirador. Pires de passar e sustentar as correntes, fundido, lombada com três frisos incisos com os mesmos motivos da tampa e encimado por argola.","0,25 m",,,"0,115 m","0,700 kg",Metal,Não identificado,Século XX,museusibramgoias_-_museu-casa-da-boa-morte,https://museusibramgoias.acervos.museus.gov.br/wp-json/tainacan/v2/collection/3387/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,3387
24,GO.99.029.532,570,Localizado,Resplendor do Divino,Não identificado,02 Artes Visuais/Cinematográfica > 02.3 Escultura,"Coluna de base piramidal com três pés, decorado por curvas contrarias e volutas. Pintura vermelha e dourado. Coluna iniciada por dois friso de forma triangular e com cantos chanfrados, de onde sai um globo liso e azul com orifício central na parte superior e inferior. Resplendor sendo um áureo em forma de nuvens azul claro e branco, de onde sai raios sendo folhas de fronde recortados. No centro do áureo, argola com linha que sustenta a pomba do Divino que se apresenta de asas abertas e pernas e pés flexionados, pintados de branco. A peça é composta por seis partes de madeira, com raios de folhas de frande recordado.","0,58 m","0,33 m",,,,Madeira,Não identificado,Não identificada,museusibramgoias_-_museu-casa-da-boa-morte,https://museusibramgoias.acervos.museus.gov.br/wp-json/tainacan/v2/collection/3387/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,3387
25,GO.99.029.032,68031029032 | 101,Localizado,Turíbulo,Não identificado,09 Objetos Cerimoniais > 09.3 Objeto de Culto,"Turíbulo com base circular, três frisos, bojo em forma de taça com friso, junto da borda três pistões onde as correntes estão presas. Tampa em forma de sino, borda com três argolas as quais encaixam nos três pistões. Orifícios circulares em forma de cruz, orifícios contornados por dois frisos, arremate com um pistão e argola. Pires com quatro orifícios, dois frisos, um pistão e argola.","0,18 m",,,"0,09 m","0,350 kg",Metal > Latão,Não identificado,Século XX,museusibramgoias_-_museu-casa-da-boa-morte,https://museusibramgoias.acervos.museus.gov.br/wp-json/tainacan/v2/collection/3387/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,3387
26,GO.99.029.253,83102029253 | 110,Localizado,Nossa Senhora do Rosário,Não identificado,02 Artes Visuais/Cinematográfica > 02.3 Escultura,"Figura feminina em pé, posição frontal, cabeça levemente inclinada á direita. Cabelos longos caindo para trás cobertos por um véu. Olhos pintados, nariz reto, boca pequena, veste túnica, presa á cintura um cordão. Manto saindo do ombro esquerdo, envolvendo o corpo e preso no braço esquerdo. Manto azul royal com flores e estrelas douradas, borda pintada em dourado, fundo vermelho. Pisa sobre o globo terrestre com três cabeças de anjo. Base da peanha em forma de pirâmide octogonal. Peanha pintada de vermelho e azul médio.","0,81 m","0,32 m",,,,Madeira,Não identificado,Século XVIII,museusibramgoias_-_museu-casa-da-boa-morte,https://museusibramgoias.acervos.museus.gov.br/wp-json/tainacan/v2/collection/3387/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,3387
27,GO.99.029.256,83105029256 | 173,Localizado,Nossa Senhora da Conceição,Não identificado,02 Artes Visuais/Cinematográfica > 02.3 Escultura,"Figura feminina em pé de posição frontal. Boca fechada, nariz aquilíneo, fisionomia serena. Cabelos longos e castanhos em mecha caído sobre os ombros e as costas. Pescoço longo. Braços flexionados com mãos postas. Apoiada na perna esquerdo com direito flexionada coberta pela túnica branca longa com pregas da cintura para baixo. Manto longo azul sobre os ombros com fundo vermelho. Base sendo uma peanha oval e furo na cabeça para resplendor. A peça é composta em cinco partes e a policromia em branco, azul e vermelho.","0,61 m","0,24 m",,,,Rocha > Argila > Terracota,Não identificado,Século XIX,museusibramgoias_-_museu-casa-da-boa-morte,https://museusibramgoias.acervos.museus.gov.br/wp-json/tainacan/v2/collection/3387/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,3387
28,GO.99.029.507,368,Localizado,Santa Efigênia,Não identificado,02 Artes Visuais/Cinematográfica > 02.3 Escultura,"Figura feminina em pé de posição frontal, cabeça um pouco inclinada para esquerda, tem os olhos de vidro, nariz aquilíneo, boca semi-aberta, rosto redondo. Braço direito aberto e flexionado em posição de segurar. O braço esquerdo flexionado tendo nas mãos uma casa. Pernas direita flexionada sob a túnica. Veste habito de freira, sendo túnica marrom longa, manga bege sobre os ombros e véu preto e curto. Aos pés a metade do corpo de um homem mostrando um braço forte e parte da face, tendo barbas e cabelos longos. Peanha em forma de monte. A peça em madeira é esculpida e composta por três partes. A policromia é o bege, marrom, preto e verde. Apresenta um orifício na cabeça para o resplendor e outro na peanha para andor.","0,67 m","0,40 m",,,,Madeira,Não identificado,Século XVIII,museusibramgoias_-_museu-casa-da-boa-morte,https://museusibramgoias.acervos.museus.gov.br/wp-json/tainacan/v2/collection/3387/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,3387
29,GO.99.029.252,83101029252 | 181,Localizado,Imaculada Conceição,Não identificado,02 Artes Visuais/Cinematográfica > 02.3 Escultura,"Figura feminina de pé, posição frontal. Cabeça levantada, olhos para alto e para frente. Cabelos longos caídos nas costas, levemente ondulados e partidos ao meio. Sobrancelhas finas, nariz reto. Boca pequena, lábios finos e recortados, buço bem visível. Braços flexionados sobre o tórax, mão direita sobre a esquerda. Perna direita flexionada á frente da esquerda. Manto caindo nas costas, passando sobre o braço esquerdo. Ele é azul claro com fundo rosa claro, borda em friso dourado, acima da borda elementais florais. Pisa sobre nuvens com cabeça de três anjos. Panha octogonal pintada da marrom. A madeira cedro esculpida é composta por seis partes.","1,27 m","0,41 m",,,,Madeira,Não identificado,Século XIX,museusibramgoias_-_museu-casa-da-boa-morte,https://museusibramgoias.acervos.museus.gov.br/wp-json/tainacan/v2/collection/3387/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,3387
