,Outros números,Denominação,Título,Autor,Resumo descritivo,Material/Técnica,Classificação,Data de produção,Local de produção,Condições de reprodução,ACERVO,URL,TAINACAN_COLECTION_ID
10,T 850,Banqueta,,Não identificado,Banqueta em madeira e palhinha com declive no acento; Pernas retas; Amarração em quadrado.,Madeira | Palhinha,05 Interiores > 05.5 Peça de Mobiliário,[s.d.],Não identificado,,museucasadahera_-_acervo-museologico,https://museucasadahera.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
11,Tulipa-795 | Base-791,Arandela,,Não identificado,"Base em material de cobre, com douramento; Tulipa em cristal bacará translucido com motivos geométricos formando pequenas flores. Desenho incrustado no vidro.",Cobre | Cristal Bacará,05 Interiores > 05.4 Objeto de Iluminação,[s.d.],Não identificado,,museucasadahera_-_acervo-museologico,https://museucasadahera.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
12,S/N,Colher de sobremesa,,SL Superilure,"Colher em prata; ponta abaulada; Cabo fino terminando em ponta mais larga; Toda a extensão do cabo é trabalhada com relevo, formando nas extremidades do cabo e ponta, relevo que lembra um nó; No verso da peça, monograma com as iniciais do proprietário da peça.",Prata,05 Interiores > 05.6 Utensílio de Cozinha/Mesa,[entre 1839 e 1879],França,,museucasadahera_-_acervo-museologico,https://museucasadahera.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
13,T 1532,Prato Raso,,Não identificado,"Prato raso em louça branca; Bordas recortadas de forma ondulante, faixa pintada em dourado; Ao centro do prato, borda circular mais profunda, marcada por fina faixa, também pintada em dourada; Ao centro do fundo do prato, monograma com as iniciais do proprietário da peça – JJTL.",Cerâmica | Pó de Ouro,05 Interiores > 05.6 Utensílio de Cozinha/Mesa,[s.d.],Não identificado,,museucasadahera_-_acervo-museologico,https://museucasadahera.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
14,T 1354,Pires,,Não identificado,"Pires em porcelana branca com desenhos pintados em formas geométricas, em dourado e azul, e figuras florais em rosa e verde; borda e friso interno em dourado.",Cerâmica | Pó de Ouro | Tinta,05 Interiores > 05.6 Utensílio de Cozinha/Mesa,[s.d.],Não identificado,,museucasadahera_-_acervo-museologico,https://museucasadahera.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
15,T 1016,Mesa de Centro,,Não identificado,"Mesa em madeira; Tampo redondo, liso; Avental reto que circula a mesa, levemente recuado em relação ao tampo. Pequena relevo em forma de borda terminando o avental; Perna única, trabalhada em alto relevo com discos, Pião central e bolachas; Terminando em 3 pés, com base reta, terminando em discos e bolachas. Rodinhas em madeira em cada um dos pés.",Madeira,05 Interiores > 05.5 Peça de Mobiliário,[s.d.],Não identificado,,museucasadahera_-_acervo-museologico,https://museucasadahera.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
16,T 1012,Armário Embutido,,Não identificado,"Armário embutido com portas duplas em madeira e dobradiça em ferro, sendo 3 em cada porta. Prateleiras internas; Externamente moldura em goiaba; Internamente moldura creme, na sequência porta de mesma cor, dividida por 4 almofadas em tom de azul claro; As almofadas são em dois níveis, sendo o primeiro em baixo relevo, formando um quadrado maior. Ao centro, quadrado menor, em alto relevo, tendo as suas quinas recortadas com sulcos em alto relevo formando desenhos geométricos; Fechado por chave, tendo um espelho de fechadura em cada banda; Internamente é creme, 4 prateleiras em madeira.",Madeira | Policromia,05 Interiores > 05.5 Peça de Mobiliário,[s.d.],Não identificado,,museucasadahera_-_acervo-museologico,https://museucasadahera.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
17,T 1007,Bule de Chá,,Não identificado,"Bule de chá em prata; 4 pés em prata com forma de triângulo invertido estilizado, os pés são ligados por meio de pequena saia de borda ondulante. Os pés têm alto relevo decorativo com formas geométricas; Recipiente pequeno com forma abaulada. Toda a extensão é lisa; Saindo da parte central, bico todo trabalhado com alto relevo vertical em vincos, sua base é ondulante e parece ter sido “colado” ao recipiente. Na parte interna possui uma peneira para filtragem do liquido; No lado oposto do bico, também saindo do centro, alça em prata com recortes e contornos ondulantes em alto relevo que se estende até perto da borda. No inicio e na parte final, bolachas em prata, parecendo ter ao centro aplicação de material diferente de cor branca e não identificado; Borda lisa; Tampa presa por dobradiça. Redonda; Puxador com base de folha feita em alto relevo e do centro sai pequeno fruto.",Prata,05 Interiores > 05.6 Utensílio de Cozinha/Mesa,[s.d.],Não identificado,,museucasadahera_-_acervo-museologico,https://museucasadahera.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
18,T 1244,Moedor de Café,,Peugeot,"Moedor de café manual em ferro e madeira; Base quadrada em madeira, fina e pouco elevada; Acima dessa base, estrutura também em madeira quadrada, parafusada a base inferior por meio de uma chapa de ferro. Duas de suas faces são vazadas e encaixa-se pequena gaveta em madeira para recolher o pó, resultado da moagem dos grãos do café; O topo dessa base é feita em chapa de ferro e trás inscrições gravadas no próprio metal. Gravado no metal, em duas quinas opostas o numero 1 dentro de um circulo, e nas outras duas quinas a letra A, também dentro de um circulo; No centro dessa chapa, dentro de um circulo, a inscrição:” Peugeot Freres Brevetes S.C.D.C.”;  A partir desse centro, sobe pequena haste circular de onde se abre para recipiente que faz a moagem, está haste é aparafusada por pequena base a chapa de ferro por 4 parafusos grandes e visíveis; O recipiente é oval  com larga borda que serve de apoio, em duas de suas extremidades para suporte aparafusado de um arco superior de onde desce moedor de ferro com estrutura em manivela. Esta é redonda grande e se movimenta por meio de pequena alavanca de madeira.",Ferro | Madeira,05 Interiores > 05.6 Utensílio de Cozinha/Mesa,[s.d.],França > Paris,,museucasadahera_-_acervo-museologico,https://museucasadahera.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
19,T 1020,Cadeira de Palhinha,,Não identificado,"Cadeira em madeira, acento retangular em palhinha; Espaldar com tabela vertical reta; Espaldar reto; Avental reto; Pernas retas e lisas até os pés. Amarração reta unilateral.",Madeira | Palhinha,05 Interiores > 05.5 Peça de Mobiliário,[s.d.],Não identificado,,museucasadahera_-_acervo-museologico,https://museucasadahera.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
20,T 859,Donzela,,Não identificado,"Donzela em cristal; Base redonda, afunilando logo acima para abrir em vaso com todo o centro abaulado. Terminando em boca que se abre para fora; Vidro todo trabalhado com desenhos incrustados, com temática floral.",Cristal,05 Interiores > 05.4 Objeto de Iluminação,[s.d.],Não identificado,,museucasadahera_-_acervo-museologico,https://museucasadahera.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
21,T 1434,Bule de Chá,,Charles Christofle,"Bule de chá em prata; Pés saindo da base em alto relevo de florões, afinando na haste e terminando em curva com forma de folhagem; Base mais fina, abaulando no centro e novamente afinando, forma que lembra um disco; Bico saindo da parte central abaulada, com alto relevo formando flores, aparentemente rosas, e frisos em toda extensão no bico. Terminando em forma que lembra uma folha, com parte superior em leve curva e parte inferior mais ampla; Alça saindo em metal com alto relevo em forma geométrica, seguido do corpo da alça em madeira escura, formando uma curva acentuada perto do topo, com levantamento de uma ponta da madeira, provavelmente servindo como apoio para o dedo. E terminando em metal, que em relevo forma desenhos geométricos que se ligam até a parte superior do bule; Tampa presa ao bule por dobradiça logo acima da alça. Redonda, levemente abaulada, com puxador também em prata que em alto relevo forma uma base de folhagens encimada por um botam de flor.",Madeira | Prata,,[s.d.],França,,museucasadahera_-_acervo-museologico,https://museucasadahera.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
22,T 1002,Bacia,,Não identificado,"Bacia em faiança; Oval, com recipiente já abrindo desde a base. Estrutura toda simples e lisa.",Cerâmica,05 Interiores > 05.6 Utensílio de Cozinha/Mesa,[s.d.],Não identificado,,museucasadahera_-_acervo-museologico,https://museucasadahera.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
23,,Prato Fundo,,Mansard,"Pato Fundo em porcelana branca; Borda com friso dourado; Aba ricamente decorado com motivos florais, o desenho é em auto relevo e circula toda a peça sendo interrompido apenas para dar lugar ao monograma com as letras C de A. pintado em dourado; Desnível entre a aba e o fundo do prato, dando leve profundidade a peça; Fundo do prato em branco.",Cerâmica | Pó de Ouro | Tinta,05 Interiores > 05.6 Utensílio de Cozinha/Mesa,[s.d.],Não identificado,,museucasadahera_-_acervo-museologico,https://museucasadahera.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
24,S/N,Garrafa,,Não identificado,"Garrafa com base oval, estrutura lisa na frente e atrás; Nas laterais, friso em alto relevo, formando faixa vertical, saindo mais larga da base e afinando em direção ao gargalo; Gargalo curto, largo e redondo; Tampa em metal com 2 frisos nas laterais e na borda baixo relevo em riscas verticais circulando toda a tampa.",Vidro,05 Interiores > 05.6 Utensílio de Cozinha/Mesa,[s.d.],Não identificado,,museucasadahera_-_acervo-museologico,https://museucasadahera.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
25,,Quadro,“A Gula”,Não identificado,"Quadro disposto verticalmente com 5 figuras masculinas representando um dos 7 pecados capitais – A Gula. Fundo em marrom. Moldura dourada com sulcos e relevos lisos. A tela é um estudo de expressão, onde, a exceção da figura feminina, todos os rostos são os mesmos, mudando apenas as expressões faceais.",Gesso | Madeira | Pó de Ouro | Tela | Tinta,02 Artes Visuais/Cinematográfica > 02.6 Pintura,[s.d.],Não identificado,,museucasadahera_-_acervo-museologico,https://museucasadahera.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
26,T 1748,Cadeira,,Não identificado,"Cadeira em madeira, acento retangular em palhinha; Espaldar em tabela central com formar de curvas e contracurvas, marcadas também por sulcos. Ao centro medalhão estilizado, também com curvas e contracurvas feitas por recortes e sulcos, ao centro desenho de duas flores incrustado na madeira; Cachaço também trabalhado em curvas e contracurvas e flores incrustadas na madeira. Laterais curvilíneas; Avental ondulante, com sulcos e relevos reforçando essa ondulação; Pernas traseiras retas e lisas até os pés. Pernas dianteiras saindo com ondulações a partir do saiote, com pequena incrustação ondulante; Pés terminando em forma de cachimbo.",Madeira | Palhinha,05 Interiores > 05.5 Peça de Mobiliário,[s.d.],Não identificado,,museucasadahera_-_acervo-museologico,https://museucasadahera.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
27,T 933,Cadeira,,Não identificado,"Cadeira em madeira, acento retangular em palhinha; Espaldar em tabela recortada e vazada formando ao centro desenho geométrico; Cachaço com relevo em elemento floral e vazado ao centro; Avental com sulcos e relevos, formando ao centro desenhos concheados; Pernas traseiras retas e lisas até os pés. Pernas dianteiras saindo com ondulações, pés terminando em forma de cachimbo.",Madeira | Palhinha,05 Interiores > 05.5 Peça de Mobiliário,[s.d.],Não identificado,,museucasadahera_-_acervo-museologico,https://museucasadahera.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
28,T 866,Cadeira,,Não identificado,"Cadeira em madeira, encosto e acento em palhinha; Espaldar largo, com bordas em madeira ondulante. Cachaço trabalhado em relevo com motivos florais; Braços retos com trabalho de relevo em formas geométricas. Haste de ligação entre braço e acento tem forma ondulante e também trabalhos em alto relevo; Avental largo, reto na parte superior e ondulado na parte inferior, frisos horizontais; Pernas traseiras retas e lisas até os pés. Pernas dianteiras saindo em ondulação com frisos percorrendo toda a extensão, pés terminando em forma de cachimbo com rodinhas em madeira e base das rodas em metal, apenas nos pés da frente.",Madeira | Metal | Palhinha,05 Interiores > 05.5 Peça de Mobiliário,[s.d.],Não identificado,,museucasadahera_-_acervo-museologico,https://museucasadahera.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
29,T 1576,Prato Raso,,Não identificado,"Prato raso em louça branca; Bordas recortadas de forma ondulante, faixa pintada em dourado; Ao centro do prato, borda circular mais profunda, marcada por fina faixa, também pintada em dourada; Ao centro do fundo do prato, monograma com as iniciais do proprietário da peça – JJTL.",Cerâmica | Pó de Ouro,05 Interiores > 05.6 Utensílio de Cozinha/Mesa,[s.d.],Não identificado,,museucasadahera_-_acervo-museologico,https://museucasadahera.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
30,T 846,Mapa,L’Asie,A. H. Brué,Mapa em papel com desenho do continente asiático.,Madeira | Papel,10 Comunicação > 10.1 Documento,1833,França,,museucasadahera_-_acervo-museologico,https://museucasadahera.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
31,T 1076,Quadro,“La Vierge Aux Ruines”,Não identificado,"Imagem preta e branca. Em primeiro plano a Virgem com 2 anjos; A virgem veste túnica com gola redonda e manga comprida. Por cima da túnica, manto cobrindo a cabeça, descendo pelo ombro direito e preso a cintura, caindo até os pés. A figura está ajoelhada, com o braço direito levantado a altura do colo. Braço esquerdo abaixado; Ao lado da Virgem, 2 anjos em personificação de criança, ambos com aureola. O anjo central esta sentado, usando perizonio. O anjo à esquerda esta agachado, usa capa e segura a mão direita um cajado aparentemente em ferro; Em segundo plano pode-se visualizar um cenário que parece ser uma ruína e mais ao fundo uma vila; Seguido do desenho impresso, paspatu branco; Moldura em madeira recoberta em gesso e pintada com pó de ouro. De dentro para fora, alto relevo em forma de bolinhas, seguido de parte plana, com baixo relevo de motivos florais, seguido por ondulação e parte com alto relevo formando desenhos geométricos em diagonal.",Gesso | Madeira | Papel | Pó de Ouro,02 Artes Visuais/Cinematográfica > 02.6 Pintura,[s.d.],Não identificado,,museucasadahera_-_acervo-museologico,https://museucasadahera.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
32,T 848,Mapa,L’ Afrique,A. H. Brué,Mapa em papel com desenho do continente africano.,Madeira | Papel,10 Comunicação > 10.1 Documento,1833,França,,museucasadahera_-_acervo-museologico,https://museucasadahera.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
33,T 5355,Quadro,,Não identificado,"Busto feminino; Corpo e cabeça levemente inclinada para esquerda; Mantilha preta em renda cobrindo a cabeça e descendo por ambos os ombros; Pele clara; Boca grande, rosada; Nariz arredondado; Olhos redondos, aparentemente claros, voltados para a direita; Sobrancelha castanha; Cabelos castanho, repartidos ao meio; Mãos em posição de oração na altura do tórax, mas cobertas pela mantilha; Fundo liso em tom escuro; Moldura dourada, oval e com vidro; Em uma primeira camada, de dentro para fora, pequeno relevo com desenhos geométricos. Seguido por parte lisa e logo após relevo com desenhos florais intercalados por partes lisas. Terminando em fina camada com recortes horizontais.",Gesso | Linho | Madeira | Pó de Ouro,02 Artes Visuais/Cinematográfica > 02.6 Pintura,[s.d.],Não identificado,,museucasadahera_-_acervo-museologico,https://museucasadahera.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
34,T1017,Cadeira de Palhinha,,Não identificado,"Cadeira em madeira e palhinha; espaldar com laterais retas e lisas, tabela central também reta e lisa e cachaço liso e reto no centro e com pequena curvatura nas laterais; acento com recorte em madeira e o centro em palhinha; quatro pernas retas e lisas e com traves laterais.",Madeira | Palhinha,05 Interiores > 05.5 Peça de Mobiliário,[s.d.],Não identificado,,museucasadahera_-_acervo-museologico,https://museucasadahera.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
35,T 1732,Cadeira,,Não identificado,"Cadeira em madeira, acento retangular em palhinha; Espaldar em tabela central com formar de curvas e contracurvas, marcadas também por sulcos. Ao centro medalhão estilizado, também com curvas e contracurvas feitas por recortes e sulcos, ao centro desenho de duas flores incrustado na madeira; Cachaço também trabalhado em curvas e contracurvas e flores incrustadas na madeira. Laterais curvilíneas; Avental ondulante, com sulcos e relevos reforçando essa ondulação; Pernas traseiras retas e lisas até os pés. Pernas dianteiras saindo com ondulações a partir do saiote, com pequena incrustação ondulante; Pés terminando em forma de cachimbo.",Madeira | Palhinha,05 Interiores > 05.5 Peça de Mobiliário,[s.d.],Não identificado,,museucasadahera_-_acervo-museologico,https://museucasadahera.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
36,T 1763,Cadeira,,Não identificado,"Cadeira em madeira, acento retangular em palhinha; Espaldar em tabela central com formar de curvas e contracurvas, marcadas também por sulcos. Ao centro medalhão estilizado, também com curvas e contracurvas feitas por recortes e sulcos, ao centro desenho de duas flores incrustado na madeira; Cachaço também trabalhado em curvas e contracurvas e flores incrustadas na madeira. Laterais curvilíneas; Avental ondulante, com sulcos e relevos reforçando essa ondulação; Pernas traseiras retas e lisas até os pés. Pernas dianteiras saindo com ondulações a partir do saiote, com pequena incrustação ondulante; Pés terminando em forma de cachimbo.",Madeira | Palhinha,05 Interiores > 05.5 Peça de Mobiliário,[s.d.],Não identificado,,museucasadahera_-_acervo-museologico,https://museucasadahera.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
37,T 931,Cadeira,,Não identificado,"Cadeira em madeira, acento retangular em palhinha; Espaldar em tabela recortada e vazada formando ao centro desenho geométrico; Cachaço com relevo em elemento floral e vazado ao centro; Avental com sulcos e relevos, formando ao centro desenhos concheados; Pernas traseiras retas e lisas até os pés. Pernas dianteiras saindo com ondulações, pés terminando em forma de cachimbo.",Madeira | Palhinha,05 Interiores > 05.5 Peça de Mobiliário,[s.d.],Não identificado,,museucasadahera_-_acervo-museologico,https://museucasadahera.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
38,T 1737,Cadeira,,Não identificado,"Cadeira em madeira, acento retangular em palhinha; Espaldar em tabela central com formar de curvas e contracurvas, marcadas também por sulcos. Ao centro medalhão estilizado, também com curvas e contracurvas feitas por recortes e sulcos, ao centro desenho de duas flores incrustado na madeira; Cachaço também trabalhado em curvas e contracurvas e flores incrustadas na madeira. Laterais curvilíneas; Avental ondulante, com sulcos e relevos reforçando essa ondulação; Pernas traseiras retas e lisas até os pés. Pernas dianteiras saindo com ondulações a partir do saiote, com pequena incrustação ondulante; Pés terminando em forma de cachimbo.",Madeira | Palhinha,05 Interiores > 05.5 Peça de Mobiliário,[s.d.],Não identificado,,museucasadahera_-_acervo-museologico,https://museucasadahera.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
39,T 925,Cadeira,,Não identificado,"Cadeira em madeira, acento retangular em palhinha; Espaldar em tabela recortada e vazada formando ao centro desenho geométrico; Cachaço com relevo em elemento floral e vazado ao centro; Avental com sulcos e relevos, formando ao centro desenhos concheados;  Pernas traseiras retas e lisas até os pés. Pernas dianteiras saindo com ondulações, pés terminando em forma de cachimbo.",Madeira | Palhinha,05 Interiores > 05.5 Peça de Mobiliário,[s.d.],Não identificado,,museucasadahera_-_acervo-museologico,https://museucasadahera.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
