,Número de registro,Denominação,Título,Autor,Classificação,Resumo descritivo,Dimensões - altura,Dimensões - largura,Dimensões - profundidade/comprimento,Dimensões - espessura,Dimensões - diâmetro,Dimensões - peso,Material/Técnica,Local de produção,Data de produção,ACERVO,URL,TAINACAN_COLECTION_ID
66,68,Retábulo (fragmento): Pilastra Compósita,,Não identificado,04 Construção > 04.4 Fragmento de Construção,"Fragmento de retábulo, identificado como pilastra compósita, confeccionado em madeira (cedro) entalhada e dourada. Peça de estrutura longilínea, composta por tábua de madeira verticalizada, com ornatos em relevo, tendo entablamento formado por volutas, meio-arcos, friso denticulado, capitel coríntio e folhas de acanto. Pilastra com fuste emoldurado por friso simples, ornada por três querubins, dispostos verticalmente, estando o querubim superior encimado por palmeta estilizada; o querubim central ladeado por volutas contrapostas e o querubim inferior ladeado por volutas e folhas de acanto. Os querubins encontram-se intercalados por ornamentação em volutas, conchas e motivos fitomorfos, apresentando as seguintes características: rosto redondo, em posição frontal, cabelos estriados, cacheados e esvoaçantes, olhos amendoados, nariz arrebitado, boca entreaberta, bochechas salientes e queixo duplo. Objeto composto por base escalonada, tendo a parte posterior lisa para encaixe no retábulo.",255,27,,,,,Folha de Ouro | Madeira,Brasil > Minas Gerais,Século XVIII,museuregionaldesaojoaodelrei_-_acervo_museologico,https://museuregionaldesaojoaodelrei.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11451/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11451
67,69,Retábulo (fragmento): Pilastra Compósita,,Não identificado,04 Construção > 04.4 Fragmento de Construção,"Fragmento de retábulo, identificado como pilastra compósita, confeccionado em madeira (cedro) entalhada e dourada. Peça de estrutura longilínea, composta por tábua de madeira verticalizada, com ornatos em relevo, tendo entablamento formado por volutas, meio-arcos, friso denticulado, capitel coríntio e folhas de acanto. Pilastra com fuste emoldurado por friso simples, ornada por três querubins, dispostos verticalmente, estando o querubim superior encimado por palmeta estilizada; o querubim central (ausente) ladeado por volutas contrapostas e o querubim inferior ladeado por volutas e folhas de acanto. Os querubins encontram-se intercalados por ornamentação em volutas, conchas e motivos fitomorfos, apresentando as seguintes características: rosto redondo, em posição frontal, cabelos estriados, cacheados e esvoaçantes, olhos amendoados, nariz arrebitado, boca entreaberta, bochechas salientes e queixo duplo. Objeto composto por base escalonada, tendo a parte posterior lisa para encaixe no retábulo.",255,27,,,,,Folha de Ouro | Madeira,Brasil > Minas Gerais,Século XVIII,museuregionaldesaojoaodelrei_-_acervo_museologico,https://museuregionaldesaojoaodelrei.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11451/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11451
68,70,Retábulo (fragmento): Pilastra Misulada,,Não identificado,04 Construção > 04.4 Fragmento de Construção,"Fragmento de retábulo, identificado como pilastra compósita, confeccionado em madeira (cedro) entalhada e dourada. Peça de estrutura longilínea, composta por tábua verticalizada à esquerda, ornada por entablamento coríntio, composto por folhas de acanto, tendo ornato abaixo em volutas, motivos florais e folhas de acanto dourados sobre fundo em tom bege. Pilastra com entablamento ornado por folhas de acanto e capitel coríntio, tendo querubim, ao centro, com asas aparentes sobre laço de fita encimado por grande voluta. Na parte inferior, anjo dourado, representado através de figura de criança, sentada, com cabelos estriados, ondulados e esvoaçantes, rosto redondo, olhos amendoados, nariz arrebitado, corpo seminu, de musculatura bem delineada (sobretudo barriga e pernas), de corpo roliço, tendo seu braço direito flexionado e apoiado sobre tecido com panejamento movimentado que cobre o quadril. Apresenta seu braço esquerdo flexionado e elevado. Pernas flexionadas, tendo sua perna esquerda posicionada mais atrás. Anjo sentado sobre grande voluta arrematada por folha de acanto. Pilastra apoiada sobre base escalonada. Peça correspondente ao lado direito do retábulo.",197,"34,5",,,,,Folha de Ouro | Madeira,Brasil > Minas Gerais,Século XVIII,museuregionaldesaojoaodelrei_-_acervo_museologico,https://museuregionaldesaojoaodelrei.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11451/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11451
69,71,Retábulo (fragmento): Pilastra Misulada,,Não identificado,04 Construção > 04.4 Fragmento de Construção,"Fragmento de retábulo, identificado como pilastra compósita, confeccionado em madeira (cedro) entalhada e dourada. Peça de estrutura longilínea, composta por tábua verticalizada à esquerda, ornada por entablamento coríntio, composto por folhas de acanto, tendo ornato abaixo em volutas, motivos florais e folhas de acanto dourados sobre fundo em tom bege. Pilastra com entablamento ornado por folhas de acanto e capitel coríntio, tendo querubim, ao centro, com um das asas aparente (a outra quebrada) sobre laço de fita encimado por grande voluta. Na parte inferior, anjo dourado, representado através de figura de criança, sentada, com cabelos estriados, ondulados e esvoaçantes, rosto redondo, olhos amendoados, nariz arrebitado, corpo seminu, de musculatura bem delineada (sobretudo barriga e pernas), de corpo roliço, tendo seu braço esquerdo flexionado e apoiado sobre tecido com panejamento movimentado que cobre o quadril. Apresenta seu braço direito flexionado e elevado (dedos quebrados). Pernas flexionadas, tendo sua perna direita posicionada mais atrás. Anjo sentado sobre grande voluta arrematada por folha de acanto. Pilastra apoiada sobre base escalonada. Peça correspondente ao lado esquerdo do retábulo.",197,38,,,,,Folha de Ouro | Madeira,Brasil > Minas Gerais,Século XVIII,museuregionaldesaojoaodelrei_-_acervo_museologico,https://museuregionaldesaojoaodelrei.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11451/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11451
70,72,Retábulo (fragmento): Cariátide,,Não identificado,04 Construção > 04.4 Fragmento de Construção,"Fragmento de retábulo, identificado como cariátide, confeccionado em madeira (cedro) entalhada e dourada. Peça com a parte posterior lisa para encaixe no retábulo. Apresenta na parte superior, representação de figura antropomorfa, composta por meio corpo de figura feminina, em posição frontal, com a cabeça encimada por voluta, cabelos semi-longos cacheados e movimentados para trás, rosto redondo levemente voltado à direita, testa curta, olhos amendoados, nariz arrebitado, bochechas proeminentes, boca pequena entreaberta e queixo saliente. Figura com seios e barriga proeminentes, tendo seu braço direito flexionado e elevado, segurando lateral da voluta, e seu braço esquerdo ligeiramente flexionado e voltado para baixo, com a mão apoiada sobre a barriga. Abaixo da barriga, panejamento drapeado, em relevo, arrematado na parte frontal por borla em madeira escura (sem vestígios de douramento). Parte inferior do objeto composta por faixa com listras verticais em relevo, tendo volutas nas extremidades e na parte central, além de ornato em folha de acanto na parte frontal.","133,5",37,,,,,Folha de Ouro | Madeira,Brasil > Minas Gerais,Século XVIII,museuregionaldesaojoaodelrei_-_acervo_museologico,https://museuregionaldesaojoaodelrei.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11451/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11451
71,73,Retábulo (fragmento): Cariátide,,Não identificado,04 Construção > 04.4 Fragmento de Construção,"Fragmento de retábulo, identificado como cariátide, confeccionado em madeira (cedro) entalhada e dourada. Peça com a parte posterior lisa para encaixe no retábulo. Apresenta na parte superior, representação de figura antropomorfa, composta por meio corpo de figura feminina, em posição frontal, com a cabeça encimada por voluta, cabelos semi-longos cacheados e movimentados para trás, rosto redondo levemente voltado à esquerda, testa curta, olhos amendoados, nariz arrebitado, bochechas proeminentes, boca pequena entreaberta e queixo saliente. Figura com seios e barriga proeminentes, tendo seu braço esquerdo flexionado e elevado, segurando lateral da voluta, e seu braço direito ligeiramente flexionado e voltado para baixo, com a mão apoiada sobre a barriga. Abaixo da barriga, panejamento drapeado, em relevo, arrematado na parte frontal por borla em madeira escura (sem vestígios de douramento). Parte inferior do objeto composta por faixa com listras verticais em relevo, tendo volutas nas extremidades e na parte central, além de ornato em folha de acanto na parte frontal. Apresenta vestígios de bolo armênio.",134,35,,,,,Folha de Ouro | Madeira,Brasil > Minas Gerais,Século XVIII,museuregionaldesaojoaodelrei_-_acervo_museologico,https://museuregionaldesaojoaodelrei.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11451/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11451
72,74,Retábulo (fragmento): Coluna Salomônica,,Não identificado,04 Construção > 04.4 Fragmento de Construção,"Fragmento de retábulo, identificado como coluna salomônica ou torsa, confeccionado em madeira (jacarandá mineiro?) entalhada. Apresenta capitel composto por folhas de acanto sobre friso em meia-cana. Fuste envolto por friso representando caule e ornado por folhas de parreira (sem cachos de uvas). Parte do fuste recortado para encaixe na estrutura arquitetônica do retábulo.","191,5",31,,,,,Folha de Ouro | Madeira,Brasil > Minas Gerais,Século XVIII,museuregionaldesaojoaodelrei_-_acervo_museologico,https://museuregionaldesaojoaodelrei.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11451/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11451
73,75,Retábulo (fragmento): Coluna Salomônica,,Não identificado,04 Construção > 04.4 Fragmento de Construção,"Fragmento de retábulo, identificado como coluna salomônica ou torsa, confeccionado em madeira (jacarandá mineiro?) entalhada. Apresenta capitel composto por folhas de acanto sobre friso em meia-cana. Fuste envolto por friso representando caule e ornado por folhas de parreira (sem cachos de uvas). Parte do fuste recortado para encaixe na estrutura arquitetônica do retábulo.",193,34,,,,,Folha de Ouro | Madeira,Brasil > Minas Gerais,Século XVIII,museuregionaldesaojoaodelrei_-_acervo_museologico,https://museuregionaldesaojoaodelrei.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11451/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11451
74,76,Retábulo (fragmento): Coluna Salomônica,,Não identificado,04 Construção > 04.4 Fragmento de Construção,"Fragmento de retábulo, identificado como coluna salomônica ou torsa, confeccionado em madeira (jacarandá mineiro?) entalhada. Apresenta capitel coríntio composto por folhas de acanto encimadas por volutas com extremidades voltadas para baixo, sobre friso em meia-cana. Fuste envolto por friso representando caule e ornado por folhas de parreiras e cachos de uvas.",149,"24,5",,,,,Folha de Ouro | Madeira,Brasil > Minas Gerais,Século XVIII,museuregionaldesaojoaodelrei_-_acervo_museologico,https://museuregionaldesaojoaodelrei.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11451/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11451
75,77,Retábulo (fragmento): Coluna Salomônica,,Não identificado,04 Construção > 04.4 Fragmento de Construção,"Fragmento de retábulo, identificado como coluna salomônica ou torsa, confeccionado em madeira (jacarandá?) entalhada. Apresenta capitel coríntio composto por folhas de acanto encimadas por volutas com extremidades voltadas para baixo, sobre friso em meia-cana. Fuste envolto por friso representando caule e ornado por folhas de parreiras e cachos de uvas.","149,5",23,,,,,Folha de Ouro | Madeira,Brasil > Minas Gerais,Século XVIII,museuregionaldesaojoaodelrei_-_acervo_museologico,https://museuregionaldesaojoaodelrei.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11451/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11451
76,78,Retábulo (fragmento): Pilastra,,Não identificado,04 Construção > 04.4 Fragmento de Construção,"Fragmento de retábulo, identificado como pilastra, confeccionado em madeira entalhada e dourada. Peça de estrutura longilínea, composta por tábua de madeira com ornatos em relevo, tendo, na parte superior, grande folha de acanto com extremidade voltada para dentro. Na parte central, concha apoiada sobre voluta, de onde sobressaem motivos fitomorfos arrematados por folha de acanto e pinos contrapostos.","187,3","21,5",,,,,Folha de Ouro | Madeira,Brasil > Minas Gerais,Século XVIII,museuregionaldesaojoaodelrei_-_acervo_museologico,https://museuregionaldesaojoaodelrei.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11451/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11451
77,79,Retábulo (fragmento): Pilastra,,Não identificado,04 Construção > 04.4 Fragmento de Construção,"Fragmento de retábulo, identificado como pilastra, confeccionado em madeira entalhada e dourada. Peça de estrutura longilínea, composta por tábua de madeira com ornatos em relevo, tendo, na parte superior, grande folha de acanto com extremidade voltada para dentro. Na parte central, concha apoiada sobre voluta, de onde sobressaem motivos fitomorfos arrematados por folha de acanto e pinos contrapostos.",187,"21,5",,,,,Folha de Ouro | Madeira,Brasil > Minas Gerais,Século XVIII,museuregionaldesaojoaodelrei_-_acervo_museologico,https://museuregionaldesaojoaodelrei.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11451/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11451
78,80,Retábulo (fragmento): Pilastra Compósita,,Não identificado,04 Construção > 04.4 Fragmento de Construção,"Fragmento de retábulo, identificado como pilastra compósita, confeccionado em madeira (cedro) entalhada e dourada. Peça de estrutura longilínea, composta por tábua de madeira verticalizada, com ornatos em relevo, tendo entablamento formado por volutas, motivos fitomorfos e friso com decoração em meio-arco (ausência do capitel coríntio). Pilastra com fuste emoldurado por friso simples, ornada por motivos florais em relevo, tendo, ao centro, folhagens intercaladas e dispostas verticalmente. Parte posterior lisa para encaixe no retábulo.","195,5","19,3",,7.0,,,Folha de Ouro | Madeira,Brasil > Minas Gerais,Século XVIII,museuregionaldesaojoaodelrei_-_acervo_museologico,https://museuregionaldesaojoaodelrei.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11451/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11451
79,81,Retábulo (fragmento): Pilastra Compósita,,Não identificado,04 Construção > 04.4 Fragmento de Construção,"Fragmento de retábulo, identificado como pilastra compósita, confeccionado em madeira (cedro) entalhada e dourada. Peça de estrutura longilínea, composta por tábua de madeira verticalizada, com ornatos em relevo, tendo entablamento formado por volutas, motivos fitomorfos e friso com decoração em meio-arco (ausência do capitel coríntio). Pilastra com fuste emoldurado por friso simples, ornada por motivos florais em relevo, tendo, ao centro, folhagens intercaladas e dispostas verticalmente. Parte posterior lisa para encaixe no retábulo.","195,5","20,2",,7.0,,,Folha de Ouro | Madeira,Brasil > Minas Gerais,Século XVIII,museuregionaldesaojoaodelrei_-_acervo_museologico,https://museuregionaldesaojoaodelrei.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11451/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11451
80,82,Cancelo,,Não identificado,04 Construção > 04.4 Fragmento de Construção,"Cancelo composto por duas traves horizontais unidas por oito balaústres confeccionados em madeira (jacarandá) torneada. Peça dividida em duas partes, tendo a superfície em tábua lisa ornada por friso escalonado. Cada balaústre é composto por disco, torsado e bolachas. O balaústre central destaca-se pelas dimensões mais largas.","97,5",18,201,,,,Madeira,Brasil > Minas Gerais,[Século XVIII?],museuregionaldesaojoaodelrei_-_acervo_museologico,https://museuregionaldesaojoaodelrei.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11451/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11451
81,83,Retábulo (fragmento): Talha de altar,,Não identificado,04 Construção > 04.4 Fragmento de Construção,"Fragmento de retábulo, bipartido, identificado como talha de altar, confeccionado em madeira (cedro) entalhada e dourada, correspondente aos lados direito e esquerdo da construção. Peças de estrutura longilínea, compostas por tábua de madeira verticalizada, com ornatos em relevo (uma delas contornada por friso na lateral esquerda) e ornadas por volutas, folhas de acanto, motivos florais, folhas de parreira e uvas. Nas partes superior e central, querubins com as cabeças cortadas, onde se vê apenas uma das asas douradas de cada querubim. Parte inferior de cada talha com estrutura retangular ornada por medalhão encimado por concha e ladeado por volutas e flor.",212,23,,,,,Folha de Ouro | Madeira,Brasil > Minas Gerais,Século XVIII,museuregionaldesaojoaodelrei_-_acervo_museologico,https://museuregionaldesaojoaodelrei.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11451/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11451
82,84,Retábulo (fragmento): Talha de altar,,Não identificado,04 Construção > 04.4 Fragmento de Construção,"Fragmento de retábulo identificado como talha de altar, composta por duas tábuas verticais, confeccionada em madeira (cedro) entalhada e dourada. Na parte frontal do objeto, ao centro, girassol com botão com ornamentação em quadriculado, cercado por folhas levemente estriadas em relevo. Flor emoldurada por dupla de frisos simples e quatro estruturas em volutas nas extremidades, além de dois pares de folhas de acantos contrapostas, dispostas na parte superior e inferior. Entalhe emoldurado por faixas largas e lisas, em dourado, apresentando orifícios de encaixe na estrutura construtiva. Fundo da peça em madeira lisa com duas tábuas delgadas dispostas horizontalmente para união das tábuas verticais.","104,5","52,8",,,,,Folha de Ouro | Madeira,Brasil > Minas Gerais,Século XVIII,museuregionaldesaojoaodelrei_-_acervo_museologico,https://museuregionaldesaojoaodelrei.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11451/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11451
83,85,Balaustrada,,Não identificado,04 Construção > 04.4 Fragmento de Construção,"Balaustrada composta por duas traves horizontais unidas por vinte e oito balaústres confeccionados em madeira recortada e policromada. Peça dividida em quatro partes, tendo a superfície e a parte inferior pintadas em tom vermelho escuro. Extremidades da balaustrada composta por duas estruturas retangulares ornadas (cada uma delas) por nove balaústres recortados, vazados e pintados em tom azul claro. Na parte central do objeto, outras duas estruturas retangulares menores, contendo cinco balaústres (cada uma), que seguem a mesma padronagem decorativa. As quatro estruturas retangulares são ladeadas por dois frisos verticais contendo dois losangos em relevo.",84,69,504,,,,Madeira | Tinta,Brasil > Minas Gerais,Século XIX,museuregionaldesaojoaodelrei_-_acervo_museologico,https://museuregionaldesaojoaodelrei.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11451/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11451
84,86,Pires,,Não identificado,05 Interiores > 05.6 Utensílio de Cozinha/Mesa,"Pires em porcelana branca, decorado por barra em tom ocre com friso interno preto. (Xícara de café, com pires, de pequenas dimensões, confeccionada em porcelana branca, extremamente fina, pintada com motivos japonaiserie e dourada. Xícara com a parte superior circular, ornada externamente por friso alaranjado e por barra decorada por cinco flores vermelhas cercadas por ramagens verdes, contornadas por friso dourado e intercaladas por cinco leques azuis com detalhes em dourado. Apresenta alça em curva ornada por friso dourado).","3,2",8,,,"6,2",,Folha de Ouro | Porcelana | Tinta,Japão,Século XIX,museuregionaldesaojoaodelrei_-_acervo_museologico,https://museuregionaldesaojoaodelrei.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11451/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11451
85,87,Máquina de escrever [com estojo],,Fábrica Hammond,10 Comunicação > 10.2 Equipamento de Comunicação Escrita,"Máquina de escrever, de médio porte, confeccionada em ferro, metal, madeira e resina (teclas), de manufatura norte-americana, marca Hammond, da primeira metade do século XX. Estrutura da máquina apoiada sobre base irregular de madeira escalonada, com a parte frontal abaulada. Na parte superior, tambor com a parte frontal em semi-círculo composto por delgados cilindros que permitem a reprodução das letras e números. Apresenta sistema de engrenagem ligado ao tambor central composto por estrutura cilíndrica horizontal para encaixe do papel, arrematada na parte superior por outra estrutura irregular elevada para descanso do papel. Na parte frontal, teclado disposto em semi-círculo com teclas em resina preta com letras, números e sinais ortográficos brancos, fixadas por pequenos braços em ferro chapado. Em uma das laterais, sistema de tranca em metal em formato pequena de chave de boca. Estojo confeccionado em madeira, de caixa retangular, tendo a parte superior em curva e a parte frontal saliente, em semi-arco, para encaixe da parte correspondente ao teclado. Nas laterais, dois pinos circulares, em metal dourado, auxiliam no encaixe da tampa do estojo, ornados internamente por lua crescente e círculo, ambos vazados. Na parte frontal, ao centro, placa de madeira com a marca da máquina, inscrita em letras douradas: ""Hammond."". Na parte interna da tampa, papel colado com instruções de uso do objeto, em língua inglesa:""IMPORTANT./ The operator should first carefully study the pamphlet of instructions./ Before operating the machine, one of the ribbon spools, should be loosened by giving a few back-/ ward turns to the thumb nut projecting centrally above it. If both spools are fast on their shafts the keys will work hard./ To remove the shuttle, lift the anvil up with the left hand until the shuttle is free from the shut-/ tle-arm, then slide the shuttle around to the right until the bushing is opposite the hole in the anvil,/ when it will slip out./ Keep the inside of the type-shuttle clean by wiping occasionally with a piece of soft cloth or/ chamois skin. Oil may be used on the driver arms at the point where they engage in the shuttle-arm, but under no circumstances should oil be used on the inside of the shuttle or anvil./ Put the Anvil in the Machine with the Hole Towards the Operator./ WHEN THE MACHINE IS NOT IN USE, ALLOW THE FEED ROLLS TO REMAIN OPEN.""","24,1",31,43,,,,Metal | Papel,Estados Unidos da América > Nova Iorque,Século XX > [entre 1901 e 1950],museuregionaldesaojoaodelrei_-_acervo_museologico,https://museuregionaldesaojoaodelrei.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11451/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11451
86,89,Pires,,Não identificado,05 Interiores > 05.6 Utensílio de Cozinha/Mesa,"Pires em porcelana branca, decorado por barra em tom ocre com friso interno preto. (Xícara de café, com pires, de pequenas dimensões, confeccionada em porcelana branca, extremamente fina, pintada com motivos japonaiserie e dourada. Xícara com a parte superior circular, ornada externamente por friso alaranjado e por barra decorada por cinco flores vermelhas cercadas por ramagens verdes, contornadas por friso dourado e intercaladas por cinco leques azuis com detalhes em dourado. Apresenta alça em curva ornada por friso dourado).","3,2",8,,,"6,2",,Folha de Ouro | Porcelana | Tinta,Japão,Século XIX,museuregionaldesaojoaodelrei_-_acervo_museologico,https://museuregionaldesaojoaodelrei.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11451/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11451
87,90,Pires,,Não identificado,05 Interiores > 05.6 Utensílio de Cozinha/Mesa,"Pires em porcelana branca, decorado por barra em tom ocre com friso interno preto. (Xícara de café, com pires, de pequenas dimensões, confeccionada em porcelana branca, extremamente fina, pintada com motivos japonaiserie e dourada. Xícara com a parte superior circular, ornada externamente por friso alaranjado e por barra decorada por cinco flores vermelhas cercadas por ramagens verdes, contornadas por friso dourado e intercaladas por cinco leques azuis com detalhes em dourado. Apresenta alça em curva ornada por friso dourado).","3,2",8,,,"6,2",,Folha de Ouro | Porcelana | Tinta,Japão,Século XIX,museuregionaldesaojoaodelrei_-_acervo_museologico,https://museuregionaldesaojoaodelrei.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11451/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11451
88,92,Máquina de costura [de pé],,Cº Hamling | Pollack | Schmidt,06 Trabalho > 06.5 Equipamento de Fiação/Tecelagem,"Máquina de costura de pé, confeccionada em metal (ferro), madeira (jacarandá) e couro. Na parte superior do objeto, estrutura da máquina em ferro fundido, tendo à esquerda, pequena caixa quadrangular de madeira. Máquina apoiada sobre pequena base irregular de madeira, recortada ao centro para passagem de tira de couro (cortada) enrolada em círculo em chapa de ferro ornado internamente por cinco cilindros em curva, permitindo o funcionamento do sistema rotatório. Máquina apoiada sobre tampo escalonado em madeira recortada. Objeto apoiado sobre quatro pés em ferro retorcido e ornado nas laterais por palma. Pés com saliência em curva, tendo, ao centro, orifício vazado para fixação no piso. Na parte central inferior, inscrição em relevo: ""POLLACK. SCHMIDT & Cº HAMBURC."". Abaixo da inscrição, pedais recortados em ferro, correspondentes aos lados esquerdo e direito dos pés (com tiras de couro na parte superior), unidos por argola e arrematados por estrutura em curvas contrapostas, com roldana de onde sobressai vareta de madeira ligada à parte superior central através de cilindro delgado de ferro. Na extremidade esquerda do cilindro, roda maior ornada por seis volutas contrapostas, duas a duas, que permite o acionamento da máquina com os pedais. No tampo, destacam-se três estruturas em metal dourado (latão), dispostos duas de um lado de uma do outro para encaixe da tampa (inexistente) da máquina. Na parte superior do objeto, gravado em chapa de ferro, nº de série (?): ""97531"".","77,9",45,"65,5",,,,Couro | Madeira | Metal,Hamburgo,Século XIX,museuregionaldesaojoaodelrei_-_acervo_museologico,https://museuregionaldesaojoaodelrei.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11451/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11451
89,93,Máquina de costura [de mão],,Não identificado,06 Trabalho > 06.5 Equipamento de Fiação/Tecelagem,"Máquina de costura de mão, de pequeno porte, confeccionada em metal (ferro). Apresenta estrutura longilínea irregular apoiada sobre quatro pés em volutas arrematadas na parte superior por motivo floral. Parte inferior em formato de ""8"", ornada por frisos, tendo, à esquerda, estrutura circular de movimento rotatório manual de controle da linha. Na superfície da parte inferior, prato ovalado onde se vê cilindro delgado, disposto perpendicularmente, para encaixe da linha, e outro cilindro para fixação do tecido a ser costurado. Estrutura superior com braço em formato de ""C"", de onde sobressai, à esquerda, círculo vazado ornado internamente por volutas contrapostas, tendo, ao centro, orifício com parafuso. Sobre a extremidade do braço, cilindro delgado em posição vertical para encaixe do carretel de linha.",29.0,"19,2",29,,,,Metal,[Europa?],Século XIX,museuregionaldesaojoaodelrei_-_acervo_museologico,https://museuregionaldesaojoaodelrei.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11451/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11451
90,94,Grafofone,"""The Graphophone""",American Graphophone Company,10 Comunicação > 10.3 Equipamento de Comunicação Sonora/Visual,"Grafofone confeccionado em metal (ferro e metal prateado) e madeira, com tampa. Objeto apoiado sobre caixa retangular de madeira ornada por frisos simples e friso em perolado na parte superior, contendo pequenas alavancas laterais arrematadas por pinos (o esquerdo inexistente). Na parte frontal da caixa, tarja dourada com a seguinte inscrição em letras pretas: ""GRAPHOPHONE/ PATENTED MAY 4, 1886. DEZ. 27, 1887. APRIL...1888. JUNE 10, 1890. OCT... MARCH 20, 189.../ COLUMBIA PHONOGRAPH.../ NEW YORK & PARIS."". Na parte superior do objeto, estruturas cilíndricas em metal prateado e suporte pintado em tom preto com a inscrição em letras douradas: ""GRAPHOPHONE"", ladeada por motivos florais e ramagens, nos tons vermelho, branco e dourado. Na superfície do objeto, placa retangular de metal (alpaca?), fixada por quatro pregos prateados, com a inscrição em relevo: ""THE GRAPHOPHONE/ PATENTED/ MAY 4. 1888. DEC. 27. 1887 APRIL 3. 1888./ JUNE 10. 1890 OCT. 18 1894. MAR. 30. 1897./ MANUFACTURED BY THE/ AMERICAN GRAPHOPHONE/ TYPE AT COMPANY 253372/ NEW YORK N.Y. U.S.A."". Tampa do objeto em madeira, tendo a parte superior abaulada e arrematada por alça de ferro recoberta de madeira. Barra inferior da tampa ornada por motivos fitomorfos e flor-de-liz entalhados. Parte interna da tampa com estruturas em ferro nas laterais para encaixe no objeto, além de etiqueta oval em papel impresso com a inscrição (possivelmente do distribuidor do produto): ""NAUZIÈRES/ FABRIQUE D´INSTRUMENTS/ DE MUSIQUE/ 56 RUE VACON/ MARSEILLE"".","25,5","19,5","30,3",,,,Madeira | Metal | Papel,França > Marselha | Estado Unidos da América > Nova Iorque | França > Paris,Século XIX,museuregionaldesaojoaodelrei_-_acervo_museologico,https://museuregionaldesaojoaodelrei.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11451/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11451
