,Denominação,Número de registro,Título,Classificação,Data de produção,Autor,Material/Técnica,Local de produção,Dimensões - altura,Dimensões - largura,Dimensões - profundidade/comprimento,Dimensões - diâmetro,Dimensões - espessura,Resumo descritivo,Condições de reprodução,ACERVO,URL,TAINACAN_COLECTION_ID
10,Cômoda-papeleira,REG.0011,,05 Interiores > 05.5 Peça de Mobiliário,Século XIX,Não identificado,Madeira | Metal,Brasil > Rio de Janeiro,140,70,,,,De formato retangular. Decoração superior em cornija e frisos. Parte superior com seis gavetas menores postas em par com moldura em friso. Parte inferior com três gavetas maiores sobrepostas na vertical com moldura em frisos. Fechaduras com espelhos circulares em todas as gavetas. Pés frontais torneados em bolacha e posteriores retangulares.,,museucasabenjaminconstant_-_acervo-museologico,https://museucasabenjaminconstant.acervos.museus.gov.br/wp-json/tainacan/v2/collection/5347/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,5347
11,Cômoda-papeleira,REG.0012,,05 Interiores > 05.5 Peça de Mobiliário,Século XIX,Não identificado,Madeira | Metal,Não identificado,140,"69,8",,,,De formato retangular. Decoração superior em cornija e frisos. Parte superior com seis gavetas menores postas em par com moldura em friso. Parte inferior com três gavetas maiores sobrepostas na vertical com moldura em frisos. Fechaduras com espelhos circulares em todas as gavetas. Pés frontais torneados em bolacha e posteriores retangulares.,,museucasabenjaminconstant_-_acervo-museologico,https://museucasabenjaminconstant.acervos.museus.gov.br/wp-json/tainacan/v2/collection/5347/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,5347
12,Biblioteca,REG.0013,,05 Interiores > 05.5 Peça de Mobiliário,Século XIX,Não identificado,Madeira | Metal | Vidro,Não identificado,229,"134,5",,,,"De formato retangular. Parte superior com decoração em cornija. Duas portas tendo, na parte superior quatro janelas em vidro e na inferior duas em madeira, posta em par com moldura frisada, fechadura com espelho circular à direita. Interior com quatro prateleiras reguláveis. Pés frontais torneados em bolacha e posteriores retangulares.",,museucasabenjaminconstant_-_acervo-museologico,https://museucasabenjaminconstant.acervos.museus.gov.br/wp-json/tainacan/v2/collection/5347/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,5347
13,Biblioteca,REG.0014,,05 Interiores > 05.5 Peça de Mobiliário,Século XIX,Não identificado,Madeira | Metal | Vidro,Não identificado,"229,5","134,5",,,,"De formato retangular. Parte superior com decoração em cornija. Duas portas tendo, na parte superior quatro janelas em vidro e na inferior duas em madeira, posta em par com moldura frisada, fechadura com espelho circular à direita. Interior com cinco prateleiras reguláveis tendo abaixo da quinta prateleira, duas gavetas com fechadura e puxador em argola. Pés frontais torneados em bolacha e posteriores retangulares.",,museucasabenjaminconstant_-_acervo-museologico,https://museucasabenjaminconstant.acervos.museus.gov.br/wp-json/tainacan/v2/collection/5347/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,5347
14,Castiçal,REG.0015,,05 Interiores > 05.4 Objeto de Iluminação,Século XIX,Não identificado,Metal | Vidro,Não identificado,"52,5 (com cúpula).",,,14,,"Base circular escalonada sob haste com bolachas, em metal. Manga em vidro liso com borda ondulada.",,museucasabenjaminconstant_-_acervo-museologico,https://museucasabenjaminconstant.acervos.museus.gov.br/wp-json/tainacan/v2/collection/5347/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,5347
15,Lustre,REG.0016,,05 Interiores > 05.4 Objeto de Iluminação,Século XIX,Não identificado,Argila | Vidro > Cristal | Metal,França,170,88,,,18,"Haste em metal com arremate superior circular em espiral e esfera na outra extremidade, de onde saem dois braços em metal e cristal terminados por mangas em forma de cúpulas invertidas em cristal transparente e jateado, decoradas por formas geométricas.",,museucasabenjaminconstant_-_acervo-museologico,https://museucasabenjaminconstant.acervos.museus.gov.br/wp-json/tainacan/v2/collection/5347/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,5347
16,Porta-retrato,REG.0017,,05 Interiores > 05.1 Acessório de Interiores,Século XIX,Não identificado,Vidro > Cristal | Metal | smalte,Não identificado,"20,5",11,,,"2,2","De formato retangular. Duas lâminas unidas por haste com mola de pressão e haste de sustentação móvel. Na parte superior, decoração vazada com motivos florais. Na parte inferior, lâmina com dois pés esféricos. Ao centro, placa de cristal bisotado.",,museucasabenjaminconstant_-_acervo-museologico,https://museucasabenjaminconstant.acervos.museus.gov.br/wp-json/tainacan/v2/collection/5347/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,5347
17,Conjunto de Figurinhas,REG.0018,,10 Comunicação > 10.1 Documento,Não identificada,Não identificado,Papel | Tinta,Não identificado,7,"8,5",,,,"Cartela com treze figurinhas destacáveis. Composta por seis meninos e sete meninas, em roupas típicas de: corneteiro, jogador de golfe, faxineira, carteiro, garçonete e tocador de tambor, nos tons de amarelo, vermelho, azul, verde, ocre, branco e preto.",,museucasabenjaminconstant_-_acervo-museologico,https://museucasabenjaminconstant.acervos.museus.gov.br/wp-json/tainacan/v2/collection/5347/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,5347
18,Lapiseira,REG.0020,,10 Comunicação > 10.2 Equipamento de Comunicação Escrita,Não identificada,Não identificado,Metal,Não identificado,"14,1",,,,"1,1","De formato tubular em metal prateado, terminação em ponta tendo em sua extensão três braçadeiras com frisos, sendo uma delas móvel.",,museucasabenjaminconstant_-_acervo-museologico,https://museucasabenjaminconstant.acervos.museus.gov.br/wp-json/tainacan/v2/collection/5347/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,5347
19,Tinteiro,REG.0021,,10 Comunicação > 10.2 Equipamento de Comunicação Escrita,Século XIX,Não identificado,Vidro,Não identificado,"5,3",6,"6,2",,,"De formato retangular com arestas bisotadas, em vidro transparente, tendo ao centro abertura circular com borda ressaltada.",,museucasabenjaminconstant_-_acervo-museologico,https://museucasabenjaminconstant.acervos.museus.gov.br/wp-json/tainacan/v2/collection/5347/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,5347
20,Máquina de Escrever,REG.0022,,10 Comunicação > 10.2 Equipamento de Comunicação Escrita,Século XIX,Não identificado,Borracha | Metal | Tinta | Vidro,Estados Unidos > New York > New York,"24,5",39,,,,"De formato quadrangular. Teclas circulares em metal com símbolos gráficos na cor branca coberta por vidro. Na parte superior a frente, duas estruturas circulares tendo um carretel em uma delas para encaixe da fita. Atrás, carro móvel com rolo fixador de papel em borracha negra com alavanca móvel em metal cromado, à esquerda. Na base, quatro pés quadrados.",,museucasabenjaminconstant_-_acervo-museologico,https://museucasabenjaminconstant.acervos.museus.gov.br/wp-json/tainacan/v2/collection/5347/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,5347
21,Máquina de Escrever,REG.0023,,10 Comunicação > 10.2 Equipamento de Comunicação Escrita,Século XIX,Não identificado,Madeira | Metal | Resina | Tinta,Dinamarca > Amager > Copenhagen,14,36,,,,"Sobre base retangular em madeira, estrutura retangular em metal pintada em cor de vinho. Na parte anterior, sete teclas retangulares em madeira fixadas a hastes de metal. Na parte posterior, cilindro em metal, móvel com discos em resina nas extremidades tendo acima vareta com cinco cilindros em resina e atrás régua dentada. Acima das tecla, disco com inscrições. Acompanha placa em metal com encaixe para sustentação do papel, cartela com o alfabeto em braille e tampa com fechadura e alça , com encaixe a base para acondicionamento.",,museucasabenjaminconstant_-_acervo-museologico,https://museucasabenjaminconstant.acervos.museus.gov.br/wp-json/tainacan/v2/collection/5347/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,5347
22,Porta-documentos,REG.0024,,10 Comunicação > 10.2 Equipamento de Comunicação Escrita,Não identificada,Não identificado,Papel,Não identificado,"37,5","26,0 (fechada).",,,,"De formato retangular, na cor preta. Parte interna na cor azul.",,museucasabenjaminconstant_-_acervo-museologico,https://museucasabenjaminconstant.acervos.museus.gov.br/wp-json/tainacan/v2/collection/5347/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,5347
23,Porta Lápis/caneta,REG.0025,,10 Comunicação > 10.2 Equipamento de Comunicação Escrita,Século XIX,Não identificado,Metal | Tinta,Não identificado,"10,5",15,25,,,"Em metal policromado, sobre galho com ramificações na horizontal, cinco pássaros de cores e posições variadas, pousados lado a lado.",,museucasabenjaminconstant_-_acervo-museologico,https://museucasabenjaminconstant.acervos.museus.gov.br/wp-json/tainacan/v2/collection/5347/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,5347
24,Porta-cartões,REG.0026,,10 Comunicação > 10.2 Equipamento de Comunicação Escrita,Século XIX,Não identificado,Madrepérola | Metal | Tinta,Não identificado,"12,5",17,22,,,"Concha de madrepérola, tendo numa lateral da parte superior, fixado, adorno em metal na forma de beija-flor de asas abertas, pintado nas cores verde e ocre. Base circular em metal decorada com frisos.",,museucasabenjaminconstant_-_acervo-museologico,https://museucasabenjaminconstant.acervos.museus.gov.br/wp-json/tainacan/v2/collection/5347/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,5347
25,Peso de Papel,REG.0027,,10 Comunicação > 10.2 Equipamento de Comunicação Escrita,Não identificada,Não identificado,Cristal de Rocha,Não identificado,"8,5",20,,,,De formato irregular. Bloco de formação de cristais de rocha na cor branca. Exterior em pedra bruta de tom marrom escuro.,,museucasabenjaminconstant_-_acervo-museologico,https://museucasabenjaminconstant.acervos.museus.gov.br/wp-json/tainacan/v2/collection/5347/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,5347
26,Retrato (pintura),REG.0028,Antonio Carlos de Oliveira Guimarães,02 Artes Visuais/Cinematográfica > 02.6 Pintura,Não identificada,Não identificado,Madeira | Tela | Tinta,Brasil > Rio de Janeiro,"34,5 / 41,5 (moldura)","27,0 / 34,5 (moldura)",,,"4,5","Composição nas cores: verde, preto, ocre, branco, rosa e dourado. Textura lisa Busto de figura masculina levemente voltado à direita. Cabelos lisos e grisalhos a altura da orelha, penteados para trás terminando em curva para fora. Usa óculos oval de aro fino, bigode e cavanhaque. Lábios entreabertos. Trajando paletó e colete preto, camisa branca fechada por um botão, gola dobrada e gravata borboleta preta. Fundo verde escuro liso.",,museucasabenjaminconstant_-_acervo-museologico,https://museucasabenjaminconstant.acervos.museus.gov.br/wp-json/tainacan/v2/collection/5347/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,5347
27,Retrato (pintura),REG.0029,Claudio Luis da Costa,02 Artes Visuais/Cinematográfica > 02.6 Pintura,Não identificada,Não identificado,Madeira | Tela | Tinta,Brasil > Rio de Janeiro,"35,0 / 42,5 (moldura)","27,0 / 35,5 (moldura)",,,"5,0 (moldura)","Composição nas cores: verde, preto, ocre, branco, cinza, vermelho e amarelo. Textura lisa Figura masculina de meio corpo, levemente voltada à esquerda. Cabelos lisos, grisalhos, partidos do lado esquerdo. Usa óculos oval de aro fino e barba. Trajando paletó e colete preto, no colete corrente presa. Camisa branca e gravata borboleta preta. Braço direito à frente com mão apoiada sobre objeto e braço esquerdo ao longo do corpo. Ao fundo à esquerda, jarra com flores e folhas apoiada sobre console em fundo verde; à direita panejamento vermelho.",,museucasabenjaminconstant_-_acervo-museologico,https://museucasabenjaminconstant.acervos.museus.gov.br/wp-json/tainacan/v2/collection/5347/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,5347
28,Retrato (pintura),REG.0030,"""Benjamin Constant Botelho de Magalhães""",02 Artes Visuais/Cinematográfica > 02.6 Pintura,1882 | Século XIX,Não identificado,Aquarela | Grafite | Madeira | Papel | Vidro,Não identificado,"38,0 / 60,0(moldura)","28,0 / 52,5 (moldura)",,,"3,0 (moldura)","Composição nas cores: cinza, branco e preto. Busto de figura masculina levemente voltado à direita. Cabelos partidos para a direita, bigode e cavanhaque. Trajando farda militar com quatro botões na parte da frente, nos ombros passadeiras. Camisa branca fechada por dois botões com gola alta e gravata borboleta preta. Fundo claro.",,museucasabenjaminconstant_-_acervo-museologico,https://museucasabenjaminconstant.acervos.museus.gov.br/wp-json/tainacan/v2/collection/5347/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,5347
29,Alfinete de Gravata,REG.0031,,12 Objetos Pessoais > 12.1 Acessório de Indumentária,Não identificada,Não identificado,Metal | Pérola,Não identificado,6,"1,2",,,"0,8","Haste pontiaguda em metal, tendo na extremidade enfeite em formato de garra de animal segurando pérola.",,museucasabenjaminconstant_-_acervo-museologico,https://museucasabenjaminconstant.acervos.museus.gov.br/wp-json/tainacan/v2/collection/5347/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,5347
30,Cartão,REG.0019,,10 Comunicação > 10.1 Documento,Não identificada,Não identificado,Celulóide | Tecido | Tinta,Não identificado,"8,6",12,,,,"De formato retangular, na cor branca. Decorado com margaridas na parte superior e lateral esquerda; forradas por tecido nos tons de amarelo, ocre, azul, cor de rosa e vermelho. Folhas e talos pintados nos tons de verde e marrom.",,museucasabenjaminconstant_-_acervo-museologico,https://museucasabenjaminconstant.acervos.museus.gov.br/wp-json/tainacan/v2/collection/5347/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,5347
31,Pasta,REG.0032,,12 Objetos Pessoais > 12.6 Objeto de Auxílio/Conforto Pessoais,Século XIX,Não identificado,Fibra | Oleado | Papelão | Tinta,França > Ilha de França > Paris,32,"47,5",,,"1,8","De formato retangular na cor preta com capa oleada estofada e interior com divisão em fole. Parte da frente emoldurada por frisos ondulados e flores estilizadas nos tons de ocre e verde. Tendo ao centro, pintura emoldurada por frisos e figuras geométricas nos tons de ocre, verde e dourado. Composição nos tons, verde, azul, vermelho, ocre, marrom e branco. Em primeiro plano à esquerda, figura humana estilizada, ao centro árvore alta com copa e à direita lago. Em segundo plano, construção arquitetônica branca em níveis, com telhado vermelho e vegetação atrás. Ao fundo à direita, vegetação. Céu azul com nuvens brancas.",,museucasabenjaminconstant_-_acervo-museologico,https://museucasabenjaminconstant.acervos.museus.gov.br/wp-json/tainacan/v2/collection/5347/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,5347
32,Pasta,REG.0033,,12 Objetos Pessoais > 12.6 Objeto de Auxílio/Conforto Pessoais,1889 | Século XIX,Não identificado,Linha | Metal | Papel Cartão | Tecido | Tinta,Brasil,28,"65,5",,,"1,5","De formato retangular, com divisória e caderno fixo de duas folhas. Forrada externamente com veludo vermelho e interior com cetim do mesmo tom. Na capa ao centro, placa de metal , recortada e vazada em motivos fitomorfos e oval ao centro. Contra capa com ramos de flores bordada em seda. Dentro, caderno solto e quatro folhas; a primeira com cercadura e friso em tom dourado, ao centro guirlanda de flores e dedicatória. Nas outras folhas, noventa e nove assinaturas.",,museucasabenjaminconstant_-_acervo-museologico,https://museucasabenjaminconstant.acervos.museus.gov.br/wp-json/tainacan/v2/collection/5347/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,5347
33,Pincel,REG.0034,,06 Trabalho > 06.3 Equipamento de Artistas/Artesãos,1903 | Século XX,Não identificado,Fibra | Madeira | Metal,Não identificado,,"0,8",32,,,"De formato cilíndrico. Haste de madeira com cerdas em fibras fixadas por metal, com inscrição na madeira: ""PINCEL QUE SERVIO AO SR. EDUARDO SÁ, PARA FAZER O RETRATO DE MEU SAUDOSO ESPOSO, E QUE ME FOI POR ELLE OFFERECIDO/MARIA JOAQUINA/19.11.1903"".",,museucasabenjaminconstant_-_acervo-museologico,https://museucasabenjaminconstant.acervos.museus.gov.br/wp-json/tainacan/v2/collection/5347/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,5347
34,Lustre,REG.0035,,05 Interiores > 05.4 Objeto de Iluminação,Século XIX,Não identificado,Argila | Vidro > Cristal | Metal,França,170,,,80,,"Haste em metal com caneluras e arremate superior circular decorado em folhas, na outra extremidade acabamento em forma de pinha, de onde saem três braços em metal e cristal espiralado terminados por bobeches em forma de flor, com mangas em forma de cúpulas invertidas em cristal liso e jateado, decoradas por formas geométricas.",,museucasabenjaminconstant_-_acervo-museologico,https://museucasabenjaminconstant.acervos.museus.gov.br/wp-json/tainacan/v2/collection/5347/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,5347
35,Vitrina-armário,REG.0036,,05 Interiores > 05.5 Peça de Mobiliário,Século XIX,Não identificado,Madeira > Jacarandá | Tecido | Tinta | Vidro,Não identificado,158,62,,,,"De formato retangular, parte superior em cornija. Porta e laterais em molduras e vidro; quatro pés torneados. No interior, fundo em vidro espelhado, uma divisão de prateleira inteira e duas metades intermediárias, forradas em veludo cor de vinho. Fechamento por cadeado na lateral.",,museucasabenjaminconstant_-_acervo-museologico,https://museucasabenjaminconstant.acervos.museus.gov.br/wp-json/tainacan/v2/collection/5347/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,5347
36,Biblioteca,REG.0037,,05 Interiores > 05.5 Peça de Mobiliário,Século XIX,Não identificado,Madeira | Metal | Vidro,Não identificado,"192,2","105,7",,,,"De formato retangular. Parte superior em cornija, com duas portas sendo, parte superior em vidro e inferior em madeira. Decoração em frisos. Fechadura com espelho em metal decorado na porta da direta. Pés frontais torneados e posteriores retangulares. Interior com quatro prateleiras.",,museucasabenjaminconstant_-_acervo-museologico,https://museucasabenjaminconstant.acervos.museus.gov.br/wp-json/tainacan/v2/collection/5347/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,5347
37,Mesa,REG.0038,,05 Interiores > 05.5 Peça de Mobiliário,Século XIX,Não identificado,Madeira > Jacarandá | Mármore,Não identificado,78,91,160,,,"De formato retangular. Tampo em mármore branco rajado embutido com moldura em madeira com frisos. Duas gavetas laterais, pés torneados com bolachas e caneluras.",,museucasabenjaminconstant_-_acervo-museologico,https://museucasabenjaminconstant.acervos.museus.gov.br/wp-json/tainacan/v2/collection/5347/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,5347
38,Mesa,REG.0039,,05 Interiores > 05.5 Peça de Mobiliário,Não identificada,Não identificado,Madeira | Metal,Não identificado,"74,5","79,5","150,5 (aberta)",,,"De formato retangular. Tampo em quatro partes com abas laterais dobráveis. Na parte da frente duas gavetas com dois puxadores torneados cada e fechaduras de metal; parte posterior com duas gavetas cegas com dois puxadores torneados cada. Sustentando o tampo, quatro suportes torneados sobre base retangular sinuosa, com quatro pés curvilíneos terminados em garras de metal dourado.",,museucasabenjaminconstant_-_acervo-museologico,https://museucasabenjaminconstant.acervos.museus.gov.br/wp-json/tainacan/v2/collection/5347/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,5347
39,Cabide de Pé,REG.0040,,05 Interiores > 05.5 Peça de Mobiliário,Não identificada,Não identificado,Madeira | Metal | Tinta | Vidro,Não identificado,170,"64,6",,,,"De formato retangular. Parte superior com decoração vazada nas laterais. Ao centro, espelho retangular bisotado, tendo em cada lateral três suportes torneados postos na vertical. Abaixo do espelho, prateleira em forma de meia elipse sustentada por duas mãos francesas. Na parte inferior, traves com decoração em frisos e torneadas, sustentadas por volutas; abaixo base retangular vazada tendo uma bandeja de metal pintada de preto encaixada. Pés frontais em bola.",,museucasabenjaminconstant_-_acervo-museologico,https://museucasabenjaminconstant.acervos.museus.gov.br/wp-json/tainacan/v2/collection/5347/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,5347
40,Limpa-pés,REG.0041,,05 Interiores > 05.1 Acessório de Interiores,Não identificada,Não identificado,Cerdas | Madeira | Metal | Tinta,Brasil > Rio de Janeiro,"20,5",,"39,5",,,"De formato retangular pintado na cor preta, com decoração em frisos, e pés em pata de leão. Na parte superior duas alças laterais com delfins e cabeças de leão bifacetadas, com duas escovas parafusadas na horizontal. Ao centro, grade e bandeja encaixadas.",,museucasabenjaminconstant_-_acervo-museologico,https://museucasabenjaminconstant.acervos.museus.gov.br/wp-json/tainacan/v2/collection/5347/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,5347
41,Bengala,REG.0042,,12 Objetos Pessoais > 12.6 Objeto de Auxílio/Conforto Pessoais,Não identificada,Não identificado,Madeira,Não identificado,"95,5",,,,"4,7","Haste esculpida em tronco de árvore, com veios e nós, afunilada.",,museucasabenjaminconstant_-_acervo-museologico,https://museucasabenjaminconstant.acervos.museus.gov.br/wp-json/tainacan/v2/collection/5347/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,5347
