,Número de registro,Denominação,Título,Autor,Classificação,Dimensões - altura,Dimensões - largura,Dimensões - profundidade/comprimento,Dimensões - espessura,Dimensões - diâmetro,Dimensões - peso,Material/Técnica,Estado de conservação,Local de produção,Data de produção,ACERVO,URL,TAINACAN_COLECTION_ID
10,11.0,Lustre,Sem título,Não identificado,05 Interiores > 05.4 Objeto de Iluminação,100.0,82.0,,,,,Folha-de-flandres | Madeira | Tintas,Bom,Brasil > Minas Gerais,[17-],museudainconfidencia_-_acervo-museologico,https://museudainconfidencia.acervos.museus.gov.br/wp-json/tainacan/v2/collection/9/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,9
11,12.0,Mesa de pernas de cavalete,Sem título,Não identificado,05 Interiores > 05.5 Peça de Mobiliário,82.5,123.0,,,,,Ferro | Madeira,Regular,Brasil > Minas Gerais,[17-],museudainconfidencia_-_acervo-museologico,https://museudainconfidencia.acervos.museus.gov.br/wp-json/tainacan/v2/collection/9/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,9
12,13.0,Mesa de pernas de cavalete,Sem título,Não identificado,05 Interiores > 05.5 Peça de Mobiliário,95.8,99.0,,,,,Madeira > Jacarandá | Madeira,Regular,Brasil > Minas Gerais,[17-],museudainconfidencia_-_acervo-museologico,https://museudainconfidencia.acervos.museus.gov.br/wp-json/tainacan/v2/collection/9/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,9
13,14.0,Anjo (inacabado),São Rafael Arcanjo [ou Anjo da Guarda],Vicente José de Micolta (atribuição),02 Artes Visuais/Cinematográfica > 02.3 Escultura,82.0,4.8,,,,,Madeira > Cedro,Regular,Brasil > Minas Gerais > Santa Bárbara,[entre 1851 e 1900],museudainconfidencia_-_acervo-museologico,https://museudainconfidencia.acervos.museus.gov.br/wp-json/tainacan/v2/collection/9/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,9
14,15.0,Santa (inacabada),Santana Mestra,Vicente José de Micolta (atribuição),02 Artes Visuais/Cinematográfica > 02.3 Escultura,52.0,22.5,,,,10.85,Madeira > Cedro,Regular,Brasil > Minas Gerais > Santa Bárbara,[entre 1851 e 1900],museudainconfidencia_-_acervo-museologico,https://museudainconfidencia.acervos.museus.gov.br/wp-json/tainacan/v2/collection/9/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,9
15,16.0,Santo (inacabado),São Domingos de Gusmão (?),Vicente José de Micolta (atribuição),02 Artes Visuais/Cinematográfica > 02.3 Escultura,48.4,23.0,,,,,Madeira > Cedro,Regular,Brasil > Minas Gerais,[entre 1851 e 1900],museudainconfidencia_-_acervo-museologico,https://museudainconfidencia.acervos.museus.gov.br/wp-json/tainacan/v2/collection/9/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,9
16,17.0,Santo (inacabado),São João Batista,Vicente José de Micolta (atribuição),02 Artes Visuais/Cinematográfica > 02.3 Escultura,58.4,2.2,,,,,Madeira > Cedro,Regular,Brasil > Minas Gerais,[entre 1851 e 1900],museudainconfidencia_-_acervo-museologico,https://museudainconfidencia.acervos.museus.gov.br/wp-json/tainacan/v2/collection/9/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,9
17,18.0,Santo (inacabado),Santo Antônio,Vicente José de Micolta (atribuição),02 Artes Visuais/Cinematográfica > 02.3 Escultura,57.8,17.5,,,,,Madeira > Cedro,Regular,Brasil > Minas Gerais,[entre 1851 e 1900],museudainconfidencia_-_acervo-museologico,https://museudainconfidencia.acervos.museus.gov.br/wp-json/tainacan/v2/collection/9/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,9
18,19.0,Mesa de pernas de lira,Sem título,Não identificado,05 Interiores > 05.5 Peça de Mobiliário,82.1,126.0,,,,,Madeira > Cedro | Ferro | Madeira > Jacarandá,Regular,Brasil > Minas Gerais,[17-],museudainconfidencia_-_acervo-museologico,https://museudainconfidencia.acervos.museus.gov.br/wp-json/tainacan/v2/collection/9/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,9
19,20.0,Grupo escultórico religioso [de retábulo],Santíssima Trindade,Francisco Xavier de Brito (atribuição),04 Construção > 04.4 Fragmento de Construção,115.0,202.0,,,,,Madeira > Cedro,Regular,Brasil > Minas Gerais > Santa Bárbara,[17-],museudainconfidencia_-_acervo-museologico,https://museudainconfidencia.acervos.museus.gov.br/wp-json/tainacan/v2/collection/9/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,9
20,21.0,Crucifixo,Cristo Crucificado,Não identificado,02 Artes Visuais/Cinematográfica > 02.3 Escultura,162.2,110.0,,,,,Madeira | Prata | Tintas,Regular,Brasil > Minas Gerais > Barra do Rio das Velhas,[17-],museudainconfidencia_-_acervo-museologico,https://museudainconfidencia.acervos.museus.gov.br/wp-json/tainacan/v2/collection/9/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,9
21,22.0,Capitel de coluna [de retábulo],Sem título,Não identificado,04 Construção > 04.4 Fragmento de Construção,43.8,35.1,63.0,,,20.0,Madeira > Cedro,Bom,Brasil > Minas Gerais > Santa Bárbara,[17-],museudainconfidencia_-_acervo-museologico,https://museudainconfidencia.acervos.museus.gov.br/wp-json/tainacan/v2/collection/9/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,9
22,23.0,Santo (inacabado),São Caetano,Vicente José de Micolta (atribuição),02 Artes Visuais/Cinematográfica > 02.3 Escultura,94.5,34.8,,,,,Madeira > Cedro,Bom,Brasil > Minas Gerais,[entre 1851 e 1900],museudainconfidencia_-_acervo-museologico,https://museudainconfidencia.acervos.museus.gov.br/wp-json/tainacan/v2/collection/9/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,9
23,24.0,Sino,Sem título,Não identificado,10 Comunicação > 10.3 Equipamento de Comunicação Sonora/Visual,77.0,67.4,,,67.4,,Bronze,Bom,Brasil > Minas Gerais,1788,museudainconfidencia_-_acervo-museologico,https://museudainconfidencia.acervos.museus.gov.br/wp-json/tainacan/v2/collection/9/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,9
24,25.0,Coluna [de retábulo],Sem título,Francisco Xavier de Brito (atribuição),04 Construção > 04.4 Fragmento de Construção,259.0,39.0,,,39.0,,Madeira > Cedro,Regular,Brasil > Minas Gerais > Santa Bárbara,[17-],museudainconfidencia_-_acervo-museologico,https://museudainconfidencia.acervos.museus.gov.br/wp-json/tainacan/v2/collection/9/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,9
25,26.0,Anjo [de retábulo],Anjo Voante,Francisco Xavier de Brito (atribuição),04 Construção > 04.4 Fragmento de Construção,63.5,95.0,,,,,Madeira > Cedro,Regular,Brasil > Minas Gerais > Santa Bárbara,[17-],museudainconfidencia_-_acervo-museologico,https://museudainconfidencia.acervos.museus.gov.br/wp-json/tainacan/v2/collection/9/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,9
26,27.0,Pia batismal,Sem título,Não identificado,04 Construção > 04.4 Fragmento de Construção,142.3,80.0,,,80.0,55.0,Madeira > Cedro,Regular,Brasil > Minas Gerais,[17-],museudainconfidencia_-_acervo-museologico,https://museudainconfidencia.acervos.museus.gov.br/wp-json/tainacan/v2/collection/9/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,9
27,28.0,Cartela [de retábulo],Sem título,Não identificado,04 Construção > 04.4 Fragmento de Construção,95.0,68.0,,,,,Madeira > Cedro | Tintas,Regular,Brasil > Minas Gerais > Barra do Rio das Velhas,[17-],museudainconfidencia_-_acervo-museologico,https://museudainconfidencia.acervos.museus.gov.br/wp-json/tainacan/v2/collection/9/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,9
28,29.0,Anjo [de retábulo],Anjo Voante,Francisco Xavier de Brito (atribuição),04 Construção > 04.4 Fragmento de Construção,59.0,95.7,,,,,Madeira > Cedro,Regular,Brasil > Minas Gerais > Santa Bárbara,[17-],museudainconfidencia_-_acervo-museologico,https://museudainconfidencia.acervos.museus.gov.br/wp-json/tainacan/v2/collection/9/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,9
29,30.0,Cartela [de retábulo],Sem título,Não identificado,04 Construção > 04.4 Fragmento de Construção,98.0,78.5,,,,,Madeira > Cedro | Tintas,Regular,Brasil > Minas Gerais > Barra do Rio das Velhas,[17-],museudainconfidencia_-_acervo-museologico,https://museudainconfidencia.acervos.museus.gov.br/wp-json/tainacan/v2/collection/9/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,9
30,31.0,Florão [de lustre],Sem título,Não identificado,05 Interiores > 05.4 Objeto de Iluminação,102.8,106.0,,,,68.0,Madeira > Cedro,Bom,Brasil > Minas Gerais > Ouro Preto,[entre 1751 e 1800],museudainconfidencia_-_acervo-museologico,https://museudainconfidencia.acervos.museus.gov.br/wp-json/tainacan/v2/collection/9/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,9
31,32.0,Cruz processional,Sem título,Não identificado,09 Objetos Cerimoniais > 09.3 Objeto de Culto,228.0,48.0,,,,,Madeira > Jacarandá,Bom,Brasil > Minas Gerais > Barra do Rio das Velhas,[17-],museudainconfidencia_-_acervo-museologico,https://museudainconfidencia.acervos.museus.gov.br/wp-json/tainacan/v2/collection/9/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,9
32,33.0,Pia de água-benta,Sem título,Não identificado,04 Construção > 04.4 Fragmento de Construção,33.2,51.0,,,,,Madeira > Jacarandá,Bom,Brasil > Minas Gerais > Ouro Preto,[entre 1701 e 1750],museudainconfidencia_-_acervo-museologico,https://museudainconfidencia.acervos.museus.gov.br/wp-json/tainacan/v2/collection/9/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,9
33,34.0,Anjo,Anjo Toalheiro,Não identificado,02 Artes Visuais/Cinematográfica > 02.3 Escultura,59.1,60.4,,,,,Madeira > Cedro,Bom,Brasil > Minas Gerais > Ouro Preto,[entre 1751 e 1800],museudainconfidencia_-_acervo-museologico,https://museudainconfidencia.acervos.museus.gov.br/wp-json/tainacan/v2/collection/9/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,9
34,35.0,Remate de frontão [de retábulo],Sem título,Não identificado,04 Construção > 04.4 Fragmento de Construção,81.0,81.0,,,,,Madeira > Cedro | Tintas,Regular,Brasil > Minas Gerais > Barra do Rio das Velhas,[17-],museudainconfidencia_-_acervo-museologico,https://museudainconfidencia.acervos.museus.gov.br/wp-json/tainacan/v2/collection/9/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,9
35,36.0,Sanefa,Sem título,Não identificado,05 Interiores > 05.1 Acessório de Interiores,26.0,186.0,,,,,Madeira | Tintas,Regular,Brasil > Minas Gerais,[entre 1751 e 1800],museudainconfidencia_-_acervo-museologico,https://museudainconfidencia.acervos.museus.gov.br/wp-json/tainacan/v2/collection/9/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,9
36,37.0,Pomba (ornato) [de retábulo],Divino Espírito Santo,Não identificado,04 Construção > 04.4 Fragmento de Construção,25.0,58.0,,,,,Madeira > Cedro | Tintas,Bom,Brasil > Minas Gerais > Barra do Rio das Velhas,[17-],museudainconfidencia_-_acervo-museologico,https://museudainconfidencia.acervos.museus.gov.br/wp-json/tainacan/v2/collection/9/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,9
37,38.0,Remate de frontão [de retábulo],Sem título,Não identificado,04 Construção > 04.4 Fragmento de Construção,81.0,81.0,,,,,Madeira > Cedro | Tintas,Regular,Brasil > Minas Gerais > Barra do Rio das Velhas,[17-],museudainconfidencia_-_acervo-museologico,https://museudainconfidencia.acervos.museus.gov.br/wp-json/tainacan/v2/collection/9/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,9
38,39.0,Anjo,Anjo Toalheiro,Não identificado,02 Artes Visuais/Cinematográfica > 02.3 Escultura,64.5,46.8,,,,,Madeira > Cedro,Bom,Brasil > Minas Gerais > Ouro Preto,[entre 1751 e 1800],museudainconfidencia_-_acervo-museologico,https://museudainconfidencia.acervos.museus.gov.br/wp-json/tainacan/v2/collection/9/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,9
39,40.0,Pia de água-benta,Sem título,Não identificado,04 Construção > 04.4 Fragmento de Construção,33.8,50.8,,,,,Madeira > Jacarandá,Bom,Brasil > Minas Gerais > Ouro Preto,[entre 1701 e 1750],museudainconfidencia_-_acervo-museologico,https://museudainconfidencia.acervos.museus.gov.br/wp-json/tainacan/v2/collection/9/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,9
40,41.0,Cristo de roca,Cristo Crucificado,Não identificado,02 Artes Visuais/Cinematográfica > 02.3 Escultura,101.8,30.9,,,,,Madeira,Regular,Brasil > Minas Gerais,[18-],museudainconfidencia_-_acervo-museologico,https://museudainconfidencia.acervos.museus.gov.br/wp-json/tainacan/v2/collection/9/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,9
41,42.0,Coluna [de retábulo],Sem título,Não identificado,04 Construção > 04.4 Fragmento de Construção,305.0,33.0,,,33.0,,Madeira > Cedro,Regular,Brasil > Minas Gerais > Barra do Rio das Velhas,[17-],museudainconfidencia_-_acervo-museologico,https://museudainconfidencia.acervos.museus.gov.br/wp-json/tainacan/v2/collection/9/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,9
42,43.0,Remate de frontão [de retábulo],Sem título,Não identificado,04 Construção > 04.4 Fragmento de Construção,74.0,74.0,,,,,Madeira > Cedro | Tintas,Regular,Brasil > Minas Gerais > Barra do Rio das Velhas,[17-],museudainconfidencia_-_acervo-museologico,https://museudainconfidencia.acervos.museus.gov.br/wp-json/tainacan/v2/collection/9/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,9
43,44.0,Cartela [de retábulo],Sem título,Não identificado,04 Construção > 04.4 Fragmento de Construção,95.0,80.0,,,,,Madeira > Cedro | Tintas,Regular,Brasil > Minas Gerais > Barra do Rio das Velhas,[17-],museudainconfidencia_-_acervo-museologico,https://museudainconfidencia.acervos.museus.gov.br/wp-json/tainacan/v2/collection/9/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,9
44,45.0,Dossel [de retábulo],Sem título,Não identificado,04 Construção > 04.4 Fragmento de Construção,89.0,84.0,,,,,Madeira > Cedro | Tintas,Regular,Brasil > Minas Gerais > Barra do Rio das Velhas,[17-],museudainconfidencia_-_acervo-museologico,https://museudainconfidencia.acervos.museus.gov.br/wp-json/tainacan/v2/collection/9/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,9
45,46.0,Santo,São Pedro,Não identificado,02 Artes Visuais/Cinematográfica > 02.3 Escultura,77.0,31.0,,,,,Madeira > Cedro | Ouro | Tintas,Regular,Brasil > Minas Gerais,[entre 1751 e 1800],museudainconfidencia_-_acervo-museologico,https://museudainconfidencia.acervos.museus.gov.br/wp-json/tainacan/v2/collection/9/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,9
46,47.0,Mísula [de retábulo],Sem título,Não identificado,04 Construção > 04.4 Fragmento de Construção,70.0,92.6,,,,,Madeira > Cedro,Regular,Brasil > Minas Gerais > Barra do Rio das Velhas,[17-],museudainconfidencia_-_acervo-museologico,https://museudainconfidencia.acervos.museus.gov.br/wp-json/tainacan/v2/collection/9/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,9
47,48.0,Cortina de dossel [de retábulo],Sem título,Não identificado,04 Construção > 04.4 Fragmento de Construção,96.0,14.0,,,,,Madeira > Cedro,Regular,Brasil > Minas Gerais > Barra do Rio das Velhas,[17-],museudainconfidencia_-_acervo-museologico,https://museudainconfidencia.acervos.museus.gov.br/wp-json/tainacan/v2/collection/9/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,9
48,49.0,Anjo [de retábulo],Anjo,Não identificado,04 Construção > 04.4 Fragmento de Construção,96.0,79.8,,,,,Madeira > Cedro,Regular,Brasil > Minas Gerais > Barra do Rio das Velhas,[17-],museudainconfidencia_-_acervo-museologico,https://museudainconfidencia.acervos.museus.gov.br/wp-json/tainacan/v2/collection/9/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,9
49,50.0,Pilastra misulada [de retábulo],Sem título,Não identificado,04 Construção > 04.4 Fragmento de Construção,313.0,25.0,,,,,Madeira > Cedro,Regular,Brasil > Minas Gerais > Barra do Rio das Velhas,[17-],museudainconfidencia_-_acervo-museologico,https://museudainconfidencia.acervos.museus.gov.br/wp-json/tainacan/v2/collection/9/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,9
50,51.0,Mísula [de retábulo],Sem título,Não identificado,04 Construção > 04.4 Fragmento de Construção,109.0,46.3,,,,,Madeira > Cedro | Tintas,Regular,Brasil > Minas Gerais > Barra do Rio das Velhas,[17-],museudainconfidencia_-_acervo-museologico,https://museudainconfidencia.acervos.museus.gov.br/wp-json/tainacan/v2/collection/9/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,9
51,52.0,Anjo [de retábulo],Anjo,Não identificado,04 Construção > 04.4 Fragmento de Construção,60.5,33.5,,,,,Madeira > Cedro,Regular,Brasil > Minas Gerais > Barra do Rio das Velhas,[17-],museudainconfidencia_-_acervo-museologico,https://museudainconfidencia.acervos.museus.gov.br/wp-json/tainacan/v2/collection/9/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,9
52,53.0,Retábulo (fragmento),Sem título,Não identificado,04 Construção > 04.4 Fragmento de Construção,28.0,24.0,,,,,Madeira > Cedro,Regular,Brasil > Minas Gerais > Barra do Rio das Velhas,[17-],museudainconfidencia_-_acervo-museologico,https://museudainconfidencia.acervos.museus.gov.br/wp-json/tainacan/v2/collection/9/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,9
53,54.0,Perfil de camarim [de retábulo],Sem título,Não identificado,04 Construção > 04.4 Fragmento de Construção,92.0,15.0,,,,,Madeira > Cedro | Ouro | Tintas,Regular,Brasil > Minas Gerais > Barra do Rio das Velhas,[17-],museudainconfidencia_-_acervo-museologico,https://museudainconfidencia.acervos.museus.gov.br/wp-json/tainacan/v2/collection/9/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,9
54,55.0,Cartela [de retábulo],Sem título,Não identificado,04 Construção > 04.4 Fragmento de Construção,95.0,78.0,,,,,Madeira > Cedro | Tintas,Regular,Brasil > Minas Gerais > Barra do Rio das Velhas,[17-],museudainconfidencia_-_acervo-museologico,https://museudainconfidencia.acervos.museus.gov.br/wp-json/tainacan/v2/collection/9/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,9
55,56.0,Anjo [de retábulo],Anjo,Não identificado,04 Construção > 04.4 Fragmento de Construção,66.0,82.0,,,,,Madeira > Angico | Tintas,Regular,Brasil > Minas Gerais > Barra do Rio das Velhas,[17-],museudainconfidencia_-_acervo-museologico,https://museudainconfidencia.acervos.museus.gov.br/wp-json/tainacan/v2/collection/9/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,9
56,57.0,Mísula [de retábulo],Sem título,Não identificado,04 Construção > 04.4 Fragmento de Construção,19.0,21.0,,,,,Madeira > Cedro | Tintas,Regular,Brasil > Minas Gerais > Barra do Rio das Velhas,[17-],museudainconfidencia_-_acervo-museologico,https://museudainconfidencia.acervos.museus.gov.br/wp-json/tainacan/v2/collection/9/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,9
57,58.0,Sacrário [de retábulo],Sem título,Francisco Xavier de Brito (atribuição),04 Construção > 04.4 Fragmento de Construção,126.0,70.0,,,,,Madeira > Cedro,Regular,Brasil > Minas Gerais > Santa Bárbara,[1744?],museudainconfidencia_-_acervo-museologico,https://museudainconfidencia.acervos.museus.gov.br/wp-json/tainacan/v2/collection/9/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,9
58,59.0,Friso de banqueta [de retábulo],Sem título,Não identificado,04 Construção > 04.4 Fragmento de Construção,17.0,,,,,,Madeira > Cedro,Regular,Brasil > Minas Gerais > Barra do Rio das Velhas,[entre 1701 e 1750],museudainconfidencia_-_acervo-museologico,https://museudainconfidencia.acervos.museus.gov.br/wp-json/tainacan/v2/collection/9/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,9
59,60.0,Mesa de altar,Sem título,Não identificado,04 Construção > 04.4 Fragmento de Construção,109.2,151.3,,,,,Madeira > Cedro,Regular,Brasil > Minas Gerais > Barra do Rio das Velhas,[17-],museudainconfidencia_-_acervo-museologico,https://museudainconfidencia.acervos.museus.gov.br/wp-json/tainacan/v2/collection/9/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,9
60,61.0,Coluna [de retábulo],Sem título,Não identificado,04 Construção > 04.4 Fragmento de Construção,92.0,15.0,,,,,Madeira > Cedro,Regular,Brasil > Minas Gerais > Barra do Rio das Velhas,[17-],museudainconfidencia_-_acervo-museologico,https://museudainconfidencia.acervos.museus.gov.br/wp-json/tainacan/v2/collection/9/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,9
61,62.0,Coluna [de retábulo],Sem título,Não identificado,04 Construção > 04.4 Fragmento de Construção,101.7,15.0,,,,,Madeira > Cedro | Tintas,Regular,Brasil > Minas Gerais > Barra do Rio das Velhas,[17-],museudainconfidencia_-_acervo-museologico,https://museudainconfidencia.acervos.museus.gov.br/wp-json/tainacan/v2/collection/9/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,9
