,Número de registro,Denominação,Autor,Material/Técnica,Local de produção,Data de produção,Classificação,Dimensões - altura,Dimensões - profundidade/comprimento,Dimensões - largura,Dimensões - espessura,Dimensões - diâmetro,Resumo descritivo,Condições de reprodução,ACERVO,URL,TAINACAN_COLECTION_ID
10,12,Clichê,Christiano B. Ottoni Filho (risco); Ivo Ferreira da Silva (desenho) e Gráfica de Artes S.A (caracteres),madeira | metal | tinta,Rio de Janeiro,Séc. XX,10 Comunicação > 10.1 Documento,"24,5",,"19,2","2,3",,"Clichê para impressão em prelo manual, confeccionado em metal (zinco?) sobre suporte em madeira, com ilustração em baixo-relevo, representando a prancha nº 17 do livro sobre a árvore genealógica da Família Ottoni (Maria Ernestina Ottoni de Carvalho - ramo de Belo Horizonte - MG). A placa em metal encontra-se fixada a uma tábua espessa de madeira através de pequenos pregos.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
11,13,Clichê,Christiano B. Ottoni Filho (risco); Ivo Ferreira da Silva (desenho) e Gráfica de Artes S.A (caracteres),madeira | metal | tinta,Rio de Janeiro,Séc. XX,10 Comunicação > 10.1 Documento,"24,3",,"19,2","0,57",,"Clichê para impressão em prelo manual, confeccionado em metal (zinco?) sobre suporte em madeira, com ilustração em baixo-relevo, representando a prancha nº 20 do livro sobre a árvore genealógica da Família Ottoni (Manoel Vieira Ottoni - ramo do Serro e Minas Novas - MG). A placa em metal encontra-se fixada a uma tábua delgada de madeira através de pequenos pregos.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
12,14,Clichê,Christiano B. Ottoni Filho (risco); Ivo Ferreira da Silva (desenho) e Gráfica de Artes S.A (caracteres),madeira | metal | tinta,Rio de Janeiro,Séc. XX,10 Comunicação > 10.1 Documento,"24,6",,"19,4","2,2",,"Clichê para impressão em prelo manual, confeccionado em metal (zinco?) sobre suporte em madeira, com ilustração em baixo-relevo, representando a prancha nº 21 do livro sobre a árvore genealógica da Família Ottoni (Honório Esteves Ottoni - ramo de Teófilo Ottoni - MG). A placa em metal encontra-se fixada a uma tábua espessa de madeira através de pequenos pregos.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
13,15,Crucifixo (de banqueta),Não identificado,madeira | tinta,Minas Gerais,Séc. XVIII,09 Objetos Cerimoniais > 09.3 Objeto de Culto,146,,"52,5",,,"Crucifixo [de banqueta] confeccionado em madeira (jacarandá mineiro) entalhada e dourada (purpurina). Objeto composto por hastes horizontais e verticais, além de base em tripé. Peça ornada nas extremidades das hastes por medalhões emoldurados por volutas contrapostas, tendo friso duplo na cruz e raios de sol na extremidade superior. Na parte inferior, ornato em formato de balaústre, com anel, estrangulamento e base escalonada, apresentando, ao centro, motivos fitomorfos em relevo. Apresenta base triangular (em tripé), ornada em cada uma das faces por medalhões emoldurados por friso, volutas e três estruturas circulares, arrematados por folhas de acanto e volutas, tendo três pés com recorte sinuoso. Não apresenta o Cristo Crucificado. Parte posterior da cruz lisa, com vestígios de tinta azul clara.  ","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
14,16,Castiçal,Não identificado,folha de ouro | madeira | tinta,Minas Gerais,Séc. XVIII/XIX,05 Interiores > 05.4 Objeto de Iluminação,"44,4",,"14,8",,,"Castiçal confeccionado em madeira (cedro) entalhada, torneada, policromada e dourada. Base trifacetada, com vértices abaulados e cartela com flor estilizada na parte frontal, apoiada sobre três pés abaulados e com volutas. Coluna composta por bolacha intercalada por anéis e frisos, seguida por estrutura delgada estriada e estrangulamento. Na parte central, ornato em folha estilizada sobre anéis intercalados por estrangulamento apoiados sobre estrutura triangular decorada com elementos fitomorfos estilizados. Arandela circular, de formato cônico, com ornatos de folhas estilizadas. Bocal mais estreito com friso em meia-cana apoiado sobre ornato com pequenas folhas. Apresenta vestígios de tinta amarela e douramento (purpurina).","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
15,17,Castiçal,Não identificado,folha de ouro | madeira | tinta,Minas Gerais,Séc. XVIII/XIX,05 Interiores > 05.4 Objeto de Iluminação,"44,5",,"14,1",,,"Castiçal confeccionado em madeira (cedro) entalhada, torneada, policromada e dourada. Base trifacetada, com vértices abaulados e cartela com flor estilizada na parte frontal, apoiada sobre três pés abaulados e com volutas. Coluna composta por bolacha intercalada por anéis e frisos, seguida por estrutura delgada estriada e estrangulamento. Na parte central, ornato em folha estilizada sobre anéis intercalados por estrangulamento apoiados sobre estrutura triangular decorada com elementos fitomorfos estilizados. Arandela circular, de formato cônico, com ornatos de folhas estilizadas. Bocal mais estreito com friso em meia-cana apoiado sobre ornato com pequenas folhas. Apresenta vestígios de tinta amarela e douramento (purpurina).","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
16,18,Castiçal (banqueta),Não identificado,folha de ouro | madeira | tinta,Minas Gerais,Séc. XVIII/XIX,05 Interiores > 05.4 Objeto de Iluminação,"58,5",,"15,2",15,,"Castiçal [de banqueta], de manufatura erudita, confeccionado em madeira (jacarandá) entalhada e policromada, com base trifacetada sustentada por três pés em curvas e contracurvas, com terminação  abauladas apresentando cartela na parte central com folha de acanto ladeada por volutas em formato de ""C"", posicionados simetricamente. Coluna ornada por volutas, estrangulamentos e bolachas, apresentando dois corpos verticais com frisos sinuosos sob estrutura de frisos em meia-cana e simples. Arandela circular, de formato cônico sobreposta por bocal ornado por volutas com terminação mais estreita. Vestígios de policromia (azul), base de preparação e douramento.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
17,19,Castiçal (banqueta),Não identificado,folha de ouro | madeira | tinta,Minas Gerais,Séc. XVIII/XIX,05 Interiores > 05.4 Objeto de Iluminação,57,,"15,3","15,2",,"Castiçal [de banqueta], de manufatura erudita, confeccionado em madeira (jacarandá) entalhada e policromada, com base trifacetada sustentada por três pés em curvas e contracurvas, com terminação  abauladas apresentando cartela na parte central com folha de acanto ladeada por volutas em formato de ""C"", posicionados simetricamente. Coluna ornada por volutas, estrangulamentos e bolachas, apresentando dois corpos verticais com frisos sinuosos sob estrutura de frisos em meia-cana e simples. Arandela circular, de formato cônico sobreposta por bocal ornado por volutas com terminação mais estreita. Vestígios de policromia (azul), base de preparação e douramento.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
18,20,Clichê,Christiano B. Ottoni Filho (risco); Ivo Ferreira da Silva (desenho) e Gráfica de Artes S.A (caracteres),madeira | metal | tinta,Rio de Janeiro,Séc. XX,10 Comunicação > 10.1 Documento,"24,3",,"19,4","2,2",,"Clichê para impressão em prelo manual, confeccionado em metal (zinco?) sobre suporte em madeira, com ilustração em baixo-relevo, representando a prancha nº 24 do livro sobre a árvore genealógica da Família Ottoni (Honório Esteves Ottoni - ramo de Teófilo Ottoni - MG). A placa em metal encontra-se fixada a uma tábua espessa de madeira através de pequenos pregos.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
19,21,Mesa de encostar,Não identificado,madeira,Minas Gerais,Séc. XIX,05 Interiores > 05.5 Peça de Mobiliário,"86,8","114,3","70,4",,,"Mesa [de encostar] confeccionada em madeira (jacarandá), de manufatura rústica, com tampo liso de formato retangular e abas salientes. Apresenta uma gaveta com duas almofadas que ladeiam espelho de fechadura em metal (ferro), este de formato quadrado, fixado à estrutura através de quatro parafusos. Saias laterais lisas. Pernas de cavalete, sinuosas, com pés em curva e travejamento retangular, sendo as traves laterais ligeiramente mais elevadas.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
20,22,"Crucifixo (cruz, fragmento)",Não identificado,folha de ouro | madeira | tinta,Minas Gerais,Séc. XIX,09 Objetos Cerimoniais > 09.3 Objeto de Culto,103,,42,,,"Crucifixo confeccionado em madeira entalhada, pintada e dourada. Base trifacetada, de formato piramidal, com laterais recortadas e entalhadas em ""S"" e com terminação em volutas, tendo, ao centro de cada face, palmeta, e entalhe em motivo fitomorfo na parte superior. Apresenta vestígios de douramento na base. Hastes da cruz em tom verde com friso reto  em forma triangular com arestas recortadas em angras ressaltadas, arrematadas por rocalha dourada. Parte posterior lisa, com pintura verde. Apresenta pequena estrutura em metal (prata) na parte superior da haste vertical (provavelmente para encaixe do Cristo Crucificado - este inexistente).","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
21,23,"Crucifixo (cruz, fragmento)",Não identificado,madeira | tinta,Minas Gerais,Século XVIII,09 Objetos Cerimoniais > 09.3 Objeto de Culto,"57,7",,"22,5",,,"Cruz confeccionada em madeira entalhada e pintada, com representação do Calvário de Cristo. Base em 3/4 de círculo, com rocha estilizada, tendo fundo pintado em tom vinho e ornamentação em círculos e motivos geométricos no tom azul. Cruz latina, de pequeno porte, com hastes torneadas e fixadas por cravo em ferro pintado, seguindo a mesma padronagem do restante do objeto.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
22,24,Triturador de fumo (fumo de rolo),Joaquinzinho,cobre | ferro | madeira | metal,Serro (MG),Séc. XIX,12 Objetos Pessoais > 12.2 Artigo de Tabagismo,"11,5",28,21,,7,"Cortador [de fumo de rolo], de manufatura local (Serro - MG), confeccionado em madeira e metal (ferro e cobre). Apresenta estrutura do corpo cilíndrica com sistema de tranca através de tira de ferro abaulado. Tampa abaulada, em madeira, ornada na superfície por frisos simples. Parte interna do objeto composta por delgado cano em ferro que compõe o sistema rotatório arrematado por manivela no mesmo metal. Numa das extremidades, alavanca com guilhotina em ferro e  cabo de madeira ornado por friso espesso em cobre, para corte do fumo de rolo. Objeto apoiado sobre quatro pés formados a partir de duas tiras de ferro retorcido fixado por pregos à estrutura do objeto.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
23,25,Estola,Não Identificada,linha | tecido,,,12 Objetos Pessoais > 12.8 Peça de Indumentária,"7,5",181,,,,,"Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
24,26,Livro,Christiano Benedicto Ottoni Filho,couro > couro sintético | papel | tecido | tinta,Rio de Janeiro,Séc. XX,10 Comunicação > 10.1 Documento,"32,2",,"24,7","2,03",,"Livro, confeccionado em papel buffon, contendo cem páginas com textos e quarenta ilustrações, impressos em preto-e-branco, de autoria de Christiano Benedicto Ottoni Filho. Possui capa em couro azul sintético, com título gravado em tinta dourada na lombada do objeto e páginas costuradas.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
25,27,Moeda,[Casa da Moeda do Brasil],metal,Rio de Janeiro,Séc. XIX,03 Objetos Pecuniários,,,,"0,02","0,32","Moeda de 200 réis, de formato circular, confeccionada em metal e datada de 1893.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
26,28,Moeda,[Casa da Moeda do Brasil],metal,Rio de Janeiro,Séc. XIX,03 Objetos Pecuniários,,,,"0,02","0,41","Moeda de 40 (?), de formato circular, confeccionada em metal e datada de 1827.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
27,29,Moeda,[Casa da Moeda do Brasil],metal,Rio de Janeiro,Séc. XIX,03 Objetos Pecuniários,,,,"0,02","0,41","Moeda de 40 (?), de formato circular, confeccionada em metal.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
28,30,Moeda,[Casa da Moeda do Brasil],metal,Rio de Janeiro,Séc. XIX,03 Objetos Pecuniários,,,,"0,02","0,38","Moeda de 40 (?), de formato circular, confeccionada em metal.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
29,31,Moeda,[Casa da Moeda do Brasil],metal,Rio de Janeiro,Séc. XIX,03 Objetos Pecuniários,,,,"0,02","0,38","Moeda de 40 (?), de formato circular, confeccionada em metal.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
30,32,Moeda,[Casa da Moeda do Brasil],metal,Rio de Janeiro,Séc. XIX,03 Objetos Pecuniários,,,,"0,01","0,38","Moeda de (?), de formato circular, confeccionada em metal.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
