,Número,Coleção,Título,Procedência,Data,Ano,Material/Técnica,Objeto,Dimensões,Descrição,Autor,ACERVO,URL,TAINACAN_COLECTION_ID
14,1592,Documentos Históricos,Recibo,Alice Proença Monjardim,22/11/1887,1887.0,Impressão | Manuscrito,Objetos Pecuniários,"18,1 x 13,2 cm","Recibo de pagamento do trimestre outubro/dezembro de 1887 efetuado, pela escrava Rosária, de Dona Anna Monjardim, no valor de 2 mil Réis, à Sociedade Beneficente e Libertadora da Irmandade de São Benedito do Rosário.",Iramandade São Benedito do Rosário,museusolarmonjardim_-_documentos-historicos,https://museusolarmonjardim.acervos.museus.gov.br/documentos-historicos/,31273
15,1581,Documentos Históricos,Pedido de Licença,Alice Proença Monjardim,25/01/1877,1877.0,Manuscrito,Carta,"35,1 x 22,2 cm","O Barão de Gotegype concede ao Inspector da Alfândega da Capital da Provincia do ES, Alpheu A.M.A. e Almeida, dois meses de licença para tratar de sua saúde. Possui duas folhas.",Ministério dos Negócios da Fazenda (RJ),museusolarmonjardim_-_documentos-historicos,https://museusolarmonjardim.acervos.museus.gov.br/documentos-historicos/,31273
16,1697,Documentos Históricos,Recibo,Alice Proença Monjardim,03/09/1883,1883.0,Impressão | Manuscrito,Objetos Pecuniários,"23,9 x 18 cm",Recibo de pagamento do imposto municipal da escrava Arabella realizado pelo sr. Coronel José Francisco de A. A. Monjardim à Câmara Municipal de Vitória referente ao imposto do primeiro trimestre de 1883-1884.,Tesouro Público Provincial do Espírito Santo,museusolarmonjardim_-_documentos-historicos,https://museusolarmonjardim.acervos.museus.gov.br/documentos-historicos/,31273
17,1750,Documentos Históricos,Correspondênica Pessoal,Alice Proença Monjardim,,,Manuscrito,Carta,21 x 27 cm,"Encaminhada ao ""Amigo Alpheu"".",Ilegível,museusolarmonjardim_-_documentos-historicos,https://museusolarmonjardim.acervos.museus.gov.br/documentos-historicos/,31273
18,1661,Documentos Históricos,Recibo,Alice Proença Monjardim,12/08/1885,1885.0,Manuscrito,Objetos Pecuniários,"33 x 22,1 cm","Pagamento devido à Mesa de Rendas de Vi´toria, pelos herdeiros do Coronel José Francisco de A. A. Monjardim. 33.600 Réis provenientes do imposto sobre o aluguel de seus escravos: Arabella, Francelina e Melania referente ao exercicio de 1882-1883.",Tesouro Público Provincial do Espírito Santo,museusolarmonjardim_-_documentos-historicos,https://museusolarmonjardim.acervos.museus.gov.br/documentos-historicos/,31273
19,1749,Documentos Históricos,Correspondência Pessoal,Alice Proença Monjardim,,,Manuscrito,Carta,"25,2 x 21 cm","Nesta carta o Pai de Antonio José da Silva pede ao Barão de Monjardim para que proteja seu filho, que está sendo processado por ser encontrado portando 4 notas falsas de cinco mil réis. Diz que o filho recebeu sem má fé.",Ignorado,museusolarmonjardim_-_documentos-historicos,https://museusolarmonjardim.acervos.museus.gov.br/documentos-historicos/,31273
20,1589,Documentos Históricos,Apólice da Divida Pública,Alice Proença Monjardim,22/05/1925,1925.0,Impressão,Objetos Pecuniários,"36 x 25,3 cm","Apólice da Divida Pública do Estado do Espírito Santo, no valor de 1 (um) conto de Réis, autorizada pelo decreto de lei n. 1.498 de 22 de maio de 1925. na parte superior, ao centro Brasão do Estado do ES. Abaixo Palácio do Governo Estadual. Contornando a",Governo do Estado do Espírito Santo,museusolarmonjardim_-_documentos-historicos,https://museusolarmonjardim.acervos.museus.gov.br/documentos-historicos/,31273
21,1694,Documentos Históricos,Política,Alice Proença Monjardim,04/02/1874,1874.0,Manuscrito,Carta,"17,3 x 21,5 cm","Carta endereçada ao Ilustre Amigo Barão de Monjardim, no qual o remetente fala sobre mais uma tentativa de conciliação com o governo de Henrique Coutinho. Possui duas folhas. A carta esta incompleta.",Ignorado,museusolarmonjardim_-_documentos-historicos,https://museusolarmonjardim.acervos.museus.gov.br/documentos-historicos/,31273
22,1696,Documentos Históricos,Recibo,Alice Proença Monjardim,03/09/1883,1883.0,Impressão | Manuscrito,Objetos Pecuniários,24 x 18 cm,Recibo de pagamento efetuado por Dona Anna Luiza da Penha Monjardim proveniente do imposto sobre seu escravo Febronio referente ao exercicio de 1883-1884.,Anna Luiza Pinto da Penha Monjardim,museusolarmonjardim_-_documentos-historicos,https://museusolarmonjardim.acervos.museus.gov.br/documentos-historicos/,31273
23,1748,Documentos Históricos,Correspondênica Pessoal,Alice Proença Monjardim,,,Manuscrito,Carta,"25,2 x 18,3 cm","Endereçada ao Tenente Coronel Alpheu Adelpho Monjardim, pelo Barão de Vila Bella, que mostra sua satisfação com a candidatura deo Dr. Araújo.",Barão de Vila Bella,museusolarmonjardim_-_documentos-historicos,https://museusolarmonjardim.acervos.museus.gov.br/documentos-historicos/,31273
24,1600,Documentos Históricos,Recibo,Alice Proença Monjardim,21/06/1882,1882.0,Impressão | Manuscrito,Objetos Pecuniários,"23,2 x 22,1 cm","Recibo de taxa de imposto pago por Dona Anna Luiza Pinto da Penha Monjardim à Alfândega e Recebedoria de Rendas da Cidade de Vitória, referente a seu escravo Febronio, relativo ao exercicio do ano de 1882.",Anna Luiza Pinto da Penha Monjardim,museusolarmonjardim_-_documentos-historicos,https://museusolarmonjardim.acervos.museus.gov.br/documentos-historicos/,31273
25,1525,Documentos Históricos,Correspondência Pessoal,Alice Proença Monjardim,09/06/1919,1919.0,Manuscrito,Carta,"22,3 x 17,9 cm","O sr. Barbosa solicitando ao Barão interceder na sua transferência de Maroin para o ES, pois sua esposa nestes dois anos não tem gozado de boa saúde. Possui duas Páginas.",José Barbosa de Santana,museusolarmonjardim_-_documentos-historicos,https://museusolarmonjardim.acervos.museus.gov.br/documentos-historicos/,31273
26,1655,Documentos Históricos,Recibo,Alice Proença Monjardim,13/02/1884,1884.0,Manuscrito,Objetos Pecuniários,"22,3 x 16,5 cm","Recibo da compra de um par de chinelas de casemira preta, no valor de 2$500 Réis efetuado pelo Tenente Coronel Alpheo Adelpho Monjardim de Andrade e Almeida (Barão) a Loja de Calçados de Guilherme Frederico & Cia.",Almeida Mojardim | Alpheo Adelpho Monjardim de Andrade,museusolarmonjardim_-_documentos-historicos,https://museusolarmonjardim.acervos.museus.gov.br/documentos-historicos/,31273
27,1747,Documentos Históricos,Título de Eleitor do Barão de Monjardim,Alice Proença Monjardim,,,Impressão | Manuscrito,Titulo de Eleitor,"20,8 x 19 cm","Titulo de Eleitor do Barão de Monjardim, n. 295. Numero de ordem de Alistamento 202. possui assiantura do Barão, do escrivão e do juiz.",República dos Estados Unidos do Brasil,museusolarmonjardim_-_documentos-historicos,https://museusolarmonjardim.acervos.museus.gov.br/documentos-historicos/,31273
28,1598,Documentos Históricos,Recibo,Alice Proença Monjardim,21/12/1882,1882.0,Impressão | Manuscrito,Objetos Pecuniários,"20,5 x 28 cm","Recibo de taxa de imposto pago por Dona Anna Luiza Pinto da Penha Monjardim à Comarca Municipal de Vitória, referente a seu escravo Febronio, relativo ao exercicio do ano de 1882 a 1883.",Anna Luiza Pinto da Penha Monjardim,museusolarmonjardim_-_documentos-historicos,https://museusolarmonjardim.acervos.museus.gov.br/documentos-historicos/,31273
29,1533,Documentos Históricos,Correspondência Pessoal,Alice Proença Monjardim,07/10/1915,1915.0,Manuscrito,Carta,"18 x 22,5 cm",O sr. Affonso Cláudio oferece votos de restabelecimento de saúde ao Barâo de Monjardim. Na carta fala também do noivado de sua filha Regina com o bacharelando Henrique Estroes.,Affonso Claúdio,museusolarmonjardim_-_documentos-historicos,https://museusolarmonjardim.acervos.museus.gov.br/documentos-historicos/,31273
30,1556,Documentos Históricos,Recibo,Alice Proença Monjardim,28/02/1883,1883.0,Impressão,Objetos Pecuniários,"22,3 x 19 cm","Recibo de taxa de imposto no valor de 16$000, pago por Dona Anna Luiza Pinto da Penha Monjardim à Administração das Rendas Municipais de Vitória, referente a seu escravo Febronio, relativo ao exercicio do ano de 1882 a 1883.",Anna Luiza Pinto da Penha Monjardim,museusolarmonjardim_-_documentos-historicos,https://museusolarmonjardim.acervos.museus.gov.br/documentos-historicos/,31273
31,1746,Documentos Históricos,Falecimento,Alice Proença Monjardim,,,Manuscrito,Cartão de Visita,"5,7 x 9,3 cm",Cartão de visita onde o Sr. José Joaquim P. Povoa está de referindo ao passamento de uma criança.,José Joaquim Pessanha Póvoa,museusolarmonjardim_-_documentos-historicos,https://museusolarmonjardim.acervos.museus.gov.br/documentos-historicos/,31273
32,1577,Documentos Históricos,Recibo,Alice Proença Monjardim,25/09/1884,1884.0,Impressão | Manuscrito,Objetos Pecuniários,"23,8 x 18 cm","Recibo de taxa de imposto, pago por Dona Anna Luiza Pinto da Penha Monjardim à Administração das Rendas Municipais de Vitória, referente a seu escravo Febronio, relativo ao exercicio do ano de1884 a 1885.",Anna Luiza Pinto da Penha Monjardim,museusolarmonjardim_-_documentos-historicos,https://museusolarmonjardim.acervos.museus.gov.br/documentos-historicos/,31273
33,1530,Documentos Históricos,Recusa do Banco do Brasil,Alice Proença Monjardim,07/08/1915,1915.0,Manuscrito,Carta,"27,4 x 21 cm","Carta de Juvenal ramos ao Barão de Monjardim informando a recusa do Banco do Brasil que não aceitou receber a importancia de 760$000, que o mesmo mandou pagar pelo Sr. J.M. Pacheco, referente a letras por ele firmada com o endosso do Barão. Comenta sobre",Juvenal Ramos,museusolarmonjardim_-_documentos-historicos,https://museusolarmonjardim.acervos.museus.gov.br/documentos-historicos/,31273
34,1564,Documentos Históricos,Correspondência Pessoal,Alice Proença Monjardim,27/05/1912,1912.0,Manuscrito,Carta,"20,2 x 12,4 cm","Carta ao Barão de Monjardim solicitando informações sobre sua pessoa. No canto superior direito o emblema da República, encimada pela inscrição da Câmara dos Deputados.",Dunshee de Abranches,museusolarmonjardim_-_documentos-historicos,https://museusolarmonjardim.acervos.museus.gov.br/documentos-historicos/,31273
35,1605,Documentos Históricos,Correspondência Pessoal,Alice Proença Monjardim,20/04/1910,1910.0,Manuscrito,Carta,"22,1 x 17,8 cm","Carta de felicitação ao Barão de Monjardim pelo seu aniversário. No canto superior esquerdo o emblema do Estado do Espírito Santo, encimada pela inscrição do Gabinete da Presidencia do Estado do ES.",Jerônimo Monteiro,museusolarmonjardim_-_documentos-historicos,https://museusolarmonjardim.acervos.museus.gov.br/documentos-historicos/,31273
36,1660,Documentos Históricos,Política,Alice Proença Monjardim,12/01/1910,1910.0,Manuscrito,Carta,"26,9 x 21 cm","Carta ao Barão de Monjardim reclamando da falta de apoio do Dr. Jeronimo Monteiro, que este não o recompensara na distribuição de cargos, pois ele o apoiara nas eleições. Assim passará a apoiar o Grpo Político do Dr. Muniz freire.",Antão Gomes da Silva | Souza,museusolarmonjardim_-_documentos-historicos,https://museusolarmonjardim.acervos.museus.gov.br/documentos-historicos/,31273
37,1673,Documentos Históricos,Convite para passar a noite no Palácio do Cadete,Alice Proença Monjardim,01/09/1909,1909.0,Impressão,Convite,"11,6 x 18,5 cm",Presidente da República e Senhora Nilo Pessanha convidam o Deputado Federal Alpheo Monjardim para que viesse passar a noite do dia 07/09 no Palácio do Cadete. Segue incluso uma carta do secret´rio da Presidencia pedindo para que o senhor Alpheo desse resp,Presidência da República,museusolarmonjardim_-_documentos-historicos,https://museusolarmonjardim.acervos.museus.gov.br/documentos-historicos/,31273
38,1603,Documentos Históricos,Política,Alice Proença Monjardim,20/08/1909,1909.0,Manuscrito,Carta,"21,7 x 14,3 cm",carta relatando a situação politica do ES e das alianças formadas para as eleições de deputados. Afirma sua posição de votar no congresso nacional uma monção em favor da candidatura de Hermes.,Manoel Silvino Monjardim (DUCA),museusolarmonjardim_-_documentos-historicos,https://museusolarmonjardim.acervos.museus.gov.br/documentos-historicos/,31273
39,1652,Documentos Históricos,Política,Alice Proença Monjardim,13/02/1909,1909.0,Manuscrito,Cartão,"6,9 x 10,6 cm",Mensagem parbenizando o Barão de Monjardim pela maioria dos votos que teve em Mangarahy.,Coronel José Alves do Nascimento,museusolarmonjardim_-_documentos-historicos,https://museusolarmonjardim.acervos.museus.gov.br/documentos-historicos/,31273
40,1615,Documentos Históricos,Política,Alice Proença Monjardim,02/12/1908,1908.0,Manuscrito,Carta,"22,8 x 17,6 cm",Congratulações pelo acordo político feito. Pede tambem a ajuda do Barão para interceder junto ao Dr. Jeronimo Monteiro em favor da colocação de companheiros políticos nos cargos públicos.,Silverio Medina,museusolarmonjardim_-_documentos-historicos,https://museusolarmonjardim.acervos.museus.gov.br/documentos-historicos/,31273
41,1657,Documentos Históricos,Política,Alice Proença Monjardim,12/07/1909,1909.0,Manuscrito,Carta,"18,1 x 11,3 cm",Pedido de colaboração numa diretoria do Ministério da Agricultura e sua preocupação quanto a eleição de Manuel Silvino e a política de Jeronimo Monteiro. Sem assiantura e sem destinatário.,Ignorado,museusolarmonjardim_-_documentos-historicos,https://museusolarmonjardim.acervos.museus.gov.br/documentos-historicos/,31273
42,1745,Documentos Históricos,Política,Alice Proença Monjardim,,,Manuscrito,Carta,"26,8 x 21,1 cm",O autor escreve sobre a composição das chapas para vice-presidente e governadores municipais.,Argeo Monjardim,museusolarmonjardim_-_documentos-historicos,https://museusolarmonjardim.acervos.museus.gov.br/documentos-historicos/,31273
43,1548,Documentos Históricos,Política,Alice Proença Monjardim,30/12/1907,1910.0,Manuscrito,Carta,30121907,O autor escreve sobre as eleições municipais.,Argeo Monjardim,museusolarmonjardim_-_documentos-historicos,https://museusolarmonjardim.acervos.museus.gov.br/documentos-historicos/,31273
44,1566,Documentos Históricos,Convite,Alice Proença Monjardim,26/04/1907,1907.0,Manuscrito,Carta,"32,7 x 22,8 cm",Convite ao sr. Barão de Monjardim para inclusão do seu nome na Sociedade Reverencia à Memória de D. Pedro II.,Sociedade Reverencia à Memória de D. Pedro II,museusolarmonjardim_-_documentos-historicos,https://museusolarmonjardim.acervos.museus.gov.br/documentos-historicos/,31273
45,1691,Documentos Históricos,Política,Alice Proença Monjardim,04/1907,1907.0,Manuscrito,Carta,"27,5 x 20,9 cm",O missivista pede sua nomeação na Diretoria Geral dos Telégrafos.,Manoel Rocha,museusolarmonjardim_-_documentos-historicos,https://museusolarmonjardim.acervos.museus.gov.br/documentos-historicos/,31273
46,1546,Documentos Históricos,Política,Alice Proença Monjardim,30/05/1910,1910.0,Manuscrito,Carta,"22,1 x 17,7 cm",Pedido para que o Barão interceda junto ao Dr. Argeu Monjardim para que este advogue uma causa em favor do missivista.,Mario Lopes de Almeida,museusolarmonjardim_-_documentos-historicos,https://museusolarmonjardim.acervos.museus.gov.br/documentos-historicos/,31273
47,1593,Documentos Históricos,Política,Alice Proença Monjardim,22/10/1906,1906.0,Manuscrito,Carta,"21,6 x 13,6 cm",O assunto gira em torno da composição das chapas para eleição.,Moniz Freire,museusolarmonjardim_-_documentos-historicos,https://museusolarmonjardim.acervos.museus.gov.br/documentos-historicos/,31273
48,1674,Documentos Históricos,Política,Alice Proença Monjardim,01/07/1906,1906.0,Manuscrito,Carta,"17,8 x 11,3 cm",O missivista pede ao Barão que interceda junto ao 29 que deixe o governo em troca de uma cadeira do senado no lugar do Zuca (Nunes) ou do Cleto.,Moniz Freire,museusolarmonjardim_-_documentos-historicos,https://museusolarmonjardim.acervos.museus.gov.br/documentos-historicos/,31273
49,1610,Documentos Históricos,Política,Alice Proença Monjardim,20/10/1905,1905.0,Manuscrito,Carta,"20,9 x 13,1 cm",Carta de mOniz Freire sobre questões políticas à eleição do senado.,Moniz Freire,museusolarmonjardim_-_documentos-historicos,https://museusolarmonjardim.acervos.museus.gov.br/documentos-historicos/,31273
50,1681,Documentos Históricos,Termo de Posse do Barão,Alice Proença Monjardim,07/06/1891,1891.0,Manuscrito,Termo de Posse,35 x 23 cm,"Termo de posse do Barão de Monjardim no cargo de Governador do Estado do ES. Assinado pelos membros do Congresso Constituinte do Estado, pelo ex-governador provisório e pelo governador eleito.",Não identificado,museusolarmonjardim_-_documentos-historicos,https://museusolarmonjardim.acervos.museus.gov.br/documentos-historicos/,31273
51,1629,Documentos Históricos,Vencimentos,Alice Proença Monjardim,18/05/1891,1891.0,Manuscrito,Carta,"21 x 13,5 cm","Carta da Senhora Felícia Carolina Accioli D'Azevedo, mãe do falecido Dr. Daniel Accioli d'Azevedo, solicitando ao Barão remeter os vencimentos da Ilha do Boi e da Fazenda Maruípe relativos aos meses de março e abril de 1891.",Felícia Carolina Accioli D'Azevedo,museusolarmonjardim_-_documentos-historicos,https://museusolarmonjardim.acervos.museus.gov.br/documentos-historicos/,31273
52,1678,Documentos Históricos,Política,Alice Proença Monjardim,09/03/1891,1891.0,Manuscrito,Carta,"17,9 x 11,2 cm","Carta de Elizeu Martins relatando os motivos da indicação do sr. Antonio Aguirre para governador, preterindo-se o nome do destinatário.",Elizeu Martins,museusolarmonjardim_-_documentos-historicos,https://museusolarmonjardim.acervos.museus.gov.br/documentos-historicos/,31273
53,1554,Documentos Históricos,Relato de acontecimentos no RJ,Alice Proença Monjardim,29/11/1889,1889.0,Manuscrito,Carta,"20,2 x 12,8 cm",Carta relatando acontecimentos e boatos existentes no RJ nos dias seguintes à Proclamação da República.,Rodrigues Horta,museusolarmonjardim_-_documentos-historicos,https://museusolarmonjardim.acervos.museus.gov.br/documentos-historicos/,31273
54,1609,Documentos Históricos,Movimento Republicano,Alice Proença Monjardim,20/11/1889,1889.0,Manuscrito,Carta,23 x 18 cm,Carta solicitando a definição do Barão de Monjardim perante o Movimento Republicano e assegurando que nem o missivista nem seus amigos do antigo partido liberal se submeterão à direção política do Major Virgilio.,Torquato R. Moreira,museusolarmonjardim_-_documentos-historicos,https://museusolarmonjardim.acervos.museus.gov.br/documentos-historicos/,31273
55,1680,Documentos Históricos,Cumprimentos pelo Título de Barão,Alice Proença Monjardim,07/11/1889,1889.0,Manuscrito,Carta,"28,6 x 21,6 cm",Carta de cumprimentos ao Barão de Monjardim pelo recebimento do título honorífico (Barão) por carta Imperial de 24 de agosto de 1889.,Francisco G. A. Jongnell,museusolarmonjardim_-_documentos-historicos,https://museusolarmonjardim.acervos.museus.gov.br/documentos-historicos/,31273
56,1645,Documentos Históricos,Nomeação do Barão de Monjardim,Alice Proença Monjardim,15/06/1889,1889.0,Manuscrito | Papel,Carta Imperial,"37,7 x 24,9 cm","Carta Imperial nomeando Alpheo Adelpho Monjardim de Andrade e Almeida para o cargo de primeiro vice-presidente da Provincia do Estado do Espírito Santo. Assinado pelo Imperador Pedro II, logo abaixo assinatura do Barão de Loreta. Apresenta marca d'água do",Secretaria do Império,museusolarmonjardim_-_documentos-historicos,https://museusolarmonjardim.acervos.museus.gov.br/documentos-historicos/,31273
57,1613,Documentos Históricos,Acusação de roubo,Alice Proença Monjardim,20/07/1874,1874.0,Manuscrito,Carta,"20,9 x 13,3 cm",Carta à Sebastião acusando-o e sua mulher de roubo. Apresentando um reconhecimnto de firma em30-01-1877.,Manoel Augusto da Silveira,museusolarmonjardim_-_documentos-historicos,https://museusolarmonjardim.acervos.museus.gov.br/documentos-historicos/,31273
58,1646,Documentos Históricos,Recebimento,Alice Proença Monjardim,15/04/1884,1884.0,Manuscrito,Carta,"21 x 13,6 cm",Carta remetendo conta do finado Coronel Monjardim no valor de 182$440.,Ilegível,museusolarmonjardim_-_documentos-historicos,https://museusolarmonjardim.acervos.museus.gov.br/documentos-historicos/,31273
59,1624,Documentos Históricos,Comunicação de débito,Alice Proença Monjardim,1884,1884.0,Manuscrito,Carta,"20,4 x 12,7 cm",Carta comunicando débito do finado Coronel Monjardim no valor de 135$680.,Ilegível,museusolarmonjardim_-_documentos-historicos,https://museusolarmonjardim.acervos.museus.gov.br/documentos-historicos/,31273
60,1647,Documentos Históricos,Nomeação do Barão de Monjardim,Alice Proença Monjardim,15/03/1884,1884.0,Manuscrito | Papel,Carta Imperial,"37,8 x 25,2 cm",Carta Imperial nomeando Alpheo Adelpho Monjardim de Andrade e Almeida para o cargo de primeiro vice-presidente da Provincia do Estado do Espírito Santo. Assinado pelo Imperador Pedro II. Apresenta marca d'água do Brasão Imperial no lado esquerdo superior.,Secretaria do Império,museusolarmonjardim_-_documentos-historicos,https://museusolarmonjardim.acervos.museus.gov.br/documentos-historicos/,31273
61,1611,Documentos Históricos,Comunicado de dívida,Alice Proença Monjardim,20/08/1882,1882.0,Manuscrito,Carta,"20,2 x 13 cm",Carta comunicando qua ainda não pode saldar a divida com o Sr. Alpheo Adelpho Monjardim.,Leonel Caetano da Silva,museusolarmonjardim_-_documentos-historicos,https://museusolarmonjardim.acervos.museus.gov.br/documentos-historicos/,31273
62,1671,Documentos Históricos,Comunicado de Falecimento,Alice Proença Monjardim,10/07/1882,1882.0,Manuscrito,Carta,"20,2 x 12,6 cm",Carta com comunicado de Falecimento do sr. Accioli e sugerindo os nomes do destinatário ou do Dr. Elizeu Martins para candidato à vaga de Deputado Geral aberta pelo finado.,Cansansão de Sinimbú,museusolarmonjardim_-_documentos-historicos,https://museusolarmonjardim.acervos.museus.gov.br/documentos-historicos/,31273
