,Número de registro,Denominação,Título,Autor,Classificação,Resumo descritivo,Dimensões,Material/Técnica,Data de produção,Local de produção,Estado de conservação,Condições de reprodução,ACERVO,URL,TAINACAN_COLECTION_ID
11,1982.16.238.8,Fotografia,Villa-Lobos regendo durante a sessão de gravação de ‘Floresta do Amazonas’,Não identificado,10 Comunicação > 10.1 Documento,,,Fotografia em preto e branco; papel,[195-],,Bom,,museuvillalobos_-_fotografias,https://museuvillalobos.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1570/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1570
12,1980.16.175.03,Fotografia,Villa-Lobos regendo durante a sessão de gravação de ‘Floresta do Amazonas’,Não identificado,10 Comunicação > 10.1 Documento,,,Fotografia em preto e branco; papel,1958,,Bom,,museuvillalobos_-_fotografias,https://museuvillalobos.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1570/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1570
13,1980.16.175.04,Fotografia,Villa-Lobos regendo durante a sessão de gravação de ‘Floresta do Amazonas’,Não identificado,10 Comunicação > 10.1 Documento,,,Fotografia em preto e branco; papel,1958,,Bom,,museuvillalobos_-_fotografias,https://museuvillalobos.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1570/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1570
14,1980.16.175.06,Fotografia,Villa-Lobos regendo durante a sessão de gravação de ‘Floresta do Amazonas’,Não identificado,10 Comunicação > 10.1 Documento,,,Fotografia em preto e branco; papel,1958,,Bom,,museuvillalobos_-_fotografias,https://museuvillalobos.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1570/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1570
15,1980.16.175.07,Fotografia,Villa-Lobos regendo durante a sessão de gravação de ‘Floresta do Amazonas’,Não identificado,10 Comunicação > 10.1 Documento,,,Fotografia em preto e branco; papel,1958,,Bom,,museuvillalobos_-_fotografias,https://museuvillalobos.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1570/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1570
16,1983.16.144.8,Fotografia,Villa-Lobos regendo durante a sessão de gravação de ‘Floresta do Amazonas’,Não identificado,10 Comunicação > 10.1 Documento,,,Fotografia em preto e branco; papel,1958,,Bom,,museuvillalobos_-_fotografias,https://museuvillalobos.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1570/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1570
17,1982.16.237,Fotografia,Villa-Lobos regendo durante a sessão de gravação de ‘Floresta do Amazonas’,Não identificado,10 Comunicação > 10.1 Documento,,,Fotografia em preto e branco; papel,1958,,Bom,,museuvillalobos_-_fotografias,https://museuvillalobos.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1570/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1570
18,1983.16.145.07,Fotografia,Villa-Lobos regendo durante a sessão de gravação de ‘Floresta do Amazonas’,Não identificado,10 Comunicação > 10.1 Documento,,,Fotografia em preto e branco; papel,1958,,Bom,,museuvillalobos_-_fotografias,https://museuvillalobos.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1570/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1570
19,1983.16.146.01,Fotografia,Villa-Lobos regendo durante a sessão de gravação de ‘Floresta do Amazonas’,Não identificado,10 Comunicação > 10.1 Documento,,,Fotografia em preto e branco; papel,1958,,Bom,,museuvillalobos_-_fotografias,https://museuvillalobos.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1570/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1570
20,1983.16.146.02,Fotografia,Villa-Lobos regendo durante a sessão de gravação de ‘Floresta do Amazonas’,Não identificado,10 Comunicação > 10.1 Documento,,,Fotografia em preto e branco; papel,1958,,Bom,,museuvillalobos_-_fotografias,https://museuvillalobos.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1570/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1570
21,1983.16.146.03,Fotografia,Villa-Lobos regendo durante a sessão de gravação de ‘Floresta do Amazonas’,Não identificado,10 Comunicação > 10.1 Documento,,,Fotografia em preto e branco; papel,1958,,Bom,,museuvillalobos_-_fotografias,https://museuvillalobos.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1570/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1570
22,1983.16.146.05,Fotografia,Villa-Lobos regendo durante a sessão de gravação de ‘Floresta do Amazonas’,Não identificado,10 Comunicação > 10.1 Documento,,,Fotografia em preto e branco; papel,1958,,Bom,,museuvillalobos_-_fotografias,https://museuvillalobos.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1570/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1570
23,1983.16.146.04,Fotografia,Villa-Lobos regendo durante a sessão de gravação de ‘Floresta do Amazonas’,Não identificado,10 Comunicação > 10.1 Documento,,,Fotografia em preto e branco; papel,1958,,Bom,,museuvillalobos_-_fotografias,https://museuvillalobos.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1570/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1570
24,1983.16.146.06,Fotografia,Villa-Lobos regendo durante a sessão de gravação de ‘Floresta do Amazonas’,Não identificado,10 Comunicação > 10.1 Documento,,,Fotografia em preto e branco; papel,1958,,Bom,,museuvillalobos_-_fotografias,https://museuvillalobos.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1570/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1570
25,1983.16.146.09,Fotografia,Villa-Lobos regendo durante a sessão de gravação de ‘Floresta do Amazonas’,Não identificado,10 Comunicação > 10.1 Documento,,,Fotografia em preto e branco; papel,1958,,Bom,,museuvillalobos_-_fotografias,https://museuvillalobos.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1570/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1570
26,1983.16.146.10,Fotografia,Villa-Lobos regendo durante a sessão de gravação de ‘Floresta do Amazonas’,Não identificado,10 Comunicação > 10.1 Documento,,,Fotografia em preto e branco; papel,1958,,Bom,,museuvillalobos_-_fotografias,https://museuvillalobos.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1570/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1570
27,1983.16.146.13,Fotografia,Villa-Lobos regendo durante a sessão de gravação de ‘Floresta do Amazonas’,Não identificado,10 Comunicação > 10.1 Documento,,,Fotografia em preto e branco; papel,1958,,Bom,,museuvillalobos_-_fotografias,https://museuvillalobos.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1570/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1570
28,1983.16.146.14,Fotografia,Villa-Lobos regendo durante a sessão de gravação de ‘Floresta do Amazonas’,Não identificado,10 Comunicação > 10.1 Documento,,,Fotografia em preto e branco; papel,1958,,Bom,,museuvillalobos_-_fotografias,https://museuvillalobos.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1570/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1570
29,1983.16.146.15,Fotografia,Villa-Lobos regendo durante a sessão de gravação de ‘Floresta do Amazonas’,Não identificado,10 Comunicação > 10.1 Documento,,,Fotografia em preto e branco; papel,1958,,Bom,,museuvillalobos_-_fotografias,https://museuvillalobos.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1570/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1570
30,1983.16.146.17,Fotografia,Villa-Lobos regendo durante a sessão de gravação de ‘Floresta do Amazonas’,Não identificado,10 Comunicação > 10.1 Documento,,,Fotografia em preto e branco; papel,1958,,Bom,,museuvillalobos_-_fotografias,https://museuvillalobos.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1570/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1570
31,1983.16.146.16,Fotografia,Villa-Lobos regendo durante a sessão de gravação de ‘Floresta do Amazonas’,Não identificado,10 Comunicação > 10.1 Documento,,,Fotografia em preto e branco; papel,1958,,Bom,,museuvillalobos_-_fotografias,https://museuvillalobos.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1570/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1570
32,1983.16.146.18,Fotografia,Villa-Lobos regendo durante a sessão de gravação de ‘Floresta do Amazonas’,Não identificado,10 Comunicação > 10.1 Documento,,,Fotografia em preto e branco; papel,1958,,Bom,,museuvillalobos_-_fotografias,https://museuvillalobos.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1570/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1570
33,1983.16.146.20,Fotografia,Villa-Lobos regendo durante a sessão de gravação de ‘Floresta do Amazonas’,Não identificado,10 Comunicação > 10.1 Documento,,,Fotografia em preto e branco; papel,1958,,Bom,,museuvillalobos_-_fotografias,https://museuvillalobos.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1570/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1570
34,1983.16.146.21,Fotografia,Villa-Lobos regendo durante a sessão de gravação de ‘Floresta do Amazonas’,Não identificado,10 Comunicação > 10.1 Documento,,,Fotografia em preto e branco; papel,1958,,Bom,,museuvillalobos_-_fotografias,https://museuvillalobos.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1570/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1570
35,1983.16.146.24,Fotografia,Detalhe da orquestra Symphony of the Air durante a sessão de gravação de ‘Floresta do Amazonas’,Não identificado,10 Comunicação > 10.1 Documento,,,Fotografia em preto e branco; papel,1958,,Bom,,museuvillalobos_-_fotografias,https://museuvillalobos.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1570/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1570
36,1983.16.146.25,Fotografia,Detalhe da orquestra Symphony of the Air durante a sessão de gravação de ‘Floresta do Amazonas’,Não identificado,10 Comunicação > 10.1 Documento,,,Fotografia em preto e branco; papel,1958,,Bom,,museuvillalobos_-_fotografias,https://museuvillalobos.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1570/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1570
37,2006.16.07,Fotografia,Pablo Casals,Não identificado,10 Comunicação > 10.1 Documento,,,Fotografia em preto e branco; papel,1959,,Bom,,museuvillalobos_-_fotografias,https://museuvillalobos.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1570/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1570
38,2006.16.01,Fotografia,"Villa-Lobos e Arminda (sentados ao centro), Otávio Vieira Brandão e Lorenzo Fernandes (de pé, atrás de VL) entre outros não identificados",Não identificado,10 Comunicação > 10.1 Documento,,,Fotografia em preto e branco; papel,,,Ruim,,museuvillalobos_-_fotografias,https://museuvillalobos.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1570/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1570
39,2006.16.05,Fotografia,"Da esquerda para direita: Dora Vasconcelos (1ª), [Asdrúbal Lima (2°)], Olga Praguer Coelho (3ª), não identificado, Villa-Lobos(5ª), Arminda (6ª)",Não identificado,10 Comunicação > 10.1 Documento,,,Fotografia em preto e branco; papel,,,Regular,,museuvillalobos_-_fotografias,https://museuvillalobos.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1570/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1570
40,2006.16.06,Fotografia,"Villa-Lobos , entre outros não identificados",Não identificado,10 Comunicação > 10.1 Documento,,,Fotografia em preto e branco; papel,,,Regular,,museuvillalobos_-_fotografias,https://museuvillalobos.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1570/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1570
41,2006.16.02,Fotografia,"Foto bipartida. Acima: Villa-Lobos, de pé, à esquerda e Arminda sentada à mesa entre outros não identificados",Não identificado,10 Comunicação > 10.1 Documento,,,Fotografia em preto e branco; papel,,,Regular,,museuvillalobos_-_fotografias,https://museuvillalobos.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1570/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1570
42,2006.16.03,Fotografia,Villa-Lobos e Arminda sentados entre outros não identificados. Palácio Gustavo Capanema,Não identificado,10 Comunicação > 10.1 Documento,,,Fotografia em preto e branco; papel,,,Regular,,museuvillalobos_-_fotografias,https://museuvillalobos.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1570/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1570
43,2006.16.04,Fotografia,"Lorenzo Fernandez (ao centro de terno claro), Otávio Vieira Brandão e José Vieira Brandão (atrás de Lorenzo), Asdrúbal Lima, entre outros não identificados",Não identificado,10 Comunicação > 10.1 Documento,,,Fotografia em preto e branco; papel,,,Regular,,museuvillalobos_-_fotografias,https://museuvillalobos.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1570/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1570
44,1977.16.001,Fotografia,Villa-Lobos aos 21 anos,Não identificado,10 Comunicação > 10.1 Documento,Com a dedicatória “À sua irmã querida off. Heitor Villa-Lobos. 11/908”,,Fotografia em preto e branco; papel,Novembro de 1908,Brasil,Bom,,museuvillalobos_-_fotografias,https://museuvillalobos.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1570/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1570
45,2004.16.107,Fotografia,"Juca Guimarães, irmão de Lucília Villa-Lobos",Não identificado,10 Comunicação > 10.1 Documento,"Juca Guimarães, irmão de Lucília. No verso, manuscrito “tirado em 7 de [Julio] de 1911”.",,Fotografia em preto e branco; papel,07/07/1911,Brasil,Ruim,,museuvillalobos_-_fotografias,https://museuvillalobos.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1570/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1570
46,2004.16.105,Fotografia,"Juca Guimarães, irmão de Lucília Villa-Lobos",Não identificado,10 Comunicação > 10.1 Documento,Com a dedicatória no verso “A minha boa mãezinha uma lembramça do seu filho Juca. 23-10-1912”.,,Fotografia em preto e branco; papel,23/10/1912,Brasil,Bom,,museuvillalobos_-_fotografias,https://museuvillalobos.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1570/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1570
47,2004.16.131,Fotografia,"Oscar Guimarães, irmão de Lucilia",Não identificado,10 Comunicação > 10.1 Documento,,,Fotografia em preto e branco; papel,06/12/1917,,Regular,,museuvillalobos_-_fotografias,https://museuvillalobos.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1570/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1570
48,1982.16.114,Fotografia,Villa-lobos e outros no Theatro Municipal do Rio de Janeiro,Não identificado,10 Comunicação > 10.1 Documento,"Da dir. para esq.: Pery Machado, Orlando Frederico, Nascimento Filho, Fructuoso Lima Viana, Newton Pádua e Mário Ronchini e Villa-Lobos. Foto publicada na revista “Fon-Fon” de 22/11/1919. Arquivo da Ed. Brasil-América. Rio, 1919.",,Fotografia em preto e branco; papel,12/11/1919,Brasil > Rio de Janeiro,Bom,,museuvillalobos_-_fotografias,https://museuvillalobos.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1570/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1570
49,1980.16.006,Fotografia,Arthur Rubinstein,Não identificado,10 Comunicação > 10.1 Documento,Com a dedicatória “Au grand genie et à l’amis Villa-Lobos son ferent admitateur. . Rio-22 juin-1920”.,,Fotografia em preto e branco; papel,22/06/1920,,Ruim,,museuvillalobos_-_fotografias,https://museuvillalobos.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1570/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1570
50,1984.16.085,Fotografia,Villa-Lobos,Não identificado,10 Comunicação > 10.1 Documento,"Com a dedicatória: “Ao bello talento do amigo intérprete dos meus espíritos musicais, lembra o Villa-Lobos. À Fructuoso Viana. Rio, 27/8/921”.",,Fotografia em preto e branco; papel,27/08/1921,,Bom,,museuvillalobos_-_fotografias,https://museuvillalobos.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1570/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1570
51,1977.16.037,Fotografia,Adolph Bolm fantasiado de Pierrô,Não identificado,10 Comunicação > 10.1 Documento,Com a dedicatória: “A H. Villa - Lobos avec profunde admiracion et reconaissence pour les heures de musique delicieuse a Rio de Janeiro. Adolph Boln. 20 Septiembre 1921”.,,Fotografia em preto e branco; papel,20/09/1921,,Ruim,,museuvillalobos_-_fotografias,https://museuvillalobos.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1570/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1570
52,1977.16.003,Fotografia,Ronald de Carvalho,Não identificado,10 Comunicação > 10.1 Documento,"Com a dedicatória manuscrita na frente: “A Villa-Lobos, creador de Belleza. /Rio, nov. 921”",,Fotografia em preto e branco; papel,Novembro de 1921,Brasil > Rio de Janeiro,Bom,,museuvillalobos_-_fotografias,https://museuvillalobos.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1570/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1570
53,1977.16.004,Fotografia,Graça Aranha,Não identificado,10 Comunicação > 10.1 Documento,Com a dedicatória “Ao meu querido e genial Villa-Lobos. 30 de junho 1923. ”,,Fotografia em preto e branco; papel,30/06/1923,,Regular,,museuvillalobos_-_fotografias,https://museuvillalobos.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1570/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1570
54,2004.16.135,Fotografia,"Kylza, filha de Juca irmão de Lucilia",Não identificado,10 Comunicação > 10.1 Documento,"Com a dedicatória no verso “A minha querida vovó Noemia [Noêmia] com muitos beijinhos offerece a netinha Kylzita. Rio, 11-4-924”.",,Fotografia em preto e branco; papel,11/04/1924,,Regular,,museuvillalobos_-_fotografias,https://museuvillalobos.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1570/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1570
55,2002.16.153,Fotografia,"Postal com a dedicatória no verso “Salve 12-5-924. Offerecemos os nossos priminhos o nosso retrato da nossa folia de carnaval! Saudades de Ruth, Alberto, Edith, Aldemar, Hermenegildo”",Não identificado,10 Comunicação > 10.1 Documento,"Com a dedicatória no verso “Salve 12-5-924. Offerecemos os nossos priminhos o nosso retrato da nossa folia de carnaval! Saudades de Ruth, Alberto, Edith, Aldemar, Hermenegildo” e do lado do endereçamento “Sra. Hermenegilda Neves d’Almeida. Estação de Ramos. Leopoldina”.",,Fotografia em preto e branco; papel,12/05/1924,,Bom,,museuvillalobos_-_fotografias,https://museuvillalobos.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1570/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1570
56,1980.16.004,Fotografia,Villa-Lobos,Não identificado,10 Comunicação > 10.1 Documento,"No verso, dedicatória “Suíssa, 7/924. À minha mãe”.",,Fotografia em preto e branco; papel,Julho de 1924,Suíça > Não definido,Ruim,,museuvillalobos_-_fotografias,https://museuvillalobos.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1570/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1570
57,1987.16.015,Fotografia,"Villa-Lobos, de chapéu",Não identificado,10 Comunicação > 10.1 Documento,"Com a dedicatória: “Ao amigo Tapajós. Villa-Lobos. Rio, 20/3/1925”.",,Fotografia em preto e branco; papel,20/03/1925,,Bom,,museuvillalobos_-_fotografias,https://museuvillalobos.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1570/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1570
58,1982.16.036,Fotografia,Villa-Lobos,Não identificado,10 Comunicação > 10.1 Documento,"Com a dedicatória “Ao maestro Felippo Alessio Diretor da Associação da O.L.N., lembrança grata de Villa-Lobos. S. Paulo, 23/3/925”.",,Fotografia em preto e branco; papel,23/03/1925,,Bom,,museuvillalobos_-_fotografias,https://museuvillalobos.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1570/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1570
59,2004.16.110,Fotografia,"Lucília Guimarães Villa-Lobos, jovem",Não identificado,10 Comunicação > 10.1 Documento,Com a dedicatória “Aos queridos cunhados e amigos Bilita e Danton. Lembrança de Lucilia. Rio 8-8-926”.,,Fotografia em preto e branco; papel,08/08/1926,,Regular,,museuvillalobos_-_fotografias,https://museuvillalobos.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1570/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1570
60,2004.16.136,Fotografia,"Álvaro Guimarães, irmão de Lucilia, na formatura de medicina",Não identificado,10 Comunicação > 10.1 Documento,"Com a dedicatória “A D. Noemia [Noêmia] com muito respeito e amizade. Álvaro. Rio, 8-II-926”.",,Fotografia em preto e branco; papel,08/11/1926,,Regular,,museuvillalobos_-_fotografias,https://museuvillalobos.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1570/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1570
