,Número de registro,Denominação,Título,Autor,Classificação,Resumo descritivo,Dimensões - altura,Dimensões - largura,Dimensões - profundidade/comprimento,Dimensões - diâmetro,Dimensões - peso,Material/Técnica,Local de produção,Data de produção,ACERVO,URL,TAINACAN_COLECTION_ID
16,285,Umbela processional,,Não identificado,09 Objetos Cerimoniais > 09.3 Objeto de Culto,"Umbela com haste cilíndrica, com elemento periforme torneado ao centro, móvel e outro na parte superior, fixo, onde se prendem 10 barbatanas de seção retangular, articuladas ao meio. Arremate superior da haste em pináculo. Revestimento muito danificado, em tecido de cor rosa pálido, com forro amarelo ouro.","200,0",,,"201,0",,costura | madeira | recorte | torneado tecido,Brasil > Minas Gerais,Século XVIII/XIX,museuregionaldecaete_-_acervo,https://museuregionaldecaete.acervos.museus.gov.br/wp-json/tainacan/v2/collection/848/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,848
17,284,Umbela processional,,Não identificado,09 Objetos Cerimoniais > 09.3 Objeto de Culto,"Umbela desmontada e incompleta, com haste cilíndrica, com elemento periforme torneado ao centro e outro (muito acabado) na parte superior, onde se prendem 12 barbatanas de seção retangular, articuladas ao meio.","192,0",,,,,madeira | recorte | torneado,Brasil > Minas Gerais,Século XVIII/XIX,museuregionaldecaete_-_acervo,https://museuregionaldecaete.acervos.museus.gov.br/wp-json/tainacan/v2/collection/848/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,848
18,282,Armário,,Não identificado,05 Interiores > 05.5 Peça de Mobiliário,"Armário entalhado em um tronco inteiriço de árvore, de formato cilíndrico, com a frente chanfrada em três partes, de molduradas e almofadas (só nos chanfros laterais). Porta central presa por duas dobradiças de ferro. Possui um escavado circular com furo quadrado na lateral direita e um furo circular na lateral esquerda.","178,0"," 92,0 ","83,0",,,entalhe ferro | fundição | madeira,Brasil > Minas Gerais,Século XVIII/XIX,museuregionaldecaete_-_acervo,https://museuregionaldecaete.acervos.museus.gov.br/wp-json/tainacan/v2/collection/848/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,848
19,273,Oratório,,Não identificado,05 Interiores > 05.5 Peça de Mobiliário,"Oratório retangular vertical, de base larga e emoldurada. Centro com porta de duas folhas, em almofadas rasas, reentrantes, com tramela ao centro. Cimalha larga superior, com recorte ondulado por baixo. Arremate em frontão curvo, delimitado por frisos terminados em volutas, com interior em triangulo de estrias curvas.","98,0"," 66,0 ","17,0",,,entalhe | ferro | fundição | madeira | recorte,Brasil > Minas Gerais,Século XIX,museuregionaldecaete_-_acervo,https://museuregionaldecaete.acervos.museus.gov.br/wp-json/tainacan/v2/collection/848/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,848
20,270,Estandarte de procissão,,Não identificado,08 Insígnias,"Estandarte recortado em forma de um coração vermelho, com chamas amarelas na parte superior; uma das faces com a inscrição “FIDES”. Cabo comprido, de seção cilíndrica.","14,0 (sem o cabo)"," 11,5 ",,,,madeira | pintura | recorte | tinta,Brasil > Minas Gerais,Século XVIII,museuregionaldecaete_-_acervo,https://museuregionaldecaete.acervos.museus.gov.br/wp-json/tainacan/v2/collection/848/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,848
21,269,Estandarte de procissão,,Não identificado,08 Insígnias,"Estandarte recortado em forma de flor, com pintura nas duas faces: de um lado, ramo com três rosas vermelhas, de fundo azul com contorno em friso vermelho; do outro, desenho de nuvens com dois raios acompanhadas da inscrição “VENI CORON/ ABE....S”, de fundo branco com contorno em azul. Cabo comprido, de seção cilíndrica.","20,0 (sem o cabo)"," 12,0 ",,,,madeira | pintura | recorte | tinta,Brasil > Minas Gerais,Século XVIII,museuregionaldecaete_-_acervo,https://museuregionaldecaete.acervos.museus.gov.br/wp-json/tainacan/v2/collection/848/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,848
22,267,Estandarte de procissão,,Não identificado,08 Insígnias,"Estandarte recortado em forma de flor, com pintura nas duas faces: de um lado, duas rosas vermelhas e flores miúdas, com contorno em friso vermelho; do outro, uma corrente acompanhada da inscrição “VENI / PULCRA”, de fundo branco com contorno em azul. Cabo comprido, de seção cilíndrica.","20,0 (sem o cabo)"," 12,0 ",,,,madeira | pintura | recorte | tinta,Brasil > Minas Gerais,Século XVIII,museuregionaldecaete_-_acervo,https://museuregionaldecaete.acervos.museus.gov.br/wp-json/tainacan/v2/collection/848/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,848
23,266,Estandarte de procissão,,Não identificado,08 Insígnias,"Estandarte recortado em forma de flor, com pintura nas duas faces: de um lado, ramo com três rosas vermelhas, de fundo azul com contorno em friso azul mais escuro; do outro, uma coluna cinza acompanhada da inscrição “PULCRA/TOTA”, de fundo branco com contorno em azul. Cabo comprido, de seção cilíndrica.","19,5 (sem o cabo)"," 14,0 ",,,,madeira | pintura | recorte | tinta,Brasil > Minas Gerais,Século XVIII,museuregionaldecaete_-_acervo,https://museuregionaldecaete.acervos.museus.gov.br/wp-json/tainacan/v2/collection/848/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,848
24,265,Estandarte de procissão,,Não identificado,08 Insígnias,"Estandarte recortado em forma de flor, com pintura nas duas faces: de um lado, um ramo com duas rosas vermelhas, sobre fundo azul, com contorno vermelho; do outro, uma espada acompanhada da inscrição “SPON. SUM A/UDIS UOCE C/ LARRA”, sobre fundo branco, com contorno em vermelho, com ramos na parte inferior. Cabo comprido, de seção cilíndrica.","29,0 (sem o cabo)"," 18,0 ","0,8",,,madeira | pintura | recorte | tinta,Brasil > Minas Gerais,Século XVIII,museuregionaldecaete_-_acervo,https://museuregionaldecaete.acervos.museus.gov.br/wp-json/tainacan/v2/collection/848/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,848
25,264,Estandarte de procissão,,Não identificado,08 Insígnias,"Estandarte recortado em forma de flor, com pintura nas duas faces: de um lado, um ramo com duas rosas vermelhas, sobre fundo azul (incompleta); do outro, uma torre acompanhada da inscrição “CASTI/TATIS LILI/UM?”, sobre fundo branco, com contorno em vermelho, com ramos na parte inferior. Cabo comprido, de seção cilíndrica.","29,0 (sem o cabo)"," 17,5 ",,,,madeira | pintura | recorte | tinta,Brasil > Minas Gerais,Século XVIII,museuregionaldecaete_-_acervo,https://museuregionaldecaete.acervos.museus.gov.br/wp-json/tainacan/v2/collection/848/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,848
26,263,Estandarte de procissão,,Não identificado,08 Insígnias,"Estandarte recortado em forma de flor, com pintura nas duas faces: de um lado, pintura de flores já bem apagada; do outro, um objeto não identificável, também já apagado, acompanhado da inscrição “VENI PUL/ CRA”, com ramos na parte inferior. Cabo comprido, de seção cilíndrica.","20,0 (sem o cabo)"," 14,0 ",,,,madeira | pintura | recorte | tinta,Brasil > Minas Gerais,Século XVIII,museuregionaldecaete_-_acervo,https://museuregionaldecaete.acervos.museus.gov.br/wp-json/tainacan/v2/collection/848/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,848
27,261,Estandarte de procissão,,Não identificado,08 Insígnias,"Estandarte recortado em forma de flor, com pintura nas duas faces: de um lado, um ramo com rosas vermelhas, sobre fundo azul com contorno azul; do outro, a metade de uma espécie de diadema acompanhado da inscrição ““BARB..../.....BEATA”, sobre fundo branco, com contorno em vermelho, com ramos na parte inferior. Cabo comprido, de seção cilíndrica.","20,0 (sem o cabo)"," 8,5 ",,,,madeira | pintura | recorte | tinta,Brasil > Minas Gerais,Século XVIII,museuregionaldecaete_-_acervo,https://museuregionaldecaete.acervos.museus.gov.br/wp-json/tainacan/v2/collection/848/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,848
28,260,Balaústre,,Não identificado,04 Construção > 04.4 Fragmento de Construção,"Balaústre cilíndrico, com a parte superior e a inferior em nós esféricos.","57,0",,,"8,5",,madeira | pintura | tinta | torneado,Brasil > Minas Gerais,Século XVIII/XIX,museuregionaldecaete_-_acervo,https://museuregionaldecaete.acervos.museus.gov.br/wp-json/tainacan/v2/collection/848/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,848
29,259,Castiçal,,Não identificado,05 Interiores > 05.4 Objeto de Iluminação,"Castiçal em recortes curvos, pintado de verde, com a coluna em forma de um esse, com volutas nos extremos, folhas nas laterais e uma flor de cinco pétalas e miolo quadriculado, ao meio.","55,0"," 19,0 ","4,0",,,entalhe | madeira | pintura | tinta,Brasil > Minas Gerais,Século XIX,museuregionaldecaete_-_acervo,https://museuregionaldecaete.acervos.museus.gov.br/wp-json/tainacan/v2/collection/848/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,848
30,258,Balaústre,,Não identificado,04 Construção > 04.4 Fragmento de Construção,"Balaústre cilíndrico, com a parte superior e a inferior em nós esféricos.","62,0",,,"8,5",,madeira | torneado,Brasil > Minas Gerais,Século XVIII/XIX,museuregionaldecaete_-_acervo,https://museuregionaldecaete.acervos.museus.gov.br/wp-json/tainacan/v2/collection/848/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,848
31,257,Cruz processional,,Não identificado,09 Objetos Cerimoniais > 09.3 Objeto de Culto,"Cruz de traves torneadas em nós, frisos e bolachas, com elemento cúbico ao centro, na junção das traves.","63,0",,,"15,0",,madeira | torneado,Brasil > Minas Gerais,Século XVIII,museuregionaldecaete_-_acervo,https://museuregionaldecaete.acervos.museus.gov.br/wp-json/tainacan/v2/collection/848/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,848
32,256,Oratório,,Não identificado,05 Interiores > 05.5 Peça de Mobiliário,"Oratório retangular vertical, do tipo vitrine, em três faces separadas por colunas cilíndricas, com friso dourado ao meio e cartela de cês convergentes em dourado na parte inferior. quatro pés curvos (falta o posterior direito), em cês e volutas douradas. Registro inferior com as bocas delimitadas por frisos dourados, com quebras em volutas ao meio e na parte inferior. Parte central com as bocas também delimitadas por frisos dourados, com as mesmas quebras. Arremate superior em três palmetas com lingüetas em dourado. Interior da parte central com cruz latina marmorizada de verde, com título com parte da inscrição “IN...”; três peanhas pentagonais e vermelhas ao pé da cruz e outra peanha de mesmo feitio ao fundo, à esquerda. Pintura interna em motivos florais. Pintura externa em preto e vermelho, com resquícios de douramento. Tem o tampo superior ligeiramente arqueado.","63,5"," 31,5 ","15,0",,,douramento | entalhe | madeira | ouro | policromia | tinta,Brasil > Minas Gerais,Século XVIII,museuregionaldecaete_-_acervo,https://museuregionaldecaete.acervos.museus.gov.br/wp-json/tainacan/v2/collection/848/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,848
33,255,Candeia,,Não identificado,05 Interiores > 05.4 Objeto de Iluminação,"Candeia de bojo circular, com bico, e haste curva posterior, com recorte serrilhado por baixo.","12,0"," 9,3 ","9,0",,,ferro | fundição,Brasil > Minas Gerais,Século XVIII,museuregionaldecaete_-_acervo,https://museuregionaldecaete.acervos.museus.gov.br/wp-json/tainacan/v2/collection/848/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,848
34,254,Chave (de sepultura),,Não identificado,04 Construção > 04.4 Fragmento de Construção,"Chave de haste cilíndrica, com dente transversal inferior e alça circular superior.",," 8,0 ",,,,ferro | fundição,Brasil > Minas Gerais,Século XVIII,museuregionaldecaete_-_acervo,https://museuregionaldecaete.acervos.museus.gov.br/wp-json/tainacan/v2/collection/848/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,848
35,253,Ferro,,Não identificado,16 Amostras/Fragmentos,Haste terminada em uma alça curva.,," 8,0 ",,,,ferro | fundição,Brasil > Minas Gerais,Século XVIII/XIX,museuregionaldecaete_-_acervo,https://museuregionaldecaete.acervos.museus.gov.br/wp-json/tainacan/v2/collection/848/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,848
36,250,Castiçal,,Não identificado,05 Interiores > 05.4 Objeto de Iluminação,"Castiçal em recortes curvos, pintado de verde, com os pés formados por cês e volutas; coluna em forma de um esse, com volutas nos extremos, folhas nas laterais e uma flor de cinco pétalas e miolo quadriculado, ao meio.","55,0"," 19,0 ","4,0",,,entalhe | madeira | pintura | tinta,Brasil > Minas Gerais,Século XIX,museuregionaldecaete_-_acervo,https://museuregionaldecaete.acervos.museus.gov.br/wp-json/tainacan/v2/collection/848/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,848
37,248,Escultura religiosa,Cabeça de Apóstolo,Não identificado,02 Artes Visuais/Cinematográfica > 02.3 Escultura,"Cabeça de figura de homem, sem o rosto, mas com a barba e os cabelos.","16,5"," 12,0 ","11,0",,,cera | cordão | costura | modelagem | tecido,Brasil > Minas Gerais,Século XVIII/XIX,museuregionaldecaete_-_acervo,https://museuregionaldecaete.acervos.museus.gov.br/wp-json/tainacan/v2/collection/848/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,848
38,245,Escultura religiosa,Cabeça de Apóstolo,Não identificado,02 Artes Visuais/Cinematográfica > 02.3 Escultura,"Cabeça de figura de homem, de meia-idade, de bigode e barba, e cabelos marrons, curtos.","16,5"," 10,5 ","12,5",,,cera | cordão | costura | modelagem | tecido,Brasil > Minas Gerais,Século XVIII/XIX,museuregionaldecaete_-_acervo,https://museuregionaldecaete.acervos.museus.gov.br/wp-json/tainacan/v2/collection/848/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,848
39,244,Escultura religiosa,Cabeça de Apóstolo,Não identificado,02 Artes Visuais/Cinematográfica > 02.3 Escultura,"Cabeça de figura de homem, idoso, de bigode e barba; cabelos marrons, curtos.","18,5"," 9,0 ","14,0",,,cera | cordão | costura | modelagem | tecido,Brasil > Minas Gerais,Século XVIII/XIX,museuregionaldecaete_-_acervo,https://museuregionaldecaete.acervos.museus.gov.br/wp-json/tainacan/v2/collection/848/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,848
40,243,Escultura religiosa,Cabeça de Apóstolo,Não identificado,02 Artes Visuais/Cinematográfica > 02.3 Escultura,"Cabeça de figura de homem, idoso, de bigode e barba ampla, e cabelos marrons, curtos.","17,0"," 13,0 ","13,0",,,cera | cordão | costura | modelagem | tecido,Brasil > Minas Gerais,Século XVIII/XIX,museuregionaldecaete_-_acervo,https://museuregionaldecaete.acervos.museus.gov.br/wp-json/tainacan/v2/collection/848/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,848
