,Número de registro,Denominação,Título,Classificação,Local de produção,Data de produção,Autor,Material/Técnica,Dimensões,Resumo descritivo,Condições de reprodução,Mídias relacionadas,ACERVO,URL,TAINACAN_COLECTION_ID
10,78,Catre,,05 Interiores > 05.5 Peça de Mobiliário,Brasil | Minas Gerais,Século XVIII - 2ª metade,Não identificado,couro | entalhe | madeira | pintura | recorte | tinta | torneado,"Altura (cm): 156,5 Largura (cm): 106,0 Comprimento (cm): 201,0 Profundidade (cm): Diâmetro (cm): Peso (g): Circunferência (cm):","Catre de cabeceira recortada em curvas e contra-curvas, com contorno ressaltado em cês, esses e angras com volutas, e arremate inferior em concheado. Centro com pintura em azul e cena representando a figura de um anjo adulto, de barba, com as asas abertas, deitado sobre um travesseiro vermelho, sobre as nuvens; cercadura da cena em ramos com flores e fundo em confetes brancos. Laterais da cabeceira em colunas torneadas arrematadas por carrapetas e a parte inferior vazada em gradil com cinco grades torneadas. Pé em gradil de traves retas e lisas,e cinco grades torneadas, com as laterais em colunas iguais às da cabeceira, porém mais baixas. Pernas grossas, torneadas. Leito forrado em couro cru.","Domínio público, ver http://museudoouro.acervos.museus.gov.br/reproducao-de-imagens-do-acervo/",,museudoouro_-_acervo,https://museudoouro.acervos.museus.gov.br/wp-json/tainacan/v2/collection/3583/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,3583
11,82,Armário,,05 Interiores > 05.5 Peça de Mobiliário,Brasil | Minas Gerais,Século XVIII,Não identificado,fundição | madeira | metal | recorte,"Altura (cm): 149,5 Largura (cm): 69,5 Comprimento (cm): Profundidade (cm): 36,0 Diâmetro (cm): Peso (g): Circunferência (cm):","Armário com porta de duas folhas, cada qual com duas almofadas altas, em ponta de diamante, sem fechadura, apenas com tramela superior. Laterais terminadas em pés recortados em dois “esses” divergentes, com vazado cordiforme ao meio. Cimalha superior escalonada em frisos. Interior dividido em três compartimentos, por duas prateleiras horizontais.","Domínio público, ver http://museudoouro.acervos.museus.gov.br/reproducao-de-imagens-do-acervo/",,museudoouro_-_acervo,https://museudoouro.acervos.museus.gov.br/wp-json/tainacan/v2/collection/3583/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,3583
12,98,Canapé,,05 Interiores > 05.5 Peça de Mobiliário,[Brasil],Século XIX,Não identificado,madeira | marcenaria | palhinha,"Altura (cm): 83,5 Largura (cm): 63,5 Comprimento (cm): 250,0 Profundidade (cm): Diâmetro (cm): Peso (g): Circunferência (cm):","Canapé retangular, com pernas recurvadas para fora; pés em garra de animal; saia da frente reta, frisada, com flor retangular junto à saída das pernas; assento revestido por palhinha; possui um braço alto, recurvado para fora, onde termina em travessa torneada; e no centro, losangulos e revestimento de palhinha; no outro extremo, um braço mais baixo, enrolado para dentro, com pontas terminadas em flores, ligadas por travessa torneada; centro com losangulos; encosto de fundo, que se projeta até a metade do assento, onde termina em voluta, revestido por palhinha.","Domínio público, ver http://museudoouro.acervos.museus.gov.br/reproducao-de-imagens-do-acervo/",,museudoouro_-_acervo,https://museudoouro.acervos.museus.gov.br/wp-json/tainacan/v2/collection/3583/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,3583
13,109,Mesa,,05 Interiores > 05.5 Peça de Mobiliário,Brasil | Minas Gerais,Século XVIII,Não identificado,madeira | marcenaria,"Altura (cm): 89,0 Largura (cm):70,5 Comprimento (cm): 123,0 Profundidade (cm): Diâmetro (cm): Peso (g): Circunferência (cm):","Mesa de tampo retangular, com borda emoldurada; caixa reta, almofadada, com consolos nos cantos e meio; frente com duas gavetas almofadadas, com par de puxadores torneados; e marca de fechadura na gaveta da direita; pernas torneadas, com elemento quadrangular na parte superior; parte central lisa; parte inferior em torcido, terminado em nó esférico, onde se fixam as travessas da amarração, também torneadas; pés cilíndricos, terminados em bolachas. Com um segredo interno, no fundo da gaveta direita.","Domínio público, ver http://museudoouro.acervos.museus.gov.br/reproducao-de-imagens-do-acervo/",,museudoouro_-_acervo,https://museudoouro.acervos.museus.gov.br/wp-json/tainacan/v2/collection/3583/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,3583
14,110,Leito de Dossel,,05 Interiores > 05.5 Peça de Mobiliário,Brasil | Minas Gerais,Século XVIII,Não identificado,madeira recortada | metal | torneado,"Altura (cm): 240,0 Largura (cm): 164,0 Comprimento (cm): 227,0 Profundidade (cm): Diâmetro (cm): Peso (g): Circunferência (cm):","Leito retangular, de pernas retas, torneadas em discos e bolachas, com pés em bolacha; varais retos e lisos, as bordas frisadas, fixados por parafusos de cabeças cúbicas com recorte em flor; estrados em madeira lisa, apoiados sobre três traves longitudinais; Cabeceira em colunas retas, torneadas em bolachas, discos e frisos, com nó periforme ao meio; centro em dois gradis, separados por travessa emoldurada, com grades torneadas, intercaladas por pináculos em forma de bilros; arremate superior em recortes curvos, com centro decorado em relevo de seqüência de losangulos com flores por baixo e cartelas ovais, envolvidas por cês, acantos, volutas e flores, ao alto; Peseira com gradil semelhante ao da cabeceira, também com travessa emoldurada e colunas nas quinas; Tanto uma quanto a outra tem suas colunas continuadas por outras colunas, que ali se encaixam, também torneadas, com grande bolacha inferior , seguido de nós e discos; ponta afinada, terminada em um espeto de ferro, onde se encaixam os varais (4) que sustentam o dossel.","Domínio público, ver http://museudoouro.acervos.museus.gov.br/reproducao-de-imagens-do-acervo/",,museudoouro_-_acervo,https://museudoouro.acervos.museus.gov.br/wp-json/tainacan/v2/collection/3583/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,3583
15,111,Armário,,05 Interiores > 05.5 Peça de Mobiliário,Brasil | Minas Gerais,Século XVIII,Não identificado,madeira | marcenaria | metal,"Altura (cm): 220,0 Largura (cm): 128,0 Comprimento (cm): Profundidade (cm): 47,0 Diâmetro (cm): Peso (g): Circunferência (cm):","Armário retangular, com a parte superior arrematada por cimalha larga, emoldurada, com ressaltos nas quinas, arrematadas por arrecadas de recorte curvo, que descem pelas quinas, inclusive das laterais; frente com porta de duas folhas, cada uma com três almofadas emolduradas e salientes, com o entorno chanfrado; com fechadura de espelho losangular. A parte inferior em recortes curvos, formando desenho de volutas e bifólios; laterais lisas, terminadas inferiormente em recortes de semi-círculo apontado, formando os pés. Interior dividido em cinco compartimentos por quatro prateleiras. A cimalha da frente é removível, formando um compartimento secreto.","Domínio público, ver http://museudoouro.acervos.museus.gov.br/reproducao-de-imagens-do-acervo/",,museudoouro_-_acervo,https://museudoouro.acervos.museus.gov.br/wp-json/tainacan/v2/collection/3583/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,3583
16,119,Marquesa,,05 Interiores > 05.5 Peça de Mobiliário,Brasil,Século XIX,Não identificado,madeira | marcenaria | palhinha,"Altura (cm): 104,0 Largura (cm): 57,0 Comprimento (cm): 241,0 Profundidade (cm): Diâmetro (cm): Peso (g): Circunferência (cm):","Marquesa com o espaldar em recortes curvos nos extremos, com centro reto e cimalha simples arrematada por elemento entalhado em dois êsses deitados, com gomos; centro do espaldar com retângulo revestido por palhinha; laterais terminadas em resguardos inclinados, arrematados por volutas enroladas para fora, também revestidas por palhinha; quatro pés em curva voltada para fora e pés em forma de pata de animal; na saída dos pés aparece um entalhe em relevo, na forma de uma flor.","Domínio público, ver http://museudoouro.acervos.museus.gov.br/reproducao-de-imagens-do-acervo/",,museudoouro_-_acervo,https://museudoouro.acervos.museus.gov.br/wp-json/tainacan/v2/collection/3583/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,3583
17,131,Mesa,,05 Interiores > 05.5 Peça de Mobiliário,Brasil | Minas Gerais,Século XIX,Não identificado,ferro fundido | madeira | marcenaria,"Altura (cm): 85,0 Largura (cm): 89,0 Comprimento (cm): 231,0 Profundidade (cm): Diâmetro (cm): Peso (g): Circunferência (cm):","Mesa de tampo retangular, em três pranchas de borda emoldurada e frisada; caixa lisa, contornada por recortes inferiores formando bicos intercalados por trifólios; frente com duas gavetas, com par de almofadas altas, frisadas, com puxadores torneados; entre as gavetas, uma fechadura de espelho oval, com recortes em cruz; pernas retas, de secção quadrangular, afinadas inferiormente.","Domínio público, ver http://museudoouro.acervos.museus.gov.br/reproducao-de-imagens-do-acervo/",,museudoouro_-_acervo,https://museudoouro.acervos.museus.gov.br/wp-json/tainacan/v2/collection/3583/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,3583
18,133,Arcás,,05 Interiores > 05.5 Peça de Mobiliário,Brasil | Minas Gerais,Século XVIII,Não identificado,ferro fundido | madeira | marcenaria,"Altura (cm): 122,0 Largura (cm): 94,0 Comprimento (cm): 200,0 Profundidade (cm): Diâmetro (cm): Peso (g): Circunferência (cm):","Arcás retangular, de base emoldurada e frisada; frente com seis gavetas, dispostas em duas colunas, sendo três gavetas compridas no lado direito e três gavetas estreitas do esquerdo; elas possuem almofadas altas, com losangulo ao centro e pontas de diamante nas quinas; puxadores elípticos com torneados; fechaduras com espelhos losangulares em recortes e vazados rendilhados; as gavetas compridas têm almofadas e ferragem aos pares; gavetas separadas por molduras meia-cana; laterais em três grandes almofadas, de desenho igual às anteriores, dispostas verticalmente; tampo de borda emoldurada e frisada.","Domínio público, ver http://museudoouro.acervos.museus.gov.br/reproducao-de-imagens-do-acervo/",,museudoouro_-_acervo,https://museudoouro.acervos.museus.gov.br/wp-json/tainacan/v2/collection/3583/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,3583
19,136,Confessionário,,05 Interiores > 05.5 Peça de Mobiliário,Brasil | Minas Gerais,Século XVIII,Não identificado,madeira | marcenaria,"Altura (cm): 135,5 Largura (cm): 37,5 Comprimento (cm): Profundidade (cm): 41,0 Diâmetro (cm): Peso (g): Circunferência (cm):","Confessionário em formato de cadeira, com o espaldar alto, de cachaço recortado em semicírculo, com tremidos nos cantos; auscultador central, recortado em grades verticais, com a parte de cima em arco; assento reto e liso; partes anterior e traseira, com recortes de semicírculo, formando os pés; laterais com travessas retas.","Domínio público, ver http://museudoouro.acervos.museus.gov.br/reproducao-de-imagens-do-acervo/",,museudoouro_-_acervo,https://museudoouro.acervos.museus.gov.br/wp-json/tainacan/v2/collection/3583/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,3583
20,137,Mesa,,05 Interiores > 05.5 Peça de Mobiliário,[Minas Gerais],Século XIX,Não identificado,madeira | marcenaria | metal,"Altura (cm): 88,0 Largura (cm): 58,0 Comprimento (cm): 96,0 Profundidade (cm): Diâmetro (cm): Peso (g): Circunferência (cm):","Mesa com tampo retangular, em duas pranchas de borda emolduradas; caixa em almofadas rasas, emolduradas, com a parte inferior em recortes sinuosos; gaveta emoldurada, com espelho da fechadura em recortes curvos; pernas sinuosas, com joelhos de saída, de secção retangular; pés em sapatas.","Domínio público, ver http://museudoouro.acervos.museus.gov.br/reproducao-de-imagens-do-acervo/",,museudoouro_-_acervo,https://museudoouro.acervos.museus.gov.br/wp-json/tainacan/v2/collection/3583/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,3583
21,147,Tamborete de orquestra,,06 Trabalho > 06.10 Equipamento Musical,[Minas Gerais],Século XIX,Não identificado,madeira | recorte,"Altura (cm): 37,0 Largura (cm): 50,0 Comprimento (cm): Profundidade (cm): 40,5 Diâmetro (cm): Peso (g): Circunferência (cm):","Móvel retangular baixo, de laterais lisas, com o tampo em duas partes inclinadas, convergindo para o centro; entre o tampo e as laterais longitudinais há uma fenda estreita; quinas arrematadas por pináculos; possui uma gaveta, em uma das laterais, com puxador recortado em borboleta.","Domínio público, ver http://museudoouro.acervos.museus.gov.br/reproducao-de-imagens-do-acervo/",,museudoouro_-_acervo,https://museudoouro.acervos.museus.gov.br/wp-json/tainacan/v2/collection/3583/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,3583
22,153,Roda de fiar (Roca),,06 Trabalho > 06.5 Equipamento de Fiação/Tecelagem,Brasil | Minas Gerais,Século XIX | Século XVIII,Não identificado,ferro fundido | madeira torneada,"Altura (cm): 77,0 Largura (cm): 62,0 Comprimento (cm): 65,0 Profundidade (cm): Diâmetro (cm): Peso (g): Circunferência (cm):","Roda de fiar com o corpo torneado, provido de três pernas torneadas, sendo as dianteiras diagonais e a traseira reta; pedal inferior triangular; parte traseira com elemento torneado transversal, de onde se elevam duas hastes verticais travada por uma travessa horizontal, todas torneadas, dentro da qual gira o fuso, provido de duas polias e um gancho em “U”; parte dianteira com a roda, que gira entre duas hastes diagonais torneadas, presas a um elemento horizontal, grosso e torneado; a roda tem cinco raios torneados intercalados por pináculos; o aro tem um sulco externo, em sua circunferência, onde se enrola a corda de transmissão, que a liga às polias do fuso; tem o seu eixo provido de uma biela de ferro, de cuja extremidade desce o rabicho, que o liga ao pedal de baixo.","Domínio público, ver http://museudoouro.acervos.museus.gov.br/reproducao-de-imagens-do-acervo/",,museudoouro_-_acervo,https://museudoouro.acervos.museus.gov.br/wp-json/tainacan/v2/collection/3583/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,3583
23,168,Mesa de ourives,,05 Interiores > 05.5 Peça de Mobiliário,Brasil | Minas Gerais,Século XVIII,Não identificado,entalhe | madeira | metal | recorte,"Altura (cm): 83,0 Largura (cm): Comprimento (cm): 120,5 Profundidade (cm): 97,0 Diâmetro (cm): Peso (g): Circunferência (cm):","Mesa de tampo retangular, de borda arredondada e frisada. Caixa com as abas de recortes em curvas e contra-curvas, formando trifólios na parte inferior, vazados curvos ao meio  e  ressaltos em recortes superiores e nas quinas. Gaveta de borda emoldurada, com o centro reentrante, delimitado por acantos e volutas. Com um espelho elíptico.
Entre o tampo e a gaveta um outro tampo retrátil, com a frente  emoldura.
Pernas mais largas na parte superior, com as faces da frente delimitadas por sulco curvo, terminadas em pés curvos.","Domínio público, ver http://museudoouro.acervos.museus.gov.br/reproducao-de-imagens-do-acervo/",,museudoouro_-_acervo,https://museudoouro.acervos.museus.gov.br/wp-json/tainacan/v2/collection/3583/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,3583
24,169,Cofre (ou burra),,05 Interiores > 05.5 Peça de Mobiliário,França,Século XIX,Não identificado,ferro fundido | madeira recortada,"Altura (cm): 120,0 Largura (cm): 90,0 Comprimento (cm): Profundidade (cm): 56,0 Diâmetro (cm): Peso (g): Circunferência (cm):","Cofre retangular vertical, todo trançado por chapas de ferro, com tacheado semi-esférico nas junções das chapas e entre elas; porta ocupando a metade superior, moldurada, por tacheado; com botões semi-esféricos e em gomos nas quinas; porta com a dobradiça em ressalto semi-cilíndrico e com torneados nos extremos; possui também botões semi-esféricos em gomos nos cantos, três deles funcionando como segredo.","Domínio público, ver http://museudoouro.acervos.museus.gov.br/reproducao-de-imagens-do-acervo/",,museudoouro_-_acervo,https://museudoouro.acervos.museus.gov.br/wp-json/tainacan/v2/collection/3583/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,3583
