,Número de registro,Denominação,Título,Autor,Classificação,Resumo descritivo,Dimensões - altura,Dimensões - peso,Dimensões - largura,Dimensões - espessura,Material/Técnica,Local de produção,Data de produção,Condições de reprodução,Mídias relacionadas,ACERVO,URL,TAINACAN_COLECTION_ID
14,83.44e,Abafador de vela,,Sem Autor,05 Interiores > 05.4 Objeto de Iluminação,Peça que serve como encaixe e como apagador de vela. O pegador em formato de chama repousa sobre base cônica com as bordas acentuamente excedentes.,7,,4,,prata,Inglaterra,[18-],sem restrição,arquivos de imagem,museudaabolicao_-_acervo_museologico,https://museudaabolicao.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
15,83.45,Castiçal,Castiçal,Sem Autor,05 Interiores > 05.4 Objeto de Iluminação,"Base circular com reentrâncias. Corpo central em balaústre de formas arredondadas. Dois braços se projetam, lateralmente, em movimento de discreta curva e terminam no repositório para a vela. Estes braços estão fixos a uma peça que se ajusta por encaixe ao corpo central e que possui, também por encaixe, o apagador da vela. Toda a peça é lavrada em frisos, volutas, motivos fitomórficos.",58,,48,,prata,Inglaterra,[18-],sem restrição,arquivos de imagem,museudaabolicao_-_acervo_museologico,https://museudaabolicao.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
16,83.45a,Castiçal (base),Sem título,Sem Autor,05 Interiores > 05.4 Objeto de Iluminação,"Base circular com reentrâncias. Corpo central em balaústre de formas arredondadas. Dois braços se projetam, lateralmente, em movimento de discreta curva e terminam no repositório para a vela. Estes braços estão fixos a uma peça que se ajusta por encaixe ao corpo central e que possui, também por encaixe, o apagador da vela. Toda a peça é lavrada em frisos, volutas, motivos fitomórficos.",33,,15,,prata,Inglaterra,[18-],sem restrição,arquivos de imagem,museudaabolicao_-_acervo_museologico,https://museudaabolicao.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
17,83.45c,Arandela,Sem título,Sem Autor,05 Interiores > 05.4 Objeto de Iluminação,"Peça que serve para encaixe: cilíndrica e oca e que também tem por finalidade receber a vela. A borda é grande e circular, lavrada em frisos e motivos fitomórficos.",3,,"7,5",,prata,Inglaterra,[18-],sem restrição,arquivos de imagem,museudaabolicao_-_acervo_museologico,https://museudaabolicao.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
18,83.45b,Castiçal (braços),Sem título,Sem Autor,05 Interiores > 05.4 Objeto de Iluminação,"Os dois braços se projetam, lateralmente, em movimento de discreta curva e terminam em peça circular na qual repousa o repositório para a vela em forma de balaústre. Esta peça recebe outra, por encaixe, e que também tem por finalidade receber a vela.",28,,48,,prata,Inglaterra,[18-],sem restrição,arquivos de imagem,museudaabolicao_-_acervo_museologico,https://museudaabolicao.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
19,83.45d,Arandela,Sem título,Sem Autor,05 Interiores > 05.4 Objeto de Iluminação,"Peça que serve para encaixe: cilíndrica e oca e que também tem por finalidade receber a vela. A borda é grande e circular, lavrada em frisos e motivos fitomórficos.",3,,"7,5",,prata,Inglaterra,[18-],sem restrição,arquivos de imagem,museudaabolicao_-_acervo_museologico,https://museudaabolicao.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
20,83.45e,Abafador de vela,Sem título,Sem Autor,05 Interiores > 05.4 Objeto de Iluminação,Peça que serve como encaixe e como apagador de vela. O pegador em formato de chama repousa sobre base cônica com as bordas acentuadamente excedentes.,7,,2,,prata,Inglaterra,[18-],sem restrição,arquivos de imagem,museudaabolicao_-_acervo_museologico,https://museudaabolicao.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
21,83.46,Palmatória (castiçal),Castiçal,Sem Autor,05 Interiores > 05.4 Objeto de Iluminação,"Base oval irregular, decorada com concheados, volutas, motivos florais, três pés trabalhados e sinuosos. Alça formada por três folhas delgadas. No meio da base localiza-se o suporte para a vela, apoiado em base circular e pequeno fuste, alonga-se em forma cilíndrica cuja parte inferior é afunilada, decorada com frisos, borda recortada em oito volutas. Partindo da base oval, uma haste tubular na qual se encaixa uma outra que termina em pequeno suporte em arco. Na extremidade posterior, esta haste se alonga e termina em pequena esfera. Concha de madrepérola pousada no suporte. Lavrada em motivo paisagístico cujo tema central é um castelo. Cores bege e marron.",29,,13,15.0,madrepérola | prata,Portugal,21/06/1999,sem restrição,arquivos de imagem,museudaabolicao_-_acervo_museologico,https://museudaabolicao.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
22,83.47,Pulseira,Pulseira,Sem Autor,12 Objetos Pessoais > 12.5 Objeto de Adorno,"Peça formada por dez flores, adornadas por pontilhado, ligadas por um elo. Numa das extremidades fecho de mola, na outra, pequena corrente de três elos.",,,19,,coco | ouro 18 k | pedra branca cristalina,Brasil,[20-],sem restrição,arquivos de imagem,museudaabolicao_-_acervo_museologico,https://museudaabolicao.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
23,83.48,Anel,Anel,Sem Autor,12 Objetos Pessoais > 12.5 Objeto de Adorno,Peça formada por uma flor adornada por pontilhado. Pousada num círculo cuja parte superior se divide em dois. Nas laterais trabalho em torcido.,3,,,,coco | ouro 18 k | pedra branca cristalina,Brasil,[20-],sem restrição,arquivos de imagem,museudaabolicao_-_acervo_museologico,https://museudaabolicao.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
24,83.49,Prendedor de cabelo,Barrete,Sem Autor,12 Objetos Pessoais > 12.5 Objeto de Adorno,"Peça formada por uma flor, adornada por pontilhado. Pousada numa fina barra, lisa nas extremidades e cuja parte central se divide em duas. Nas laterais trabalho em torcido. Fecho de segurança.",5,,,,coco | ouro 18 k | pedra branca cristalina,Brasil,[20-],sem restrição,arquivos de imagem,museudaabolicao_-_acervo_museologico,https://museudaabolicao.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
25,83.50,Pingente,Pingente,Sem Autor,12 Objetos Pessoais > 12.5 Objeto de Adorno,"Peça em formato de cruz latina, ligeiramente abaluada. Flor central adornada por pontilhado. Extremidades enluvadas. Na extremidade superior peça vasada semi-móvel adornada com friso e pontilhado.",4,,,,coco | ouro 18 k | pedra branca cristalina,Brasil,[20-],sem restrição,arquivos de imagem,museudaabolicao_-_acervo_museologico,https://museudaabolicao.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
26,83.51,Brinco,Brinco,Sem Autor,12 Objetos Pessoais > 12.5 Objeto de Adorno,"Peça composta por duas flores, adornadas por pontilhado. A superior menor, traz um fecho em arco, móvel, que se encaixa num pequeno círculo. A parte inferior, maior, pendente através de um trabalho em torcido que numa das extremidades termina em círculo e na outra em duas semi-voltas. O círculo permite que se ponha ou que se retire a peça imprimindo um movimento de balanço.",3,,,,coco | ouro 18 k | pedra branca cristalina,Brasil,[20-],sem restrição,arquivos de imagem,museudaabolicao_-_acervo_museologico,https://museudaabolicao.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
27,83.52,Brinco,Brinco,Sem Autor,12 Objetos Pessoais > 12.5 Objeto de Adorno,"Peça composta por duas flores, adornadas por pontilhado. A superior menor, traz um fecho em arco, móvel, que se encaixa num pequeno círculo. A parte inferior, maior, pendente através de um trabalho em torcido que numa das extremidades termina em círculo e na outra em duas semi-voltas. O círculo permite que se ponha ou que se retire a peça imprimindo um movimento de balanço.",3,,,,coco | ouro 18 k | pedra branca cristalina,Brasil,[20-],sem restrição,arquivos de imagem,museudaabolicao_-_acervo_museologico,https://museudaabolicao.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
28,83.53,Alfinete de Gravata,Alfinete de Gravata,Sem Autor,12 Objetos Pessoais > 12.5 Objeto de Adorno,Peça formada por uma flor adornada por pontilhado. Haste fixa e aguçada.,5,,,,coco | ouro 18 k | pedra branca cristalina,Brasil,[20-],sem restrição,arquivos de imagem,museudaabolicao_-_acervo_museologico,https://museudaabolicao.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
29,83.54,Broche,Broche,Sem Autor,12 Objetos Pessoais > 12.5 Objeto de Adorno,Peça em formato de ramo bifurcado em movimento cinturado e curvo. Extremidades chapeadas. Flor central adornada em todo o campo pontilhado. Fecho de segurança.,6,,,,coco | ouro 18 k | pedra branca cristalina,Brasil,[20-],sem restrição,,museudaabolicao_-_acervo_museologico,https://museudaabolicao.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
30,83.55,Pulseira,Pulseira,Sem Autor,12 Objetos Pessoais > 12.5 Objeto de Adorno,"Peça formada por cinco ramos, cada qual com dois galhos. Extremidades dos galhos chapeadas, a dos ramos enluvadas e unidas por sistema de dobradiça, imprimindo movimento articulado. Fecho de segurança e pequena corrente que limita a abertura das partes que se unem através do fecho.",7,,,,coco | ouro 18 k | pedra branca cristalina,Brasil,[20-],sem restrição,,museudaabolicao_-_acervo_museologico,https://museudaabolicao.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
31,83.56,Pulseira,Pulseira,Sem Autor,12 Objetos Pessoais > 12.5 Objeto de Adorno,"Peça formada por oito contas arredondadas com as extremidades chanfradas, ligadas por um elo. Adornadas com friso, pontilhado e filigrama. Extremidades com pequenas correntes e fecho de mola.",21,,,,coco | ouro 18 k | pedra branca cristalina,Brasil,[20-],sem restrição,,museudaabolicao_-_acervo_museologico,https://museudaabolicao.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
32,84.57,Folha de selos,Cinquentenário da Publicação de Casa Grande e Senzala,Ivan Wasth Rodrigues,03 Objetos Pecuniários,"Selos. Cena composta pelos seguintes elementos, superpostos a começar do canto inferior direito: um globo terrestre e um livro aberto ao meio; um escravo negro vestido de branco com chapéu de palha em posição de lavrar a terra; uma escrava negra vestida de branco com o filho nas costas seguro por um pano listado de vermelho; o engenho de uma "" casa grande"" com uma chaminé expelindo fumaça; uma india, nua, sentada, trabalhando num grande recipiente. Ao fundo uma figura branca em trajes europeus segurando um astrolábio. Parcialmente, aparece, o oceano e o céu. Inscrição na margem superior: Brasil 84 45,00.",20,,29,,papel couchê gomado,Brasil,20/01/1984,sem restrição,arquivos de imagem,museudaabolicao_-_acervo_museologico,https://museudaabolicao.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
33,84.58,Quadra de selos,Cinquentenário da Publicação de Casa Grande e Senzala,Ivan Wasth Rodrigues,03 Objetos Pecuniários,"4 Selos. Carimbada. Selo: cena composta pelos seguintes elementos, supostamente Selos. Cena composta pelos seguintes elementos superpostos a começar do canto inferior direito: um globo terrestre e um livro aberto ao meio; um escravo negro vestido de branco com chapéu de palha em posição de lavrar a terra; uma escrava negra vestida de branco com o filho nas costas seguro por um pano listado de vermelho; o engenho de uma "" casa grande"" com uma chaminé expelindo fumaça; uma índia, nua, sentada, trabalhando num grande recipiente.Ao fundo, uma figura branca em trajes europeus segurando um astrolábio. Parcialmente, aparece o oceano e o céu. Inscrição na margem superior: Brasil 84 45,00. Carimbo: redondo. Ao centro, detalhe do selo: um globo terrestre e um livro aberto ao meio.",5,,8,,papel couchê gomado,Brasil,20/01/1984,sem restrição,arquivos de imagem,museudaabolicao_-_acervo_museologico,https://museudaabolicao.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
34,84.59,Selo comemorativo,Cinquentenário da Publicação de Casa Grande & Senzala,Ivan Wasth Rodrigues,03 Objetos Pecuniários,"Cena composta pelos seguintes elementos, superpostos, a começar do canto inferior direito: um globo terrestre e um livro aberto ao meio; um escravo negro vestido de branco com chapéu de palha em posição de lavrar a terra; uma escrava negra vestida de branco com o filho às costas seguro por um pano listado de vermelho; o engenho de uma ""casa grande"" com uma chaminé expelindo fumaça; uma índia, nua, sentada, trabalhando num grande recipiente. Ao fundo, uma figura branca em trajes europeus segurando um astrolábio. Parcialmente, aparece uma caravela, o oceano e o céu. Inscrição na margem superior: Brasil 84 45,00.",2,,2,,papel couchê gomado,Brasil > Rio de Janeiro,20/01/1984,sem restrição,arquivos de imagem,museudaabolicao_-_acervo_museologico,https://museudaabolicao.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
35,84.60,Envelope de primeiro dia de circulação,Cinquentenário da Publicação de Casa Grande & Senzala,Ivan Wasth Rodrigues,03 Objetos Pecuniários,"Envelope: Peça retangular. Frente lateral esquerda: Negro lavrando a terra; negra carregando cana com filho às costas; a casa grande e o engenho. Selo: Cena composta pelos seguintes elementos, superpostos, a começar do canto inferior direito: um globo terrestre e um livro aberto ao meio; um escravo negro vestido de branco com chapéu de palha em posição de lavrar a terra; uma escrava negra vestida de branco com o filho às costas seguro por um pano listado de vermelho; o engenho de uma ""casa grande"" com uma chaminé expelindo fumaça; uma índia, nua, sentada, trabalhando num grande recipiente. Ao fundo, uma figura branca em trajes europeus segurando um astrolábio. Parcialmente, aparece uma caravela, o oceano e o céu. Inscrição na margem superior: Brasil 84 45,00. Carimbo: redondo. Ao centro, detalhe do selo: um globo terrestre e um livro aberto ao meio.",19,,10,,papel couchê gomado,Brasil > Rio de Janeiro,20/01/1984,sem restrição,arquivos de imagem,museudaabolicao_-_acervo_museologico,https://museudaabolicao.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
36,84.61,Documentos postais,Cinquentenário da Publicação de Casa Grande & Senzala,Ivan Wasth Rodrigues,03 Objetos Pecuniários,"Edital: Peça retangular em folha dupla. Traz informações técnicas sobre o selo e sobre o assunto. Na primeira página, frente: impressos, uma quadra e um carimbo. Selo: Cena composta pelos seguintes elementos, superpostos, a começar do canto inferior direito: um globo terrestre e um livro aberto ao meio; um escravo negro vestido de branco com chapéu de palha em posição de lavrar a terra; uma escrava negra vestida de branco com o filho às costas seguro por um pano listado de vermelho; o engenho de uma ""casa grande"" com uma chaminé expelindo fumaça; uma índia, nua, sentada, trabalhando num grande recipiente. Ao fundo uma figura branca em trajes europeus segurando um astrolábio. Parcialmente, aparece uma caravela, o oceano e o céu. Inscrição na margem superior: Brasil 84 45,00. Carimbo: redondo. Ao centro, detalhe do selo: um globo terrestre e um livro aberto ao meio.",26,,17,,papel couchê gomado,Brasil > Rio de Janeiro,20/01/1984,sem restrição,arquivos de imagem,museudaabolicao_-_acervo_museologico,https://museudaabolicao.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
37,84.62,Folha de selos,Centenário dos Abolicionistas Precursores Ceará e Amazonas (Amazonas),Pietrina Checcacci,03 Objetos Pecuniários,"50 selos. Em primeiro plano um busto de um jovem negro com os braços levantados. Nos pulsos algemas com as correntes partidas. Ao fundo, iniciando de baixo para cima, cor ocre esmaecendo até atingir o creme. No terço superior, horizonte sinuoso em verde claro e escuro. Céu em gradação de azul. Inscrição na margem inferior Brasil 84 610,00.",29,,20,,papel couchê gomado,Brasil > Rio de Janeiro,25/03/1984,sem restrição,arquivos de imagem,museudaabolicao_-_acervo_museologico,https://museudaabolicao.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
38,84.63,Quadra de selos,Centenário dos Abolicionistas Precursores Ceará e Amazonas (Amazonas),Pietrina Checcacci,03 Objetos Pecuniários,"4 selos. Carimbada. Selo: Em primeiro plano busto de um jovem negro com os braços levantados. Nos pulsos algemas com as correntes partidas. Ao fundo, iniciando de baixo para cima, cor ocre esmaecendo até atingir o creme. No terço superior, horizonte sinuoso em verde claro e escuro. Céu em gradação de azul. Inscrição na margem inferior Brasil 84 610,00. Carimbo: redondo. Ao centro duas algemas com as correntes partidas e um sol.",8,,5,,papel couchê gomado,Brasil > Rio de Janeiro,25/03/1984,sem restrição,arquivos de imagem,museudaabolicao_-_acervo_museologico,https://museudaabolicao.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
